Date,Dividends
2000-09-08,0.100000
2000-11-27,0.100000
2001-08-10,0.100000
2001-11-28,0.100000
2002-08-06,0.100000
2002-12-04,0.100000
2003-07-24,0.100000
2003-11-20,0.100000
2004-08-03,0.100000
2004-12-01,0.100000
2005-08-08,0.200000
2005-12-01,0.150000
2006-08-01,0.250000
2006-12-01,0.150000
2007-07-31,0.200000
2007-12-03,0.150000
2008-07-29,0.350000
2008-12-02,0.150000
2009-07-30,0.350000
2009-12-03,0.150000
2010-07-30,0.350000
2010-12-13,0.150000
2011-07-27,0.350000
2011-12-08,0.150000
2012-05-23,0.250000
2012-08-30,0.150000
2013-05-21,0.350000
2013-09-06,0.150000
2014-05-09,0.400000
2014-08-22,0.200000
2014-11-18,0.200000
2015-03-05,0.150000
2015-05-26,0.140000
2015-08-19,0.140000
2015-11-18,0.150000
2016-03-09,0.170000
2016-05-23,0.140000
2016-08-24,0.140000
2016-11-16,0.150000
2017-03-07,0.190000
2017-05-26,0.150000
2017-08-28,0.160000
2017-11-23,0.160000
2018-03-12,0.190000
2018-05-28,0.160000
2018-05-31,0.160000
2018-08-29,0.160000
2018-12-13,0.180000
2019-03-01,0.220000
2019-06-18,0.160000
2019-09-13,0.160000
2019-12-05,0.180000
2020-03-04,0.100000
2020-06-12,0.160000
2020-09-08,0.500000
2020-12-04,0.180000
2021-03-09,0.050000
2021-06-10,0.160000
2021-09-07,0.160000
2021-12-06,0.180000
2022-03-09,0.100000
