Date,Dividends
2000-05-15,0.100000
2001-05-17,0.100000
2002-05-23,0.050000
2003-05-26,0.100000
2004-05-21,0.100000
2004-09-16,0.100000
2005-05-19,0.200000
2005-09-13,0.100000
2006-05-19,0.250000
2006-08-21,0.160000
2007-05-10,0.300000
2007-08-16,0.260000
2008-01-16,0.650000
2008-04-22,0.220000
2008-09-03,0.120000
2009-05-20,0.142500
2009-09-08,0.100000
2010-05-18,0.130000
2010-09-03,0.130000
2011-05-24,0.290000
2011-09-08,0.098000
2012-05-22,0.098000
2012-09-12,0.098000
2013-05-08,0.122000
2013-09-10,0.098000
2014-05-22,0.163000
2014-09-25,0.095000
2015-05-15,0.134000
2015-09-07,0.093000
2016-03-08,0.121000
2016-09-15,0.093000
2017-03-07,0.122000
2017-09-13,0.094000
2018-03-14,0.121000
2019-03-14,0.020000
2020-03-06,0.100000
2020-09-10,0.068000
2021-03-11,0.075000
2021-09-13,0.070000
2022-03-14,0.060000
