Date,Dividends
2006-12-13,0.112000
2007-05-28,0.080000
2007-08-17,0.080000
2007-12-13,0.130400
2008-05-15,0.080000
2008-12-10,0.080000
2009-05-11,0.032000
2009-12-14,0.098400
2010-05-13,0.048000
2010-12-14,0.160000
2011-05-12,0.045000
2012-05-14,0.003800
2012-12-17,0.150000
2013-05-15,0.100000
2013-12-18,0.150000
2014-05-15,0.100000
2014-12-17,0.190000
2015-05-18,0.100000
2015-12-15,0.190000
2016-05-18,0.100000
2016-12-16,0.220000
2017-05-18,0.170000
2017-12-19,0.440000
2018-04-04,0.214100
2018-09-26,0.302700
2019-03-27,0.230000
2019-09-27,0.300000
2020-03-30,0.500000
2020-09-29,0.220000
2021-03-30,0.400000
2021-09-29,0.220000
2022-03-30,0.180000
