Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/7/2005,1.57,1.58,1.53,1.55,422200.0,1.5542,1.5319999999999998,1.55,1.5925,1.6527,1.6653,1.6622,1.663,1.6308,1.6175,1.6587,1.6484,55.3588,41.5626,39.8347,42.9591
9/8/2005,1.55,1.56,1.54,1.54,887100.0,1.5491,1.536,1.544,1.5815,1.6453,1.6618,1.6604,1.6607,1.6308,1.6172,1.6572,1.6503,46.6083,39.4091,38.4726,42.2359
9/9/2005,1.54,1.56,1.53,1.55,1737000.0,1.5463,1.544,1.54,1.5730000000000002,1.6380000000000001,1.6588,1.6586,1.6582,1.631,1.6169,1.6557,1.6511,56.8414,42.7464,40.6579,43.2246
9/12/2005,1.56,1.57,1.56,1.57,2321000.0,1.5605,1.556,1.5390000000000001,1.5685,1.6307,1.656,1.6572,1.656,1.6316,1.6173,1.6543,1.6514,72.5973,49.0593,44.875,45.1665
9/13/2005,1.57,1.57,1.55,1.55,2916300.0,1.5608,1.5519999999999998,1.5419999999999998,1.5659999999999998,1.6233,1.653,1.6546,1.6537,1.6319,1.6174,1.6528,1.6519,46.9094,43.6453,41.6848,43.623000000000005
9/14/2005,1.57,1.58,1.56,1.58,1118700.0,1.567,1.558,1.545,1.5645,1.6159999999999999,1.6508,1.6528,1.652,1.6318,1.6178,1.6516,1.6525,70.4419,52.4924,47.6918,46.461999999999996
9/15/2005,1.58,1.6,1.56,1.6,1605100.0,1.5819,1.57,1.5530000000000002,1.5645,1.6097,1.6493,1.652,1.6503,1.6317,1.6182,1.6508,1.6531,79.5198,57.4969,51.2938,48.25899999999999
9/16/2005,1.6,1.6,1.58,1.59,673700.0,1.5921,1.578,1.561,1.5645,1.6043,1.6475,1.651,1.6493,1.6315,1.6183,1.6501,1.6539,64.6324,54.2806,49.4599,47.4355
9/19/2005,1.59,1.6,1.57,1.58,4134800.0,1.5801,1.58,1.568,1.5635,1.5983,1.6428,1.6498,1.6483,1.6313,1.6184,1.6493,1.6545,50.4615,51.0668,47.6261,46.6126
9/20/2005,1.57,1.57,1.55,1.55,3860100.0,1.557,1.58,1.5659999999999998,1.561,1.591,1.6368,1.6480000000000001,1.6473,1.6307,1.6185,1.6487,1.6548,25.4004,42.5621,42.5314,44.2315
