Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,0.879,0.952,0.866,0.952,125950.0,0.9171,0.9012,0.8781,0.8367,0.8115,0.8095,0.8095,0.8017,0.7586,0.7744,0.7173,0.7098,81.3141,66.2625,62.7038,57.49
1/4/2000,0.943,1.08,0.935,1.003,417501.0,1.0173,0.9227,0.8879,0.8468,0.8198,0.8132,0.8127,0.8062,0.7609,0.7763,0.7206,0.7114,88.7303,71.4316,66.5949,59.7385
1/5/2000,0.943,1.05,0.943,1.008,149274.0,1.0041,0.9467,0.9055,0.8581,0.8282,0.8178,0.8166,0.8109,0.7632,0.7785,0.7237,0.7128,89.263,71.8361,66.9048,59.9213
1/6/2000,1.02,1.063,0.978,0.99,102626.0,1.0295,0.9655,0.9209,0.8673,0.8362,0.8222,0.8204,0.8155,0.7654,0.7807,0.7269,0.7143,69.5413,67.5328,64.3341,58.8166
1/7/2000,1.02,1.063,0.978,0.99,102626.0,1.0295,0.9655,0.9209,0.8673,0.8362,0.8222,0.8204,0.8155,0.7654,0.7807,0.7269,0.7143,69.5413,67.5328,64.3341,58.8166
1/10/2000,1.02,1.063,0.978,0.99,102626.0,1.0295,0.9655,0.9209,0.8673,0.8362,0.8222,0.8204,0.8155,0.7654,0.7807,0.7269,0.7143,69.5413,67.5328,64.3341,58.8166
1/11/2000,1.055,1.063,1.055,1.063,6997.0,1.0604,1.0033,0.9415,0.8826,0.8465,0.8292,0.8256,0.8211,0.7683,0.7836,0.7306,0.7161,87.3536,74.7616,69.6682,61.9044
1/12/2000,1.025,1.059,0.999,1.016,81634.0,1.0367,1.0161,0.9587,0.9034,0.8535,0.8348,0.83,0.8259,0.7709,0.7861,0.7339,0.7182,55.7243,64.3345,63.0929,58.946
1/13/2000,1.016,1.025,0.982,0.982,55978.0,1.0075,1.0118,0.9672,0.9119,0.8611,0.8389,0.8337,0.8299,0.7739,0.7876,0.7367,0.72,39.9458,57.7451,58.75,56.9002
1/14/2000,0.948,0.978,0.943,0.965,62975.0,0.955,1.0033,0.975,0.9205,0.8681,0.8431,0.8364,0.8331,0.7766,0.7879,0.7392,0.7216,32.9486,54.5994,56.6503,55.8968
1/17/2000,0.982,0.986,0.982,0.986,23324.0,0.9857,1.0024,0.984,0.9295,0.8756,0.8479,0.8395,0.8365,0.7798,0.7883,0.7421,0.7231,49.5261,57.8299,58.6402,56.8801
1/18/2000,0.978,1.029,0.978,1.029,37319.0,1.0043,0.9955,0.9994,0.9364,0.8846,0.8539,0.844,0.839,0.784,0.7888,0.7451,0.7247,71.0204,63.6495,62.3613,58.7814
1/19/2000,0.986,0.986,0.952,0.978,16327.0,0.9677,0.9878,1.002,0.94,0.8918,0.8591,0.848,0.8416,0.7882,0.789,0.7479,0.726,40.2033,53.6536,55.8658,55.7308
1/20/2000,1.025,1.025,0.986,1.008,9330.0,1.0097,0.993,1.0024,0.9452,0.8986,0.8654,0.8511,0.8443,0.792,0.7902,0.7509,0.7276,56.659,57.9838,58.5763,57.0751
1/21/2000,0.952,1.012,0.952,0.973,46648.0,0.982,0.9947,0.999,0.9522,0.9051,0.8709,0.8541,0.847,0.7951,0.7913,0.7535,0.729,38.4974,51.7654,54.4599,55.0971
1/24/2000,0.986,0.986,0.965,0.965,23324.0,0.975,0.9904,0.9964,0.9587,0.9104,0.8762,0.8571,0.8498,0.7981,0.7919,0.7561,0.7306,34.3665,50.2497,53.4486,54.6076
1/25/2000,0.943,0.986,0.943,0.986,13994.0,0.9761,0.9818,0.9887,0.9651,0.9179,0.882,0.8611,0.8528,0.8013,0.7925,0.7588,0.732,53.1989,54.0349,55.665,55.6271
1/26/2000,1.003,1.008,0.918,0.918,18659.0,0.9668,0.9698,0.9788,0.9687,0.9285,0.8848,0.8636,0.8548,0.8038,0.7929,0.7612,0.7334,22.3781,42.4169,47.8188,51.7776
1/27/2000,0.922,0.965,0.922,0.96,39651.0,0.9541,0.9604,0.9767,0.972,0.9335,0.89,0.8665,0.8576,0.8074,0.7935,0.7633,0.7348,49.6988,49.979,52.3404,53.8428
1/28/2000,0.909,0.978,0.909,0.935,23324.0,0.9561,0.9527,0.9737,0.9743,0.9382,0.8945,0.8692,0.8593,0.8103,0.7938,0.7653,0.7365,37.7428,45.9094,49.5653,52.4486
1/31/2000,0.922,0.973,0.913,0.96,86299.0,0.9544,0.9518,0.9711,0.9775,0.9434,0.8995,0.8726,0.8614,0.8131,0.7942,0.7673,0.7385,54.2513,50.4485,52.2895,53.6891
2/1/2000,0.922,0.973,0.913,0.96,86299.0,0.9544,0.9518,0.9711,0.9775,0.9434,0.8995,0.8726,0.8614,0.8131,0.7942,0.7673,0.7385,54.2513,50.4485,52.2895,53.6891
2/2/2000,0.943,0.96,0.943,0.96,4665.0,0.9518,0.9467,0.9642,0.9818,0.9457,0.9045,0.876,0.8641,0.8156,0.795,0.7697,0.7411,54.2513,50.4485,52.2895,53.6891
2/3/2000,0.978,1.02,0.978,1.016,20992.0,0.9885,0.9664,0.9681,0.985,0.9494,0.9109,0.8809,0.868,0.8185,0.7963,0.7722,0.7441,80.0458,59.7181,57.9915,56.3306
2/4/2000,0.978,1.02,0.978,1.016,20992.0,0.9885,0.9664,0.9681,0.985,0.9494,0.9109,0.8809,0.868,0.8185,0.7963,0.7722,0.7441,80.0458,59.7181,57.9915,56.3306
2/7/2000,0.978,1.02,0.978,1.016,20992.0,0.9885,0.9664,0.9681,0.985,0.9494,0.9109,0.8809,0.868,0.8185,0.7963,0.7722,0.7441,80.0458,59.7181,57.9915,56.3306
2/8/2000,1.063,1.175,1.059,1.149,338199.0,1.1125,1.0041,0.9822,0.9923,0.9575,0.9195,0.8888,0.8729,0.8228,0.7995,0.7753,0.7478,93.3856,73.1784,67.8566,61.7171
2/9/2000,1.179,1.886,1.179,1.758,1128886.0,1.5664,1.1687,1.0607,1.0298,0.9884,0.944,0.9088,0.8885,0.8335,0.8077,0.7819,0.7543,98.8175,90.1463,85.1081,75.839
2/10/2000,1.758,1.801,1.586,1.629,457152.0,1.6934,1.3025,1.1272,1.0618,1.0148,0.9646,0.9264,0.9021,0.8432,0.8148,0.7873,0.7604,78.4113,78.3636,75.8465,70.181
2/11/2000,1.715,1.758,1.612,1.672,310210.0,1.6758,1.4449,1.1958,1.0922,1.042,0.9874,0.9448,0.9169,0.8529,0.8223,0.7936,0.7668,80.4318,79.3746,76.7545,70.9289
