Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
2/19/2009,2.2880000000000003,2.384,2.2880000000000003,2.343,4129181.0,2.3427,2.2828,2.246,2.2576,2.3305,2.3598,2.3531,2.412,2.8191,3.0467,3.5182,3.6673,74.4639,57.7711,52.5598,44.8219
2/20/2009,2.234,2.329,2.234,2.261,2183014.0,2.2636,2.2746,2.2556,2.246,2.3209999999999997,2.356,2.3496,2.4022,2.8011,3.0309,3.503,3.6519,44.8388,49.0869,47.1361,42.6009
2/23/2009,2.261,2.302,2.247,2.261,3718920.0,2.2664,2.2719,2.2542,2.2385,2.3137,2.3509,2.3457,2.3945,2.7792,3.0146,3.4877,3.6375,44.8388,49.0869,47.1361,42.6009
2/24/2009,2.247,2.2880000000000003,2.166,2.193,9459481.0,2.2074,2.2692,2.2515,2.2277,2.3037,2.3448,2.3444,2.3859,2.7595,2.9977,3.4725,3.6239,25.6815,42.3695,42.8615,40.7981
2/25/2009,2.234,2.234,2.084,2.138,9194882.0,2.123,2.2392,2.2474,2.2195,2.2919,2.3369999999999997,2.3447,2.3738,2.7401,2.9809,3.4566,3.6103,16.9773,37.7235,39.7555,39.4176
2/26/2009,2.125,2.125,2.07,2.084,7704348.0,2.0903,2.1875,2.2351,2.2106,2.2783,2.3281,2.3427,2.3627,2.7204,2.9639,3.4403,3.5967,11.2552,33.5808,36.8775,38.0845
2/27/2009,2.07,2.07,2.036,2.057,7788192.0,2.0511,2.1466,2.2106,2.2004,2.2642,2.3186,2.3376,2.3514,2.7004,2.947,3.4243,3.5825,8.9842,31.6272,35.4939,37.4297
3/2/2009,2.043,2.043,1.818,1.8319999999999999,23612435.0,1.8725,2.0608,2.1664,2.1803,2.2431,2.3031,2.3274,2.3367,2.6792,2.9279,3.4073,3.5671,2.5691,20.5376,26.6204,32.6404
3/3/2009,1.784,1.893,1.75,1.8730000000000002,24490809.0,1.8296,1.9968,2.133,2.1657,2.2233,2.2886,2.3174,2.3241,2.6588,2.9081,3.3906,3.552,18.45,25.8553,30.0448,34.2234
3/4/2009,1.8730000000000002,1.9,1.784,1.798,10151227.0,1.8286,1.9287,2.084,2.1527,2.2047,2.2719,2.306,2.3112,2.6387,2.8873,3.3739,3.5364,12.7396,22.7195,27.5101,32.7631
