Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.867,2.88,2.84,2.84,19500.0,2.8656,2.8853,2.8533,2.816,2.7964,2.7647,2.7437,2.7351,2.7456,2.7768,2.8097,2.8222,32.9922,51.7956,55.8521,57.1521
1/4/2000,2.84,2.84,2.84,2.84,3000.0,2.84,2.8747,2.8573,2.818,2.8,2.769,2.7464,2.7376,2.7447,2.7762,2.81,2.8202,32.9922,51.7956,55.8521,57.1521
1/5/2000,2.8,2.8,2.787,2.787,12000.0,2.7983,2.856,2.856,2.8187,2.8036,2.7737,2.7493,2.7387,2.7432,2.775,2.81,2.8181,16.807,41.589,48.8667,53.3986
1/6/2000,2.813,2.947,2.813,2.933,10500.0,2.8495,2.856,2.8693,2.8267,2.8102,2.7813,2.7544,2.7422,2.7435,2.7753,2.8109,2.8169,72.4857,63.7117,62.6873,60.7348
1/7/2000,2.813,2.947,2.813,2.933,10500.0,2.8495,2.856,2.8693,2.8267,2.8102,2.7813,2.7544,2.7422,2.7435,2.7753,2.8109,2.8169,72.4857,63.7117,62.6873,60.7348
1/10/2000,2.813,2.947,2.813,2.933,10500.0,2.8495,2.856,2.8693,2.8267,2.8102,2.7813,2.7544,2.7422,2.7435,2.7753,2.8109,2.8169,72.4857,63.7117,62.6873,60.7348
1/11/2000,2.813,2.867,2.813,2.867,27000.0,2.8541,2.8533,2.8693,2.8313,2.8116,2.787,2.7581,2.7444,2.7431,2.7748,2.8113,2.8161,49.7731,53.3744,55.3624,56.5488
1/12/2000,2.867,2.867,2.867,2.867,4500.0,2.8667,2.8587,2.872,2.836,2.8151,2.7927,2.7619,2.7467,2.7427,2.7747,2.8118,2.8156,49.7731,53.3744,55.3624,56.5488
1/13/2000,2.88,2.933,2.88,2.907,4500.0,2.9067,2.872,2.8733,2.8427,2.8204,2.799,2.7667,2.7507,2.7429,2.7743,2.8124,2.8161,64.7037,58.489,58.7189,58.3902
1/14/2000,2.92,2.92,2.92,2.92,7500.0,2.92,2.8987,2.8773,2.85,2.8258,2.8053,2.7723,2.7549,2.7439,2.7741,2.8132,2.8164,69.271,60.1291,59.804,58.9895
1/17/2000,2.96,3.0,2.96,3.0,85500.0,2.9958,2.912,2.884,2.8613,2.8338,2.8137,2.7792,2.7604,2.7457,2.7747,2.8144,2.8171,85.8038,68.5236,65.6395,62.3549
1/18/2000,3.0,3.0,3.0,3.0,42000.0,3.0,2.9387,2.896,2.8713,2.8413,2.8187,2.7869,2.7662,2.7473,2.7752,2.8157,2.8175,85.8038,68.5236,65.6395,62.3549
1/19/2000,3.067,3.067,3.0,3.0,9000.0,3.0222,2.9653,2.912,2.8827,2.848,2.8253,2.7941,2.7718,2.7492,2.7752,2.817,2.8177,85.8038,68.5236,65.6395,62.3549
1/20/2000,3.067,3.067,3.0,3.0,30000.0,3.0227,2.984,2.928,2.8927,2.8547,2.832,2.8008,2.7767,2.7513,2.7752,2.8183,2.8179,85.8038,68.5236,65.6395,62.3549
1/21/2000,3.0,3.027,3.0,3.0,37500.0,3.0021,3.0,2.9493,2.9027,2.8622,2.84,2.8088,2.7827,2.7532,2.7758,2.8187,2.8181,85.8038,68.5236,65.6395,62.3549
1/24/2000,3.0,3.04,3.0,3.04,10500.0,3.0286,3.008,2.96,2.9147,2.8711,2.8477,2.8171,2.7887,2.7557,2.7768,2.8201,2.8185,95.3345,73.5426,68.9086,64.1
1/25/2000,3.0,3.04,3.0,3.04,4500.0,3.0133,3.016,2.9773,2.9233,2.88,2.853,2.8251,2.7947,2.7595,2.7778,2.8216,2.8192,95.3345,73.5426,68.9086,64.1
1/26/2000,3.04,3.04,3.0,3.027,10500.0,3.0133,3.0213,2.9933,2.9327,2.8884,2.8597,2.8328,2.8004,2.7637,2.7788,2.823,2.82,63.4077,68.9073,66.464,63.0572
1/27/2000,3.0,3.0,2.987,2.987,4500.0,2.9911,3.0187,3.0013,2.9373,2.8956,2.8657,2.8395,2.8058,2.7673,2.7792,2.8243,2.8207,25.2921,56.8202,59.6296,60.0268
1/28/2000,3.0,3.0,2.987,2.987,19500.0,2.999,3.016,3.008,2.9427,2.9027,2.8713,2.8459,2.8116,2.7705,2.7797,2.8255,2.8215,25.2921,56.8202,59.6296,60.0268
1/31/2000,2.92,2.987,2.92,2.933,10500.0,2.9352,2.9947,3.0013,2.9427,2.908,2.8757,2.8512,2.8162,2.7737,2.7797,2.8263,2.8222,9.0221,43.8426,51.4488,56.1748
2/1/2000,2.92,2.987,2.92,2.933,10500.0,2.9352,2.9947,3.0013,2.9427,2.908,2.8757,2.8512,2.8162,2.7737,2.7797,2.8263,2.8222,9.0221,43.8426,51.4488,56.1748
2/2/2000,2.96,2.973,2.96,2.973,6000.0,2.9633,2.9813,2.9987,2.9473,2.9138,2.8807,2.8547,2.8222,2.7773,2.78,2.827,2.8231,47.2193,52.9162,56.2921,58.2533
2/3/2000,2.973,3.0,2.813,3.0,15000.0,2.94,2.976,2.9987,2.9553,2.9213,2.8857,2.86,2.8282,2.7808,2.7806,2.8279,2.8243,62.8266,58.0051,59.2132,59.5755
2/4/2000,2.973,3.0,2.813,3.0,15000.0,2.94,2.976,2.9987,2.9553,2.9213,2.8857,2.86,2.8282,2.7808,2.7806,2.8279,2.8243,62.8266,58.0051,59.2132,59.5755
2/7/2000,2.973,3.0,2.813,3.0,15000.0,2.94,2.976,2.9987,2.9553,2.9213,2.8857,2.86,2.8282,2.7808,2.7806,2.8279,2.8243,62.8266,58.0051,59.2132,59.5755
2/8/2000,3.0,3.027,3.0,3.027,43500.0,3.0078,2.984,3.0013,2.9647,2.9289,2.8913,2.8659,2.8342,2.7848,2.7813,2.829,2.8255,74.2486,62.5578,61.9517,60.858
2/9/2000,3.027,3.027,3.013,3.013,22500.0,3.0222,2.9893,3.0027,2.976,2.936,2.8973,2.8725,2.8411,2.7883,2.782,2.8296,2.8266,60.3428,58.9622,59.7901,59.8755
2/10/2000,3.12,3.12,3.013,3.013,45000.0,3.0218,3.0053,3.0,2.98,2.9431,2.9033,2.8781,2.8476,2.7924,2.7829,2.83,2.8278,60.3428,58.9622,59.7901,59.8755
2/11/2000,3.067,3.133,3.067,3.133,21000.0,3.1057,3.0373,3.0093,2.9933,2.952,2.9123,2.8843,2.8558,2.7971,2.7848,2.8319,2.8295,91.7253,75.1991,70.5249,65.2751
2/14/2000,3.133,3.2,3.133,3.187,25500.0,3.1835,3.0747,3.0253,3.0093,2.9636,2.9227,2.8928,2.8649,2.8023,2.7871,2.834,2.8315,94.5831,79.2951,73.8645,67.2984
2/15/2000,3.2,3.213,3.16,3.187,55500.0,3.1975,3.1067,3.0453,3.0233,2.9733,2.933,2.9016,2.8738,2.8035,2.7897,2.8356,2.8335,94.5831,79.2951,73.8645,67.2984
2/16/2000,3.213,3.213,3.187,3.187,33000.0,3.1939,3.1413,3.0653,3.0367,2.9836,2.9433,2.9101,2.8824,2.808,2.7927,2.837,2.8355,94.5831,79.2951,73.8645,67.2984
2/17/2000,3.173,3.187,3.16,3.187,57000.0,3.1663,3.176,3.0907,3.046,2.992,2.9537,2.9187,2.8911,2.8124,2.7958,2.8384,2.8376,94.5831,79.2951,73.8645,67.2984
2/18/2000,3.147,3.173,3.093,3.093,19500.0,3.1364,3.168,3.1027,3.0507,2.9991,2.961,2.9251,2.896,2.8156,2.7979,2.8393,2.8392,23.2981,54.2019,58.3128,60.2613
2/21/2000,2.813,3.027,2.813,3.013,10500.0,2.9905,3.1333,3.104,3.0513,3.0049,2.967,2.9293,2.9007,2.818,2.7996,2.8399,2.8404,11.8324,41.5292,48.8239,55.1481
2/22/2000,2.92,3.053,2.92,3.053,4500.0,2.9644,3.1067,3.1067,3.054,3.012,2.9733,2.9344,2.906,2.8207,2.8018,2.8413,2.8419,35.6017,48.3252,52.9468,57.0338
2/23/2000,3.053,3.053,2.947,2.947,3000.0,3.0,3.0587,3.1,3.0513,3.0173,2.977,2.9379,2.9104,2.8221,2.8029,2.842,2.842,17.1296,35.8313,42.9987,51.1065
2/24/2000,2.96,2.96,2.947,2.96,10500.0,2.9562,3.0133,3.0947,3.0473,3.0182,2.981,2.9416,2.9142,2.8237,2.8043,2.8421,2.8429,24.4769,38.0824,44.4049,51.7548
2/25/2000,2.973,3.0,2.973,3.0,18000.0,2.9978,2.9947,3.0813,3.0453,3.0227,2.9843,2.9461,2.9171,2.826,2.8071,2.8422,2.8439,46.0152,44.6374,48.5087,53.6618
2/28/2000,2.987,2.987,2.987,2.987,1500.0,2.9867,2.9893,3.0613,3.0433,3.0267,2.988,2.9504,2.9209,2.8281,2.8103,2.8423,2.8451,40.2725,42.9329,47.2565,52.9403
2/29/2000,2.987,2.987,2.973,2.987,22500.0,2.9858,2.976,3.0413,3.0433,3.0293,2.9903,2.9547,2.9249,2.8304,2.8133,2.8426,2.8462,40.2725,42.9329,47.2565,52.9403
3/1/2000,2.987,2.987,2.987,2.987,7500.0,2.9867,2.984,3.0213,3.0433,3.0316,2.993,2.9589,2.9287,2.8329,2.816,2.843,2.8473,40.2725,42.9329,47.2565,52.9403
3/2/2000,2.973,2.973,2.92,2.92,25500.0,2.9435,2.976,2.9947,3.0427,3.0289,2.9927,2.9619,2.9313,2.8349,2.8186,2.8428,2.8479,12.9662,33.7567,40.6961,49.2728
3/3/2000,2.907,2.973,2.893,2.973,31500.0,2.9194,2.9707,2.9827,3.0427,3.028,2.995,2.9653,2.9347,2.8377,2.8216,2.8433,2.8486,52.0117,44.4436,47.0313,52.0234
3/6/2000,2.867,2.867,2.867,2.867,9000.0,2.8667,2.9467,2.968,3.036,3.0236,2.9957,2.9672,2.9358,2.8393,2.8233,2.8432,2.8487,22.1716,32.6074,38.2341,46.7758
3/7/2000,2.867,2.867,2.867,2.867,10500.0,2.8667,2.9227,2.9493,3.028,3.0191,2.9963,2.9685,2.9369,2.8411,2.8253,2.8428,2.8489,22.1716,32.6074,38.2341,46.7758
3/8/2000,2.867,2.893,2.867,2.893,3000.0,2.88,2.904,2.944,3.022,3.0156,2.999,2.9704,2.9389,2.8428,2.8272,2.8426,2.8488,41.1602,37.8449,41.4116,48.1744
3/9/2000,2.88,2.88,2.867,2.867,7500.0,2.8747,2.8933,2.9347,3.0147,3.0098,2.9973,2.9717,2.9404,2.8443,2.8294,2.8424,2.8485,30.1326,34.8022,39.2378,46.8995
3/10/2000,2.88,2.867,2.867,2.867,3000.0,2.8667,2.872,2.9213,3.0013,3.004,2.9973,2.9717,2.942,2.8456,2.8311,2.8423,2.8488,30.1326,34.8022,39.2378,46.8995
3/13/2000,2.88,2.88,2.867,2.88,6000.0,2.8767,2.8747,2.9107,2.986,2.9991,2.9977,2.9725,2.9438,2.8471,2.8329,2.8423,2.8492,46.314,37.9587,41.0327,47.641
3/14/2000,2.88,2.88,2.867,2.88,6000.0,2.8767,2.8747,2.9107,2.986,2.9991,2.9977,2.9725,2.9438,2.8471,2.8329,2.8423,2.8492,46.314,37.9587,41.0327,47.641
3/15/2000,2.88,2.867,2.867,2.813,3000.0,2.84,2.864,2.8933,2.9673,2.9933,2.9953,2.9709,2.9444,2.8485,2.8308,2.8418,2.8487,16.9213,29.8339,35.4016,44.4321
3/16/2000,2.88,2.867,2.867,2.813,3000.0,2.84,2.864,2.8933,2.9673,2.9933,2.9953,2.9709,2.9444,2.8485,2.8308,2.8418,2.8487,16.9213,29.8339,35.4016,44.4321
3/17/2000,2.867,2.867,2.867,2.867,3000.0,2.8667,2.8587,2.8813,2.9513,2.9893,2.994,2.9707,2.946,2.8505,2.8319,2.8416,2.8484,52.8382,41.1674,42.2317,47.366
3/20/2000,2.827,2.827,2.827,2.827,3000.0,2.8267,2.8507,2.872,2.9333,2.9858,2.9897,2.9685,2.9469,2.8521,2.8326,2.8408,2.8479,35.5486,36.2298,38.9089,45.502
3/21/2000,2.827,2.827,2.827,2.827,3000.0,2.8267,2.8507,2.872,2.9333,2.9858,2.9897,2.9685,2.9469,2.8521,2.8326,2.8408,2.8479,35.5486,36.2298,38.9089,45.502
3/22/2000,2.827,2.867,2.827,2.867,6000.0,2.8467,2.8507,2.8613,2.922,2.9822,2.9863,2.9683,2.948,2.8543,2.8333,2.8402,2.8475,56.768,43.8114,43.6809,47.6339
3/23/2000,2.827,2.907,2.827,2.907,4500.0,2.9022,2.856,2.8653,2.9167,2.9791,2.984,2.9696,2.9502,2.8567,2.8344,2.8398,2.8476,71.0599,50.4401,48.051,49.6705
3/24/2000,2.907,2.907,2.893,2.907,91500.0,2.9056,2.8747,2.8693,2.9093,2.9751,2.9817,2.9709,2.952,2.8587,2.8354,2.8393,2.8481,71.0599,50.4401,48.051,49.6705
3/27/2000,2.88,2.933,2.88,2.933,10500.0,2.9029,2.888,2.8733,2.9087,2.9724,2.98,2.9739,2.9542,2.8616,2.8366,2.8389,2.8487,80.6535,54.9267,50.9912,51.0293
3/28/2000,2.933,3.0,2.907,2.907,12000.0,2.9283,2.904,2.8773,2.906,2.9689,2.9767,2.9733,2.956,2.8639,2.8374,2.8385,2.8485,53.8679,49.8498,48.0617,49.6428
3/29/2000,2.933,2.933,2.933,2.933,1500.0,2.9333,2.9173,2.884,2.9027,2.9622,2.974,2.9747,2.9571,2.8664,2.8388,2.8381,2.8483,69.2075,54.5735,51.0879,51.0195
3/30/2000,2.933,2.933,2.933,2.933,1500.0,2.9333,2.9173,2.884,2.9027,2.9622,2.974,2.9747,2.9571,2.8664,2.8388,2.8381,2.8483,69.2075,54.5735,51.0879,51.0195
3/31/2000,2.92,2.933,2.907,2.933,7500.0,2.9147,2.9227,2.8893,2.9,2.9538,2.9717,2.976,2.9587,2.8689,2.8401,2.8383,2.8481,69.2075,54.5735,51.0879,51.0195
4/3/2000,2.907,2.907,2.907,2.907,4500.0,2.9067,2.9227,2.8987,2.896,2.9444,2.9697,2.976,2.9589,2.8713,2.8413,2.8381,2.8479,39.5888,48.7607,47.8542,49.5693
4/4/2000,2.933,2.933,2.933,2.933,6000.0,2.92,2.9227,2.9053,2.8933,2.936,2.9683,2.9763,2.9598,2.8743,2.843,2.8381,2.848,63.2077,54.2435,51.1819,51.0099
4/5/2000,2.907,2.907,2.907,2.907,7500.0,2.9067,2.9227,2.9133,2.8927,2.9267,2.9677,2.9744,2.9593,2.8768,2.8446,2.838,2.8478,39.8421,48.4153,47.8907,49.5458
4/6/2000,2.907,2.907,2.907,2.907,7500.0,2.9067,2.9227,2.9133,2.8927,2.9267,2.9677,2.9744,2.9593,2.8768,2.8446,2.838,2.8478,39.8421,48.4153,47.8907,49.5458
4/7/2000,2.933,2.933,2.933,2.933,6000.0,2.9333,2.9227,2.92,2.8907,2.9213,2.9667,2.9731,2.9602,2.88,2.8466,2.8381,2.8481,61.3007,53.9782,51.2656,51.0007
4/10/2000,2.933,2.947,2.92,2.92,60000.0,2.9317,2.92,2.9213,2.8933,2.9182,2.9647,2.9715,2.9616,2.8828,2.8483,2.8384,2.8482,48.3624,50.8912,49.538,50.2512
4/11/2000,2.92,2.933,2.92,2.933,24000.0,2.9292,2.9253,2.924,2.8967,2.9142,2.9623,2.9701,2.9631,2.8855,2.8503,2.8385,2.8482,60.7794,53.8598,51.3052,50.9961
4/12/2000,2.933,2.933,2.933,2.933,7500.0,2.9333,2.9253,2.924,2.8987,2.9138,2.9603,2.9688,2.9656,2.8888,2.8521,2.8385,2.8482,60.7794,53.8598,51.3052,50.9961
4/13/2000,2.92,2.933,2.667,2.733,40500.0,2.7842,2.8907,2.9067,2.892,2.9062,2.9533,2.9627,2.9622,2.8899,2.8522,2.8376,2.8473,6.6676,25.0789,31.8819,41.1132
4/14/2000,2.92,2.933,2.907,2.92,21000.0,2.92,2.888,2.9053,2.8947,2.9036,2.948,2.9603,2.9631,2.8927,2.8538,2.8376,2.8475,58.4528,52.0071,50.6578,50.395
4/17/2000,2.787,2.787,2.733,2.733,22500.0,2.7653,2.8507,2.8853,2.8873,2.8951,2.9367,2.9544,2.9609,2.8936,2.8538,2.8367,2.8468,31.9018,37.0329,39.0625,43.3298
4/18/2000,2.773,2.773,2.773,2.773,3000.0,2.7733,2.8187,2.872,2.8853,2.888,2.9263,2.9501,2.9587,2.8948,2.8547,2.8358,2.8461,40.5776,41.1198,42.1198,45.0379
4/19/2000,2.867,2.867,2.867,2.867,4500.0,2.8667,2.8053,2.8653,2.8853,2.884,2.9183,2.9477,2.9578,2.8968,2.8563,2.8353,2.8459,58.903,49.6913,48.6,48.7655
4/20/2000,2.867,2.867,2.84,2.84,10500.0,2.8514,2.8267,2.8587,2.886,2.8813,2.9097,2.9459,2.9551,2.8985,2.8578,2.8348,2.8453,52.0267,47.47,46.9815,47.8072
4/21/2000,2.8,2.8,2.787,2.787,30000.0,2.788,2.8,2.844,2.882,2.8751,2.902,2.9421,2.9516,2.8984,2.8589,2.834,2.8444,38.5321,43.132,43.8373,45.9394
4/24/2000,2.787,2.787,2.787,2.787,42000.0,2.7867,2.8107,2.8307,2.876,2.8724,2.8963,2.9379,2.948,2.8989,2.8599,2.8328,2.8434,38.5321,43.132,43.8373,45.9394
4/25/2000,2.8,2.84,2.8,2.84,10500.0,2.8095,2.824,2.8213,2.8727,2.8716,2.891,2.9341,2.9453,2.9,2.861,2.8319,2.8426,61.1847,49.0274,47.8825,48.109
4/26/2000,2.853,2.853,2.853,2.853,1500.0,2.8533,2.8213,2.8133,2.8687,2.8702,2.8887,2.9309,2.9429,2.9017,2.8628,2.8315,2.8419,65.8976,50.4715,48.874,48.642
4/27/2000,2.827,2.827,2.813,2.813,36000.0,2.8228,2.816,2.8213,2.864,2.8684,2.885,2.9269,2.9391,2.9025,2.8639,2.8309,2.8411,42.6141,46.0668,46.0441,47.1392
4/28/2000,2.827,2.827,2.813,2.813,36000.0,2.8228,2.816,2.8213,2.864,2.8684,2.885,2.9269,2.9391,2.9025,2.8639,2.8309,2.8411,42.6141,46.0668,46.0441,47.1392
5/1/2000,2.827,2.827,2.813,2.813,36000.0,2.8228,2.816,2.8213,2.864,2.8684,2.885,2.9269,2.9391,2.9025,2.8639,2.8309,2.8411,42.6141,46.0668,46.0441,47.1392
5/2/2000,2.827,2.827,2.813,2.813,36000.0,2.8228,2.816,2.8213,2.864,2.8684,2.885,2.9269,2.9391,2.9025,2.8639,2.8309,2.8411,42.6141,46.0668,46.0441,47.1392
5/3/2000,2.827,2.827,2.813,2.813,36000.0,2.8228,2.816,2.8213,2.864,2.8684,2.885,2.9269,2.9391,2.9025,2.8639,2.8309,2.8411,42.6141,46.0668,46.0441,47.1392
5/4/2000,2.88,2.88,2.88,2.88,6000.0,2.88,2.8347,2.8173,2.8613,2.8689,2.882,2.9219,2.9364,2.9031,2.8656,2.8307,2.8405,69.5294,53.6511,51.1236,49.8126
