Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
10/10/2000,5.178,5.178,5.031000000000001,5.031000000000001,6837.0,5.1045,5.1133,5.1074,5.1747,5.2859,5.3554,5.4082,5.4492,5.5737,5.5211,5.3862,5.3382,34.4754,36.8823,36.7586,39.4345
10/11/2000,5.119,5.119,5.031000000000001,5.031000000000001,20511.0,5.0606,5.0957,5.0987,5.1645,5.2683,5.3422,5.3953,5.4385,5.5612,5.5219,5.3849,5.3393,34.4754,36.8823,36.7586,39.4345
10/12/2000,5.061,5.061,5.061,5.061,3419.0,5.0606,5.0782,5.0957,5.1543,5.2518,5.3298,5.382999999999999,5.4282,5.5533,5.5226,5.3823,5.3404,47.1043,40.549,39.2063,40.5499
10/13/2000,5.061,5.061,5.061,5.061,3419.0,5.0606,5.0782,5.0957,5.1543,5.2518,5.3298,5.382999999999999,5.4282,5.5533,5.5226,5.3823,5.3404,47.1043,40.549,39.2063,40.5499
10/16/2000,5.061,5.061,5.061,5.061,3419.0,5.0606,5.0782,5.0957,5.1543,5.2518,5.3298,5.382999999999999,5.4282,5.5533,5.5226,5.3823,5.3404,47.1043,40.549,39.2063,40.5499
10/17/2000,5.09,5.09,5.09,5.09,3419.0,5.0899,5.0431,5.0957,5.1484,5.2362,5.3181,5.3725,5.4185,5.5456,5.5297,5.3803,5.3419,58.9671,44.1961,41.6389,41.6613
10/18/2000,5.09,5.09,5.09,5.09,3419.0,5.0899,5.0431,5.0957,5.1484,5.2362,5.3181,5.3725,5.4185,5.5456,5.5297,5.3803,5.3419,58.9671,44.1961,41.6389,41.6613
10/19/2000,4.973,5.09,4.973,5.09,23930.0,5.023,5.0606,5.0957,5.1352,5.2206,5.3064,5.3608,5.4087,5.537999999999999,5.5282,5.3784,5.3425,58.9671,44.1961,41.6389,41.6613
10/20/2000,4.973,5.09,4.973,5.09,6837.0,5.0314,5.0723,5.0928,5.1235,5.2079,5.2947,5.3502,5.4,5.5304,5.5267,5.3771,5.3432,58.9671,44.1961,41.6389,41.6613
10/23/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
10/24/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
10/25/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
10/26/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
10/27/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
10/30/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
10/31/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
11/1/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
11/2/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
11/3/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
11/6/2000,5.119,5.148,5.119,5.148,6837.0,5.1338,5.0957,5.0957,5.1206,5.1962,5.2829999999999995,5.3409,5.3917,5.5234,5.5258,5.3756,5.3448,83.6769,52.495,46.9422,43.98
11/7/2000,5.031000000000001,5.148,5.002,5.119,20511.0,5.085,5.1074,5.0928,5.1192,5.1816,5.272,5.3309,5.3829,5.5161,5.5253,5.3728,5.346,57.6428,48.4426,44.7525,43.0941
11/8/2000,5.031000000000001,5.148,5.002,5.119,20511.0,5.085,5.1074,5.0928,5.1192,5.1816,5.272,5.3309,5.3829,5.5161,5.5253,5.3728,5.346,57.6428,48.4426,44.7525,43.0941
11/9/2000,5.031000000000001,5.148,5.002,5.119,20511.0,5.085,5.1074,5.0928,5.1192,5.1816,5.272,5.3309,5.3829,5.5161,5.5253,5.3728,5.346,57.6428,48.4426,44.7525,43.0941
11/10/2000,5.031000000000001,5.148,5.002,5.119,20511.0,5.085,5.1074,5.0928,5.1192,5.1816,5.272,5.3309,5.3829,5.5161,5.5253,5.3728,5.346,57.6428,48.4426,44.7525,43.0941
11/13/2000,5.119,5.265,5.119,5.236000000000001,30767.0,5.1777,5.1367,5.0899,5.1192,5.1728,5.2639,5.3239,5.3751,5.5094,5.5277,5.3712,5.348,85.2247,61.7349,53.9966,47.4726
11/14/2000,5.265,5.47,5.265,5.47,30767.0,5.3434,5.2128,5.1367,5.1294,5.1747,5.2618,5.3222,5.3727,5.505,5.5306,5.372999999999999,5.351,94.9974,75.7829,66.1835,54.6862
11/15/2000,5.353,5.499,5.353,5.499,6837.0,5.4263,5.2947,5.1835,5.1455,5.1777,5.2603,5.321000000000001,5.3707,5.5009,5.5331,5.3735,5.354,95.5494,76.9718,67.3479,55.4768
11/16/2000,5.353,5.499,5.353,5.499,6837.0,5.4263,5.2947,5.1835,5.1455,5.1777,5.2603,5.321000000000001,5.3707,5.5009,5.5331,5.3735,5.354,95.5494,76.9718,67.3479,55.4768
11/17/2000,5.324,5.499,5.324,5.499,13674.0,5.4263,5.3649,5.2303,5.1645,5.1864,5.2588,5.3198,5.3678,5.4968,5.5355,5.3736,5.357,95.5494,76.9718,67.3479,55.4768
11/20/2000,5.324,5.499,5.324,5.499,13674.0,5.4263,5.3649,5.2303,5.1645,5.1864,5.2588,5.3198,5.3678,5.4968,5.5355,5.3736,5.357,95.5494,76.9718,67.3479,55.4768
11/21/2000,5.324,5.47,5.324,5.441,27348.0,5.3861,5.4292,5.2683,5.182,5.1923,5.2559,5.3175,5.3639,5.4921,5.5375,5.3748,5.3596,63.8485,68.4641,62.3667,53.4796
11/22/2000,5.353,5.441,5.295,5.382000000000001,17093.0,5.3532,5.4585,5.2976,5.1967,5.1981,5.2515,5.314,5.36,5.4874,5.5384,5.3749,5.3619,42.6322,60.8924,57.7656,51.5595
11/23/2000,5.265,5.412000000000001,5.265,5.412000000000001,17093.0,5.3239,5.4468,5.3298,5.2128,5.2001,5.2479,5.311,5.3556,5.483,5.5404,5.3756,5.3643,54.0771,63.1828,59.3793,52.4427
11/24/2000,5.265,5.412000000000001,5.265,5.412000000000001,17093.0,5.3239,5.4468,5.3298,5.2128,5.2001,5.2479,5.311,5.3556,5.483,5.5404,5.3756,5.3643,54.0771,63.1828,59.3793,52.4427
11/27/2000,5.265,5.324,5.265,5.324,17093.0,5.2947,5.4117,5.3532,5.223,5.2001,5.2442,5.3064,5.3507,5.4769,5.5416,5.3766,5.3660000000000005,28.4954,52.7552,52.8549,49.6342
11/28/2000,5.236000000000001,5.295,5.236000000000001,5.295,6837.0,5.2654,5.3707,5.3678,5.2318,5.202999999999999,5.2391,5.2999,5.3454,5.4713,5.5411,5.3777,5.3676,23.0446,49.6805,50.8493,48.7342
