Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2006,2.44,2.48,2.44,2.44,451950.0,2.4564,2.432,2.4253,2.6187,2.7636,2.83,2.8581,2.8936,2.9192,2.9044,2.799,2.7706,52.8196,29.7437,27.7401,32.0691
1/4/2006,2.4530000000000003,2.533,2.4530000000000003,2.52,3554100.0,2.4995,2.4587,2.4333,2.5913,2.7467,2.818,2.8496,2.884,2.9139,2.904,2.7986,2.7732,84.6426,45.7392,38.3049,37.2061
1/5/2006,2.52,2.6,2.52,2.6,3025500.0,2.5683,2.4933,2.4507,2.5667,2.7319999999999998,2.8077,2.8424,2.8760000000000003,2.9095,2.9043,2.7987,2.7739,92.3662,56.8033,46.6975,41.7619
1/6/2006,2.6,2.667,2.6,2.667,6162150.0,2.6382,2.5333,2.4747,2.546,2.7196,2.799,2.8363,2.8693,2.9063,2.9051,2.7991,2.7752,95.3128,63.7357,52.4967,45.19
1/9/2006,2.68,2.693,2.653,2.667,4042500.0,2.678,2.5787,2.5,2.528,2.7071,2.79,2.8307,2.8624,2.9036,2.9052,2.7995,2.7769,95.3128,63.7357,52.4967,45.19
1/10/2006,2.68,2.693,2.653,2.667,4042500.0,2.678,2.5787,2.5,2.528,2.7071,2.79,2.8307,2.8624,2.9036,2.9052,2.7995,2.7769,95.3128,63.7357,52.4967,45.19
1/11/2006,2.667,2.667,2.613,2.653,4104000.0,2.6519,2.6213,2.5267,2.5107,2.6942,2.7797,2.8248,2.8549,2.9005,2.9056,2.7998,2.7782,81.2073,61.2477,51.2045,44.6278
1/12/2006,2.667,2.693,2.653,2.653,1925700.0,2.6717,2.648,2.5533,2.4933,2.6818,2.7693,2.8192,2.8473,2.898,2.9059,2.8,2.7788,81.2073,61.2477,51.2045,44.6278
1/13/2006,2.667,2.667,2.613,2.613,481800.0,2.6341,2.6507,2.572,2.4993,2.6653,2.759,2.8128,2.8393,2.8952,2.9056,2.8001,2.7787,40.6251,53.3415,47.1652,42.9136
1/16/2006,2.64,2.64,2.613,2.613,465900.0,2.6158,2.64,2.5867,2.506,2.6498,2.7487,2.8056,2.832,2.8929,2.9052,2.8004,2.7788,40.6251,53.3415,47.1652,42.9136
1/17/2006,2.627,2.667,2.627,2.667,1222050.0,2.6516,2.64,2.6093,2.5187,2.6369,2.74,2.7984,2.826,2.8911,2.9036,2.801,2.7791,76.2425,61.6872,52.9096,45.8797
1/18/2006,2.667,2.667,2.5869999999999997,2.5869999999999997,1654650.0,2.6146,2.6267,2.6239999999999997,2.5247,2.6204,2.7287,2.7888,2.8191,2.8887,2.9012,2.8013,2.7791,32.4476,47.3847,45.0053,42.4567
1/19/2006,2.5869999999999997,2.64,2.5869999999999997,2.6,870000.0,2.6153,2.616,2.6319999999999997,2.5327,2.6049,2.718,2.7808,2.8133,2.886,2.8989999999999996,2.8016,2.7791,40.9302,49.5767,46.4414,43.1875
1/20/2006,2.6,2.627,2.6,2.6,697050.0,2.6156,2.6133,2.6319999999999997,2.5413,2.5884,2.707,2.7725,2.8073,2.8835,2.8964,2.8016,2.7791,40.9302,49.5767,46.4414,43.1875
1/23/2006,2.6,2.6,2.573,2.5869999999999997,1657800.0,2.5941,2.608,2.6239999999999997,2.5493,2.572,2.6957,2.764,2.8009,2.8808,2.8937,2.8015,2.7792,31.9135,47.0936,45.0762,42.6084
1/24/2006,2.5869999999999997,2.627,2.5869999999999997,2.613,820800.0,2.612,2.5973,2.6187,2.5593,2.5582,2.685,2.7557,2.7953,2.8781,2.891,2.8015,2.7795,59.0059,52.452,48.3466,44.1576
1/25/2006,2.627,2.653,2.613,2.653,446100.0,2.6357,2.6107,2.6187,2.5727,2.5467,2.6753,2.7475,2.7904,2.8763,2.8873,2.8019,2.7803,78.3706,59.3924,52.879,46.4027
1/26/2006,2.64,2.653,2.573,2.6,919500.0,2.6097,2.6107,2.6133,2.5833,2.5333,2.6647,2.7381,2.7849,2.8739,2.8836,2.8019,2.7807,40.2984,48.7243,46.961999999999996,43.9647
1/27/2006,2.613,2.64,2.613,2.64,556350.0,2.6272,2.6187,2.616,2.594,2.5382,2.653,2.7304,2.78,2.8717,2.8801,2.8021,2.7807,61.3962,55.4726,51.3581,46.1594
1/30/2006,2.613,2.64,2.613,2.64,556350.0,2.6272,2.6187,2.616,2.594,2.5382,2.653,2.7304,2.78,2.8717,2.8801,2.8021,2.7807,61.3962,55.4726,51.3581,46.1594
1/31/2006,2.613,2.64,2.613,2.64,556350.0,2.6272,2.6187,2.616,2.594,2.5382,2.653,2.7304,2.78,2.8717,2.8801,2.8021,2.7807,61.3962,55.4726,51.3581,46.1594
2/1/2006,2.613,2.64,2.613,2.64,556350.0,2.6272,2.6187,2.616,2.594,2.5382,2.653,2.7304,2.78,2.8717,2.8801,2.8021,2.7807,61.3962,55.4726,51.3581,46.1594
2/2/2006,2.613,2.64,2.613,2.64,556350.0,2.6272,2.6187,2.616,2.594,2.5382,2.653,2.7304,2.78,2.8717,2.8801,2.8021,2.7807,61.3962,55.4726,51.3581,46.1594
2/3/2006,2.653,2.84,2.64,2.813,9639750.0,2.7583,2.6639999999999997,2.636,2.6113,2.5493,2.6463,2.7261,2.7773,2.8711,2.878,2.8033,2.7817,88.2913,72.8756,64.9252,54.2007
2/6/2006,2.827,2.9330000000000003,2.8,2.907,6351750.0,2.8833,2.7227,2.66,2.6347,2.5658,2.6427,2.7239999999999998,2.7753,2.8708,2.8769,2.805,2.7834,92.5075,78.0681,69.8084,57.7183
2/7/2006,2.907,2.9330000000000003,2.84,2.907,5158650.0,2.8986,2.7733,2.6919999999999997,2.658,2.5804,2.6383,2.7213,2.7727,2.8704,2.8757,2.8065,2.7849,92.5075,78.0681,69.8084,57.7183
2/8/2006,2.92,3.053,2.8930000000000002,3.04,5294100.0,2.9926,2.8613,2.736,2.6839999999999997,2.6004,2.6377,2.7216,2.7733,2.8715,2.8756,2.8089,2.7871,96.5271,83.7073,75.4672,62.1612
2/9/2006,3.04,3.147,3.04,3.093,5105400.0,3.114,2.952,2.7853,2.7087,2.6227,2.6377,2.7227,2.7747,2.8729,2.8760000000000003,2.8115,2.7897,97.3728,85.3969,77.2999,63.7379
2/10/2006,3.093,3.093,3.013,3.053,3417150.0,3.0509,3.0,2.832,2.728,2.6436,2.637,2.7229,2.7753,2.8739,2.8766,2.8139,2.792,76.434,78.5258,72.9011,61.7418
2/13/2006,3.08,3.2,3.08,3.16,9665550.0,3.1607,3.0507,2.8867,2.7527,2.6684,2.6403,2.7253,2.7776,2.8764,2.8784,2.8168,2.7948,87.3311,82.7014,76.7076,64.7842
2/14/2006,3.16,3.173,3.1069999999999998,3.12,1753950.0,3.1357,3.0933,2.9333,2.7760000000000002,2.6929,2.6433,2.7269,2.7784,2.8781,2.8798,2.8196,2.7974,69.3046,76.4315,72.5898,62.8455
2/15/2006,3.133,3.16,3.1069999999999998,3.12,1439400.0,3.133,3.1093,2.9853,2.7993,2.7173,2.6463,2.7288,2.7793,2.8799,2.8816,2.8221,2.7999,69.3046,76.4315,72.5898,62.8455
2/16/2006,3.12,3.133,3.053,3.0669999999999997,1406100.0,3.095,3.1039999999999996,3.028,2.822,2.7387,2.6607,2.728,2.78,2.88,2.883,2.8241,2.8023,42.8005,67.7623,67.0258,60.2718
