Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,5.9,6.05,5.9,6.0,288000.0,5.9865,5.88,5.795,5.7125,5.6167,5.5388,5.504,5.4675,5.4015,5.4325,5.4981,5.484,91.9888,74.53,70.7439,66.3011
1/4/2000,6.05,6.05,6.0,6.05,100000.0,6.002,5.92,5.835,5.7425,5.6433,5.5563,5.519,5.48,5.413,5.4329,5.4981,5.4899,94.0885,76.6976,72.4183,67.353
1/5/2000,5.95,6.05,5.95,6.05,226000.0,6.0133,5.96,5.87,5.7675,5.665,5.575,5.534,5.4925,5.4245,5.4338,5.4975,5.4931,94.0885,76.6976,72.4183,67.353
1/6/2000,6.05,6.05,5.95,6.0,38000.0,6.0,5.99,5.9,5.7875,5.685,5.5913,5.548,5.5042,5.4345,5.4338,5.4972,5.4971,59.1855,69.2397,67.9108,65.1759
1/7/2000,6.05,6.05,5.95,6.0,38000.0,6.0,5.99,5.9,5.7875,5.685,5.5913,5.548,5.5042,5.4345,5.4338,5.4972,5.4971,59.1855,69.2397,67.9108,65.1759
1/10/2000,6.05,6.05,5.95,6.0,38000.0,6.0,5.99,5.9,5.7875,5.685,5.5913,5.548,5.5042,5.4345,5.4338,5.4972,5.4971,59.1855,69.2397,67.9108,65.1759
1/11/2000,6.1,6.3,6.1,6.2,96000.0,6.2094,6.06,5.94,5.82,5.7083,5.6138,5.566,5.5183,5.445,5.4354,5.4975,5.5021,87.3473,78.6026,74.6955,69.2843
1/12/2000,6.2,6.3,6.2,6.3,36000.0,6.2694,6.12,6.0,5.855,5.735,5.6388,5.584,5.535,5.4525,5.4388,5.4978,5.5076,91.6621,81.7306,77.2819,71.0508
1/13/2000,6.35,6.65,6.35,6.65,554000.0,6.494,6.24,6.08,5.9,5.775,5.6713,5.608,5.5575,5.4635,5.4446,5.5,5.5159,97.0119,88.4048,83.6001,76.0401
1/14/2000,6.65,7.05,6.4,6.75,596000.0,6.7366,6.38,6.17,5.945,5.8183,5.7075,5.635,5.5825,5.4755,5.4525,5.5022,5.5241,97.6564,89.6233,84.8929,77.2014
