Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.41,2.434,2.373,2.373,4656000.0,2.399,2.3083,2.2786,2.1915,2.1514,2.1158,2.0972,2.0879,2.0586,2.067,2.0402,1.9485,72.5932,76.2564,73.575,67.9098
1/4/2000,2.373,2.373,2.335,2.36,8140000.0,2.3633,2.333,2.2922,2.2101,2.1604,2.1251,2.1044,2.0935,2.0649,2.0673,2.0459,1.9556,64.5769,72.8703,71.3854,66.9222
1/5/2000,2.274,2.36,2.274,2.348,4156000.0,2.3296,2.3528,2.3009,2.2286,2.1691,2.1344,2.1118,2.098,2.0692,2.0682,2.0515,1.9626,55.4004,69.4034,69.1685,65.9304
1/6/2000,2.36,2.385,2.323,2.323,4560000.0,2.3491,2.3627,2.3071,2.244,2.1765,2.143,2.1175,2.1026,2.0705,2.0687,2.0566,1.9693,38.8419,62.6923,64.832,63.9688
1/7/2000,2.36,2.385,2.323,2.323,4560000.0,2.3491,2.3627,2.3071,2.244,2.1765,2.143,2.1175,2.1026,2.0705,2.0687,2.0566,1.9693,38.8419,62.6923,64.832,63.9688
1/10/2000,2.36,2.385,2.323,2.323,4560000.0,2.3491,2.3627,2.3071,2.244,2.1765,2.143,2.1175,2.1026,2.0705,2.0687,2.0566,1.9693,38.8419,62.6923,64.832,63.9688
1/11/2000,2.373,2.459,2.373,2.434,7428000.0,2.4131,2.3676,2.3256,2.2613,2.1876,2.1538,2.1259,2.1079,2.0726,2.0703,2.0618,1.9767,79.7322,74.9533,73.0271,68.352
1/12/2000,2.434,2.768,2.434,2.694,15176000.0,2.6331,2.4319,2.3701,2.2916,2.2074,2.1705,2.139,2.1178,2.0783,2.0739,2.0684,1.9853,93.932,86.5536,82.9883,75.5356
1/13/2000,2.719,2.817,2.669,2.694,16700000.0,2.7301,2.4986,2.4158,2.3194,2.2276,2.1875,2.1519,2.1277,2.0836,2.0772,2.0752,1.9939,93.932,86.5536,82.9883,75.5356
1/14/2000,2.743,2.793,2.694,2.768,14268000.0,2.7324,2.5826,2.4677,2.3491,2.2515,2.2054,2.1657,2.1409,2.0892,2.0812,2.0826,2.0026,95.8163,88.4825,84.8431,77.1233
1/17/2000,2.817,3.188,2.817,2.892,27116000.0,3.0642,2.6963,2.5295,2.3843,2.2795,2.2283,2.1832,2.1569,2.0961,2.0864,2.0905,2.0119,97.6447,90.9237,87.3238,79.4255
1/18/2000,2.941,3.065,2.916,3.065,16400000.0,3.0136,2.8224,2.595,2.4294,2.3128,2.2545,2.2045,2.1742,2.1045,2.0938,2.0994,2.022,98.7719,93.1954,89.8327,82.0427
1/19/2000,3.04,3.163,2.99,3.065,16812000.0,3.0784,2.8965,2.6642,2.4714,2.3491,2.2796,2.2255,2.1917,2.1132,2.1013,2.108,2.0317,98.7719,93.1954,89.8327,82.0427
1/20/2000,3.089,3.114,3.015,3.015,9024000.0,3.0621,2.9607,2.7297,2.511,2.3833,2.3027,2.246,2.2086,2.1215,2.1083,2.116,2.0408,75.5339,85.4608,84.3038,78.9712
1/21/2000,3.04,3.089,3.015,3.065,6372000.0,3.042,3.0201,2.8013,2.5511,2.4195,2.3271,2.2678,2.2267,2.1306,2.1157,2.1239,2.0504,81.9159,86.7024,85.2795,79.7552
1/24/2000,3.065,3.089,2.916,3.04,1880000.0,3.0163,3.0497,2.873,2.59,2.4537,2.3506,2.289,2.2434,2.1394,2.1225,2.1315,2.0597,68.5124,82.7286,82.5175,78.2462
1/25/2000,2.99,3.04,2.966,3.015,3656000.0,2.9957,3.0398,2.9311,2.6283,2.4846,2.3735,2.3093,2.2601,2.1479,2.1312,2.1386,2.0688,55.0106,78.6721,79.7364,76.7441
1/26/2000,3.015,3.04,2.941,2.966,5020000.0,2.9941,3.0201,2.9583,2.6642,2.5138,2.3951,2.3281,2.2756,2.1568,2.1384,2.1452,2.0772,34.5716,70.855,74.34,73.8124
1/27/2000,2.966,2.966,2.867,2.892,6692000.0,2.9026,2.9953,2.978,2.6969,2.539,2.4152,2.3456,2.2896,2.1654,2.1458,2.1512,2.0853,18.83,60.6804,67.0136,69.6819
1/28/2000,2.916,2.941,2.743,2.817,11268000.0,2.8116,2.9459,2.983,2.7253,2.5604,2.4343,2.3609,2.3019,2.1726,2.1532,2.1564,2.093,11.1884,52.241,60.5836,65.8687
1/31/2000,2.793,2.817,2.743,2.793,6104000.0,2.7777,2.8965,2.9731,2.7513,2.5806,2.4529,2.3772,2.3149,2.1789,2.1617,2.1608,2.1006,9.3011,49.6514,58.5664,64.6488
2/1/2000,2.793,2.817,2.743,2.793,6104000.0,2.7777,2.8965,2.9731,2.7513,2.5806,2.4529,2.3772,2.3149,2.1789,2.1617,2.1608,2.1006,9.3011,49.6514,58.5664,64.6488
2/2/2000,2.842,2.99,2.842,2.966,12668000.0,2.9347,2.8866,2.9632,2.7791,2.6073,2.4754,2.3963,2.331,2.1868,2.173,2.1665,2.1089,67.2706,63.7874,66.8798,68.8292
2/3/2000,2.966,3.089,2.966,3.065,13196000.0,3.0672,2.9064,2.9632,2.8137,2.6353,2.5026,2.4163,2.3485,2.1957,2.1844,2.1724,2.1176,78.8547,69.3241,70.5198,70.8658
2/4/2000,2.966,3.089,2.966,3.065,13196000.0,3.0672,2.9064,2.9632,2.8137,2.6353,2.5026,2.4163,2.3485,2.1957,2.1844,2.1724,2.1176,78.8547,69.3241,70.5198,70.8658
2/7/2000,2.966,3.089,2.966,3.065,13196000.0,3.0672,2.9064,2.9632,2.8137,2.6353,2.5026,2.4163,2.3485,2.1957,2.1844,2.1724,2.1176,78.8547,69.3241,70.5198,70.8658
2/8/2000,3.089,3.188,3.089,3.188,9912000.0,3.1547,2.9657,2.9805,2.8551,2.6675,2.5326,2.4383,2.3684,2.2059,2.1966,2.1791,2.1268,87.2897,74.7525,74.3192,73.1354
