Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
6/6/2007,1.76,1.88,1.72,1.79,2171100.0,1.8069,1.6440000000000001,1.4969999999999999,1.364,1.338,1.3118,1.2866,1.2434,1.159,1.0986,0.9524,0.9224,91.1138,79.83,75.7192,69.2255
6/7/2007,1.74,1.78,1.72,1.77,978600.0,1.7556,1.712,1.5490000000000002,1.39,1.3527,1.3243,1.3002,1.2558,1.1686,1.1065,0.9588,0.9285,80.2369,77.0534,73.8214,68.2134
6/8/2007,1.72,1.82,1.71,1.75,1324000.0,1.7633,1.7619999999999998,1.604,1.4155,1.367,1.3368,1.3138,1.2679,1.1776,1.1144,0.9652,0.9338,68.0512,74.152,71.8812,67.197
6/11/2007,1.78,1.8,1.7,1.73,926800.0,1.7374,1.76,1.642,1.4385,1.3797,1.3488,1.3264,1.2802,1.186,1.1225,0.9714,0.9391,55.425,71.1384,69.9027,66.17699999999999
6/12/2007,1.7,1.78,1.7,1.78,1229800.0,1.7497,1.764,1.666,1.466,1.3957,1.3613,1.3396,1.2932,1.1942,1.131,0.9776,0.9449,73.7141,74.0989,71.9792,67.4546
6/13/2007,1.76,1.8,1.73,1.78,748200.0,1.7690000000000001,1.7619999999999998,1.703,1.493,1.4127,1.3745,1.3512,1.3065,1.2017,1.1394,0.9839,0.9506,73.7141,74.0989,71.9792,67.4546
6/14/2007,1.79,1.79,1.75,1.76,386700.0,1.7624,1.76,1.736,1.5195,1.4287,1.3875,1.3614,1.3195,1.2094,1.1472,0.9903,0.9558,53.8346,70.441,69.7469,66.3813
6/15/2007,1.76,1.94,1.76,1.87,3553500.0,1.8656,1.784,1.7730000000000001,1.5519999999999998,1.4487,1.4035,1.3730000000000002,1.334,1.2179,1.1563,0.9973,0.9617,85.6847,77.3572,74.4418,69.1723
6/18/2007,1.9,2.01,1.9,1.96,2371600.0,1.9698,1.83,1.795,1.5895,1.4713,1.4228,1.3869999999999998,1.3495,1.2275,1.1663,1.0046,0.9682,92.2482,81.3696,77.5162,71.1963
6/19/2007,1.96,2.06,1.9,2.06,1904600.0,1.9846,1.886,1.825,1.6315,1.4987,1.4458,1.4034,1.365,1.238,1.1769,1.0126,0.9751,95.6059,84.74799999999999,80.3452,73.2175
6/20/2007,2.06,2.19,2.06,2.17,2804600.0,2.1626,1.964,1.8630000000000002,1.68,1.5303,1.4693,1.422,1.3827,1.2497,1.1886,1.0213,0.9824,97.4374,87.5434,82.8948,75.1979
6/21/2007,2.17,2.19,2.1,2.1,1060000.0,2.1333,2.032,1.896,1.7225,1.5587,1.4885,1.4386,1.3995,1.2608,1.1996,1.0296,0.9894,69.7045,77.3891,76.1272,71.7073
6/22/2007,2.11,2.15,2.08,2.11,691000.0,2.1224,2.08,1.932,1.768,1.5877,1.5083,1.4558,1.4168,1.2723,1.2105,1.0379,0.9966,71.446,77.8029,76.4233,71.9001
6/25/2007,2.1,2.23,2.1,2.15,872200.0,2.1616,2.1180000000000003,1.974,1.808,1.617,1.5283,1.4738,1.4343,1.2839,1.2217,1.0464,1.004,78.7688,79.4918,77.6192,72.6706
6/26/2007,2.19,2.2,2.09,2.09,864300.0,2.1345,2.124,2.005,1.8355,1.6457,1.548,1.49,1.4505,1.2945,1.2323,1.0546,1.0112,49.9478,70.4468,71.7409,69.7048
6/27/2007,2.08,2.1,2.02,2.06,580900.0,2.0541,2.102,2.033,1.868,1.673,1.5678,1.5062,1.4648,1.3049,1.2428,1.0625,1.0182,39.1925,66.2092,68.93,68.2638
