Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.2,2.32,2.2,2.28,9380000.0,2.2959,2.208,2.196,2.085,2.055,2.0703,2.0742,2.0622,1.9683,1.9191,1.7861,1.7109,87.0208,69.6464,64.283,58.9743
1/4/2000,2.28,2.32,2.22,2.24,9640000.0,2.2616,2.212,2.202,2.111,2.0617,2.0743,2.0786,2.0668,1.9769,1.9228,1.792,1.7176,59.7593,62.2266,60.0867,57.2099
1/5/2000,2.18,2.24,2.14,2.2,14240000.0,2.1922,2.216,2.206,2.1295,2.0677,2.0763,2.0818,2.0702,1.9819,1.9267,1.7973,1.724,40.655,55.5668,56.1401,55.4925
1/6/2000,2.2,2.24,2.16,2.16,6640000.0,2.1997,2.212,2.202,2.143,2.0723,2.0793,2.0834,2.0732,1.9848,1.9303,1.8025,1.7302,27.4783,49.5954,52.4313,53.821
1/7/2000,2.2,2.24,2.16,2.16,6640000.0,2.1997,2.212,2.202,2.143,2.0723,2.0793,2.0834,2.0732,1.9848,1.9303,1.8025,1.7302,27.4783,49.5954,52.4313,53.821
1/10/2000,2.2,2.24,2.16,2.16,6640000.0,2.1997,2.212,2.202,2.143,2.0723,2.0793,2.0834,2.0732,1.9848,1.9303,1.8025,1.7302,27.4783,49.5954,52.4313,53.821
1/11/2000,2.22,2.42,2.22,2.36,18615000.0,2.3412,2.248,2.218,2.165,2.081,2.0858,2.089,2.0792,1.9903,1.9361,1.8086,1.7374,78.8617,68.5852,64.9126,60.0457
1/12/2000,2.36,2.6,2.34,2.56,22360000.0,2.4505,2.304,2.256,2.192,2.097,2.0978,2.0982,2.0887,1.9989,1.9433,1.8158,1.7455,89.7526,77.9365,72.6428,64.9352
1/13/2000,2.58,2.8,2.58,2.7,22700000.0,2.7308,2.396,2.304,2.226,2.1183,2.1118,2.1102,2.1003,2.0076,1.951,1.8242,1.7543,93.3501,82.1264,76.5393,67.7896
1/14/2000,2.72,2.92,2.72,2.8,32870000.0,2.8005,2.516,2.366,2.264,2.1437,2.1263,2.1226,2.1148,2.018,1.9598,1.8329,1.7634,95.1677,84.4928,78.8558,69.6171
1/17/2000,2.84,3.04,2.84,2.96,25645000.0,2.974,2.676,2.444,2.311,2.1793,2.1468,2.1402,2.1308,2.0303,1.9702,1.8424,1.7731,97.0819,87.4772,81.9302,72.2255
1/18/2000,2.96,2.96,2.84,2.92,5180000.0,2.9052,2.788,2.518,2.355,2.2137,2.1663,2.1566,2.1448,2.0421,1.9806,1.8519,1.7828,84.5257,82.9855,78.8438,70.6567
1/19/2000,2.82,3.0,2.82,2.86,7305000.0,2.8992,2.848,2.576,2.386,2.2487,2.1853,2.1714,2.1578,2.0526,1.9903,1.8606,1.792,65.4727,76.3683,74.321,68.353
1/20/2000,2.88,2.96,2.84,2.84,5945000.0,2.9034,2.876,2.636,2.419,2.286,2.2053,2.1866,2.1715,2.0631,1.9998,1.8689,1.801,58.841,74.151,72.8214,67.5931
1/21/2000,2.82,2.84,2.68,2.72,9360000.0,2.7171,2.86,2.688,2.447,2.3157,2.2228,2.1986,2.1828,2.0722,2.0082,1.8764,1.8094,30.7809,62.0002,64.4226,63.2297
1/24/2000,2.74,2.8,2.7,2.72,7380000.0,2.7371,2.812,2.744,2.473,2.3433,2.2403,2.2122,2.1935,2.0805,2.0157,1.8844,1.8175,30.7809,62.0002,64.4226,63.2297
1/25/2000,2.76,2.76,2.66,2.7,5195000.0,2.7095,2.768,2.778,2.498,2.3693,2.2553,2.2242,2.2038,2.0882,2.0234,1.892,1.8256,26.1114,59.9288,63.0177,62.51
1/26/2000,2.76,2.76,2.7,2.74,3835000.0,2.7178,2.744,2.796,2.526,2.3933,2.2718,2.2374,2.2145,2.0967,2.0316,1.8995,1.8336,49.2211,62.7304,64.6768,63.3725
1/27/2000,2.76,2.76,2.62,2.68,5025000.0,2.6581,2.712,2.794,2.549,2.4153,2.2873,2.2482,2.2242,2.1055,2.0401,1.9065,1.8415,28.8904,56.1102,60.3064,61.188
1/28/2000,2.72,2.72,2.64,2.7,5015000.0,2.6995,2.708,2.784,2.575,2.4373,2.3038,2.2578,2.2328,2.1137,2.0498,1.9137,1.8495,41.0624,57.7811,61.2464,61.6439
1/31/2000,2.66,2.7,2.58,2.64,4455000.0,2.628,2.692,2.752,2.598,2.458,2.3225,2.2678,2.2422,2.1208,2.0591,1.92,1.8568,23.1955,51.2025,56.8933,59.4756
2/1/2000,2.66,2.7,2.58,2.64,4455000.0,2.628,2.692,2.752,2.598,2.458,2.3225,2.2678,2.2422,2.1208,2.0591,1.92,1.8568,23.1955,51.2025,56.8933,59.4756
2/2/2000,2.66,2.8,2.66,2.78,5935000.0,2.7625,2.708,2.738,2.628,2.4827,2.3448,2.2806,2.2535,2.1294,2.0708,1.927,1.8648,69.5572,62.4307,63.4255,62.647
