Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.32,1.34,1.3,1.34,263000.0,1.3253,1.298,1.277,1.2525,1.24,1.2165,1.204,1.1955,1.2094,1.2334,1.2725,1.2586,96.3386,82.2799,77.0108,68.0185
1/4/2000,1.33,1.34,1.32,1.33,317000.0,1.3331,1.312,1.284,1.2595,1.2457,1.221,1.2078,1.1982,1.2108,1.2319,1.2734,1.2601,75.7147,75.9187,73.0807,66.4534
1/5/2000,1.27,1.31,1.27,1.27,95000.0,1.2871,1.312,1.285,1.263,1.2473,1.224,1.21,1.1998,1.2111,1.2292,1.2738,1.2614,25.8704,49.8855,54.958,58.1485
1/6/2000,1.24,1.29,1.24,1.26,126000.0,1.2613,1.304,1.286,1.2645,1.2477,1.227,1.2116,1.201,1.2111,1.2263,1.2737,1.2625,22.2144,46.8719,52.6161,56.9219
1/7/2000,1.24,1.29,1.24,1.26,126000.0,1.2613,1.304,1.286,1.2645,1.2477,1.227,1.2116,1.201,1.2111,1.2263,1.2737,1.2625,22.2144,46.8719,52.6161,56.9219
1/10/2000,1.24,1.29,1.24,1.26,126000.0,1.2613,1.304,1.286,1.2645,1.2477,1.227,1.2116,1.201,1.2111,1.2263,1.2737,1.2625,22.2144,46.8719,52.6161,56.9219
1/11/2000,1.3,1.31,1.28,1.3,139000.0,1.2929,1.3,1.29,1.268,1.2493,1.231,1.2142,1.2032,1.2114,1.2246,1.2734,1.2638,57.9065,58.2277,59.965,60.38
1/12/2000,1.3,1.32,1.29,1.31,394000.0,1.3046,1.294,1.296,1.273,1.252,1.2353,1.2178,1.2058,1.2122,1.2232,1.2736,1.2647,64.0862,60.5965,61.5697,61.1858
1/13/2000,1.32,1.34,1.31,1.33,375000.0,1.3253,1.294,1.303,1.2775,1.255,1.24,1.221,1.2088,1.2128,1.2219,1.2741,1.2658,75.0672,65.0551,64.6238,62.7531
1/14/2000,1.33,1.33,1.29,1.33,372000.0,1.3139,1.306,1.309,1.2825,1.258,1.2445,1.2244,1.2123,1.2139,1.2209,1.2746,1.2667,75.0672,65.0551,64.6238,62.7531
1/17/2000,1.35,1.38,1.33,1.35,267000.0,1.3626,1.324,1.314,1.2875,1.2627,1.2498,1.2286,1.2163,1.2146,1.2205,1.2751,1.2675,85.2291,69.4326,67.6092,64.296
1/18/2000,1.35,1.39,1.35,1.37,270000.0,1.3669,1.338,1.319,1.2935,1.2687,1.2553,1.233,1.22,1.2155,1.221,1.2754,1.2686,90.8332,73.2083,70.3076,65.7631
1/19/2000,1.37,1.39,1.36,1.36,146000.0,1.3682,1.348,1.321,1.299,1.2753,1.2603,1.2374,1.2235,1.2162,1.2213,1.2757,1.2695,70.7119,68.4522,67.2891,64.3945
1/20/2000,1.36,1.38,1.35,1.38,234000.0,1.3643,1.358,1.326,1.305,1.2817,1.2658,1.242,1.2275,1.2171,1.2218,1.2758,1.2707,82.4049,72.4756,70.0579,65.8643
1/21/2000,1.39,1.4,1.35,1.4,293000.0,1.3871,1.372,1.339,1.312,1.2883,1.2703,1.247,1.2315,1.2182,1.2227,1.2761,1.272,88.9952,75.9291,72.5592,67.2623
1/24/2000,1.4,1.42,1.38,1.38,123000.0,1.389,1.378,1.351,1.3185,1.2933,1.2735,1.2518,1.2348,1.2192,1.2235,1.2764,1.2731,56.9813,66.537,66.5702,64.5284
1/25/2000,1.36,1.39,1.35,1.38,216000.0,1.3562,1.38,1.359,1.3245,1.2983,1.2768,1.2566,1.2383,1.2205,1.2249,1.2767,1.2742,56.9813,66.537,66.5702,64.5284
1/26/2000,1.37,1.39,1.35,1.38,189000.0,1.3739,1.384,1.366,1.331,1.304,1.2805,1.2614,1.2425,1.2217,1.2259,1.2768,1.2753,56.9813,66.537,66.5702,64.5284
1/27/2000,1.36,1.37,1.35,1.36,148000.0,1.3554,1.38,1.369,1.336,1.308,1.2835,1.2658,1.2457,1.223,1.2268,1.2768,1.2764,25.7359,56.5733,60.3488,61.7499
1/28/2000,1.37,1.37,1.34,1.34,179000.0,1.3531,1.368,1.37,1.3395,1.3117,1.286,1.2696,1.2487,1.2239,1.2279,1.2766,1.2774,14.1211,48.4167,54.8304,59.1166
1/31/2000,1.3,1.34,1.29,1.34,70000.0,1.3089,1.36,1.369,1.3415,1.3147,1.2893,1.2736,1.252,1.2248,1.2289,1.2766,1.2781,14.1211,48.4167,54.8304,59.1166
2/1/2000,1.3,1.34,1.29,1.34,70000.0,1.3089,1.36,1.369,1.3415,1.3147,1.2893,1.2736,1.252,1.2248,1.2289,1.2766,1.2781,14.1211,48.4167,54.8304,59.1166
2/2/2000,1.34,1.35,1.33,1.34,77000.0,1.3375,1.352,1.366,1.3425,1.3177,1.293,1.2774,1.2552,1.2257,1.2303,1.2767,1.2788,14.1211,48.4167,54.8304,59.1166
