Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.804,3.116,2.804,3.116,690342.0,2.9913,2.7936,2.7365,2.5927,2.5437,2.514,2.4972,2.4542,2.2759,2.2986,2.3201,2.2391,96.3826,89.7196,86.1665,79.1308
1/4/2000,3.116,3.531,3.064,3.375,2898325.0,3.2954,2.9338,2.8066,2.642,2.5745,2.5374,2.518,2.4733,2.29,2.3045,2.3294,2.249,98.0865,92.9773,89.8876,82.8196
1/5/2000,3.168,3.453,3.142,3.323,2554080.0,3.3361,3.0533,2.8715,2.6882,2.6036,2.5592,2.5373,2.4902,2.3023,2.3107,2.3378,2.2588,85.9423,86.7893,84.965,79.8977
1/6/2000,3.401,3.609,3.401,3.583,2611454.0,3.5391,3.2298,2.9624,2.7464,2.6413,2.5888,2.5614,2.5119,2.3173,2.3192,2.3476,2.2701,92.7109,90.3878,88.3889,83.0
1/7/2000,3.401,3.609,3.401,3.583,2611454.0,3.5391,3.2298,2.9624,2.7464,2.6413,2.5888,2.5614,2.5119,2.3173,2.3192,2.3476,2.2701,92.7109,90.3878,88.3889,83.0
1/10/2000,3.401,3.609,3.401,3.583,2611454.0,3.5391,3.2298,2.9624,2.7464,2.6413,2.5888,2.5614,2.5119,2.3173,2.3192,2.3476,2.2701,92.7109,90.3878,88.3889,83.0
1/11/2000,3.687,3.843,3.687,3.765,1741586.0,3.7955,3.4323,3.0688,2.8131,2.6848,2.6224,2.5894,2.5369,2.3352,2.3294,2.3585,2.2821,95.1585,92.0855,90.0902,84.7088
1/12/2000,3.765,3.894,3.713,3.817,2170968.0,3.8093,3.5725,3.1831,2.8819,2.7303,2.6573,2.6169,2.5638,2.3537,2.3405,2.3697,2.2945,95.7676,92.5107,90.5177,85.15
1/13/2000,3.817,3.869,3.557,3.635,917988.0,3.7345,3.6245,3.2791,2.9411,2.7701,2.6887,2.6399,2.5871,2.37,2.3495,2.3793,2.306,57.6745,76.3587,77.8581,77.096
1/14/2000,3.635,3.661,3.557,3.661,2182073.0,3.6173,3.692,3.3726,3.0,2.8104,2.7193,2.6618,2.6111,2.3869,2.3591,2.3889,2.3176,60.9988,77.004,78.3245,77.4118
1/17/2000,3.739,3.791,3.609,3.635,2951998.0,3.6696,3.7023,3.4661,3.0566,2.8495,2.7491,2.6847,2.6353,2.4033,2.3689,2.3982,2.3286,54.5698,74.71,76.5872,76.3233
1/18/2000,3.635,3.661,3.583,3.635,877271.0,3.6296,3.6764,3.5544,3.1169,2.8894,2.779,2.7086,2.6587,2.4195,2.379,2.4076,2.3396,54.5698,74.71,76.5872,76.3233
1/19/2000,3.609,3.661,3.479,3.479,1334414.0,3.5652,3.6089,3.5907,3.1636,2.9254,2.8055,2.7294,2.6795,2.4336,2.3863,2.4158,2.3495,22.5231,60.9267,66.3469,70.0034
