Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,17.856,19.569,17.489,19.569,22076.0,18.2721,16.8901,15.93,15.08,14.7926,14.7085,14.8183,15.0015,15.927,17.0078,18.742,18.9953,99.3804,91.6525,69.7814,86.1387
1/4/2000,19.569,19.691,18.835,18.957,21749.0,19.2669,17.575,16.3887,15.3277,14.9557,14.8048,14.8831,15.0658,15.9331,16.9803,18.7216,18.9745,78.012,80.969,65.8492,78.0947
1/5/2000,18.223,18.346,17.428,17.734,26655.0,17.8417,17.9542,16.6822,15.5111,15.0861,14.8583,14.932,15.1106,15.9276,16.9426,18.6978,18.947,47.4223,64.1455,58.9737,65.0175
1/6/2000,17.734,18.712,17.734,17.734,20114.0,17.9871,18.3088,16.9635,15.716,15.2166,14.9317,14.9748,15.1503,15.9245,16.8937,18.674,18.9133,47.4223,64.1455,58.9737,65.0175
1/7/2000,17.734,18.712,17.734,17.734,20114.0,17.9871,18.3088,16.9635,15.716,15.2166,14.9317,14.9748,15.1503,15.9245,16.8937,18.674,18.9133,47.4223,64.1455,58.9737,65.0175
1/10/2000,17.734,18.712,17.734,17.734,20114.0,17.9871,18.3088,16.9635,15.716,15.2166,14.9317,14.9748,15.1503,15.9245,16.8937,18.674,18.9133,47.4223,64.1455,58.9737,65.0175
1/11/2000,18.59,19.079,18.59,18.957,28290.0,18.8298,18.5901,17.3304,15.979,15.3756,15.0418,15.0421,15.2095,15.9392,16.8468,18.6584,18.8901,72.0667,71.6109,63.0971,70.7065
1/12/2000,18.957,19.324,18.346,19.079,17497.0,18.8896,18.4923,17.6912,16.2297,15.5203,15.1687,15.1167,15.2676,15.9527,16.805,18.6421,18.8681,73.9016,72.2607,63.4769,71.2107
1/13/2000,19.079,19.446,18.346,18.468,14227.0,18.8685,18.3944,17.9847,16.4437,15.6487,15.2818,15.1791,15.3022,15.9637,16.7653,18.6156,18.8442,49.5095,64.0186,60.269,65.1707
1/14/2000,18.468,18.835,18.223,18.835,7359.0,18.5276,18.6146,18.2844,16.6761,15.7955,15.398,15.2525,15.3307,15.9796,16.7286,18.5898,18.8234,61.073,66.5908,61.4774,66.9804
1/17/2000,19.079,19.691,18.712,19.079,24039.0,19.2832,18.8837,18.5962,16.9207,15.9606,15.5234,15.3405,15.3654,16.0004,16.6919,18.5599,18.8088,68.3269,68.2909,62.2688,68.1678
1/18/2000,19.446,19.446,18.468,18.468,6705.0,18.9183,18.7858,18.688,17.0858,16.0972,15.6319,15.4164,15.4031,16.0138,16.6552,18.5259,18.8026,40.2208,59.7408,59.1273,62.1504
1/19/2000,18.468,18.835,17.979,18.04,8830.0,18.5256,18.5779,18.5351,17.2326,16.2317,15.7282,15.4738,15.4378,16.023,16.6149,18.4903,18.7944,28.0888,54.3793,57.0433,58.2727
1/20/2000,18.835,19.202,18.59,19.202,4415.0,18.9978,18.7247,18.5596,17.4741,16.405,15.8566,15.5558,15.4959,16.0328,16.5833,18.4644,18.7925,67.7251,64.1923,60.9117,64.709
1/21/2000,19.202,20.547,18.835,19.813,11447.0,19.8167,18.9204,18.7675,17.7248,16.5966,16.0065,15.6402,15.5713,16.045,16.5599,18.442,18.7999,77.511,68.2376,62.7386,67.5464
1/24/2000,20.058,20.302,19.446,19.813,8830.0,19.9106,19.0671,18.9754,17.9694,16.8025,16.1563,15.7405,15.6416,16.0707,16.5365,18.4121,18.8133,77.511,68.2376,62.7386,67.5464
1/25/2000,19.324,19.569,19.202,19.324,5887.0,19.3036,19.2383,19.0121,18.1712,16.99,16.2847,15.8359,15.7038,16.0878,16.5059,18.3856,18.8213,50.1439,61.2334,60.3248,62.8575
1/26/2000,19.569,19.569,18.712,18.712,6705.0,19.1569,19.3729,18.9754,18.3333,17.1449,16.3841,15.93,15.7598,16.0982,16.4712,18.3646,18.8237,30.1706,53.5096,57.4658,57.4857
1/27/2000,18.712,18.835,18.59,18.712,2943.0,18.6853,19.275,18.9998,18.4923,17.2958,16.4865,16.0254,15.8159,16.1086,16.4417,18.336,18.817,30.1706,53.5096,57.4658,57.4857
1/28/2000,18.712,18.712,18.101,18.223,2943.0,18.3319,18.957,18.9387,18.6115,17.4303,16.5813,16.1061,15.8668,16.1135,16.4152,18.3027,18.8011,17.5719,47.4496,55.225,53.2625
1/31/2000,17.734,18.04,17.122,17.428,1962.0,17.5455,18.4801,18.7736,18.6849,17.5383,16.6639,16.1734,15.9127,16.1043,16.3973,18.2684,18.7751,8.7082,39.3109,51.8278,47.195
2/1/2000,17.734,18.04,17.122,17.428,1962.0,17.5455,18.4801,18.7736,18.6849,17.5383,16.6639,16.1734,15.9127,16.1043,16.3973,18.2684,18.7751,8.7082,39.3109,51.8278,47.195
2/2/2000,17.979,18.835,17.489,18.346,2126.0,18.0915,18.2844,18.7614,18.7247,17.6443,16.7632,16.2578,15.9739,16.1043,16.3912,18.2405,18.7555,51.2601,50.3627,55.123,53.7429
2/3/2000,18.957,19.691,18.835,19.691,9648.0,19.324,18.4801,18.9265,18.7308,17.7972,16.9054,16.3679,16.0493,16.1178,16.3943,18.2188,18.7409,75.9362,61.8314,59.3427,61.319
2/4/2000,18.957,19.691,18.835,19.691,9648.0,19.324,18.4801,18.9265,18.7308,17.7972,16.9054,16.3679,16.0493,16.1178,16.3943,18.2188,18.7409,75.9362,61.8314,59.3427,61.319
2/7/2000,18.957,19.691,18.835,19.691,9648.0,19.324,18.4801,18.9265,18.7308,17.7972,16.9054,16.3679,16.0493,16.1178,16.3943,18.2188,18.7409,75.9362,61.8314,59.3427,61.319
2/8/2000,19.691,22.015,19.691,21.648,30580.0,21.1186,19.0671,19.1711,18.8653,18.0398,17.0965,16.5195,16.1583,16.1557,16.4218,18.2032,18.736,88.5661,72.303,64.382,69.2165
2/9/2000,22.015,23.238,21.403,21.648,34014.0,22.5962,19.752,19.3545,19.061,18.2681,17.2861,16.6761,16.2592,16.196,16.4498,18.1896,18.7341,88.5661,72.303,64.382,69.2165
2/10/2000,21.525,22.626,21.281,21.648,12755.0,21.8312,20.5959,19.538,19.2567,18.4923,17.4863,16.8326,16.3734,16.2444,16.4799,18.1753,18.7323,88.5661,72.303,64.382,69.2165
2/11/2000,21.77,22.626,21.648,22.504,19133.0,22.2138,21.4276,19.856,19.434,18.7328,17.7065,16.999,16.5059,16.2951,16.5217,18.1651,18.736,93.5583,76.3456,66.3992,72.3062
2/14/2000,22.137,22.626,21.525,22.015,13246.0,22.0328,21.8923,20.1862,19.5808,18.9509,17.9052,17.1445,16.6394,16.344,16.5573,18.1522,18.736,68.0801,69.7966,64.2483,68.1
2/15/2000,22.626,22.626,19.202,20.669,7359.0,21.558,21.6966,20.3819,19.6909,19.1222,18.0673,17.2656,16.7515,16.3783,16.5849,18.1346,18.7231,32.0627,55.1584,58.8273,58.0921
2/16/2000,20.914,21.648,20.792,21.648,12755.0,21.2589,21.6966,20.7243,19.8315,19.3158,18.2538,17.4099,16.8758,16.4223,16.6216,18.1223,18.714,56.9237,61.726,61.2849,62.4178
2/17/2000,22.382,23.115,22.015,22.626,25347.0,22.5962,21.8923,21.2441,20.0089,19.538,18.4648,17.5799,17.0185,16.4767,16.6684,18.1162,18.7048,72.1893,67.1403,63.5365,66.1775
2/18/2000,22.748,25.684,22.748,23.605,61323.0,24.54,22.1125,21.77,20.2657,19.7398,18.6757,17.7646,17.1765,16.5409,16.7225,18.1142,18.6999,81.8418,71.6518,65.6058,69.467
2/21/2000,23.605,24.216,22.871,23.849,15535.0,23.5685,22.4794,22.1859,20.5562,19.8825,18.8944,17.9615,17.3375,16.6076,16.7785,18.1162,18.6968,83.933,72.7057,66.1033,70.2461
2/22/2000,23.849,24.216,22.626,23.727,17661.0,23.5978,23.0909,22.3938,20.7824,20.0415,19.1283,18.156,17.4986,16.673,16.8244,18.1189,18.6962,77.2598,71.2164,65.6124,69.294
2/23/2000,24.094,26.295,24.094,25.806,65248.0,25.3867,23.9226,22.8096,21.0821,20.3105,19.4035,18.3908,17.6983,16.7599,16.8845,18.1278,18.706,92.4886,79.3186,69.5846,75.3985
2/24/2000,26.295,33.022,26.295,29.353,170886.0,30.1705,25.2679,23.5801,21.5591,20.6978,19.7642,18.7051,17.9572,16.8822,16.9854,18.1617,18.7268,97.2319,86.5724,74.7347,81.9798
2/25/2000,29.475,30.331,26.54,26.907,45297.0,28.4945,25.9283,24.0204,21.9382,20.9628,20.0547,18.9693,18.1692,16.9837,17.0629,18.1821,18.7409,58.8122,68.0534,66.6796,68.3913
2/28/2000,26.907,26.907,24.461,24.461,27963.0,25.4484,26.0506,24.265,22.2256,21.1422,20.2795,19.1772,18.3313,17.0632,17.1194,18.193,18.7507,36.926,54.8529,59.9906,58.0323
2/29/2000,25.072,25.072,23.238,24.338,12755.0,24.0483,26.173,24.6319,22.5069,21.3379,20.4996,19.3802,18.4933,17.1414,17.175,18.2045,18.7531,35.9234,54.2609,59.681,57.5628
3/1/2000,24.461,26.051,23.605,23.727,16353.0,24.6185,25.7571,24.8398,22.7821,21.501,20.6968,19.571,18.6482,17.2185,17.2249,18.2154,18.7507,29.8455,51.1552,58.129,55.16
3/2/2000,23.605,23.605,20.792,21.403,28290.0,22.4134,24.1672,24.7175,22.9808,21.5784,20.8329,19.7153,18.7695,17.2735,17.2504,18.2215,18.7396,15.1934,41.0988,52.7377,47.1121
3/3/2000,21.403,23.605,20.914,23.605,37284.0,22.1493,23.5067,24.7175,23.2438,21.7496,20.9842,19.8841,18.9234,17.35,17.2942,18.2399,18.7409,50.0444,51.302,56.6757,53.9647
3/6/2000,24.338,24.461,21.648,22.015,16353.0,22.9319,23.0175,24.5341,23.36,21.8821,21.0454,20.0223,19.0569,17.4191,17.3248,18.2507,18.7329,34.6282,44.9723,53.3543,49.0243
3/7/2000,22.015,22.015,20.792,20.792,8503.0,21.0527,22.3082,24.2406,23.3172,21.9351,21.0912,20.1507,19.1701,17.4759,17.3493,18.2603,18.7146,25.5475,40.6338,50.977,45.5684
3/8/2000,20.425,22.626,20.302,21.525,9321.0,21.6177,21.8679,23.8125,23.311,21.9922,21.186,20.2853,19.2944,17.5408,17.3819,18.2793,18.7017,39.7639,44.2633,52.2963,47.9397
3/9/2000,21.525,21.892,21.036,21.892,3434.0,21.4963,21.9657,23.0664,23.3233,22.0615,21.29,20.4247,19.432,17.6062,17.4242,18.2997,18.6901,47.3096,46.1163,52.9512,49.1329
3/10/2000,22.259,23.971,22.259,23.849,27309.0,23.2267,22.0146,22.7607,23.3905,22.2124,21.4123,20.5959,19.6012,17.6906,17.4777,18.3275,18.6877,73.6832,55.0773,56.2639,55.0504
3/13/2000,23.971,24.094,22.626,22.748,12428.0,23.4662,22.1614,22.5895,23.4272,22.3469,21.504,20.7415,19.7459,17.7621,17.5246,18.3493,18.6797,51.8046,49.833,54.0494,51.4264
3/14/2000,22.626,22.748,21.403,22.259,7522.0,21.9801,22.4549,22.3815,23.5067,22.4651,21.5988,20.876,19.8804,17.8208,17.5664,18.3656,18.6718,43.2443,47.5683,53.0887,49.8555
3/15/2000,22.259,24.094,22.259,23.36,21259.0,23.4004,22.8218,22.3449,23.5923,22.6363,21.7119,21.0264,20.0333,17.8832,17.6173,18.3832,18.6693,63.5642,52.9775,54.9524,53.3112
3/16/2000,22.259,24.094,22.259,23.36,21259.0,23.4004,22.8218,22.3449,23.5923,22.6363,21.7119,21.0264,20.0333,17.8832,17.6173,18.3832,18.6693,63.5642,52.9775,54.9524,53.3112
3/17/2000,23.849,24.338,23.238,23.482,8994.0,23.7602,23.1398,22.5528,23.6352,22.8381,21.822,21.1769,20.1882,17.948,17.6698,18.3955,18.6681,65.6159,53.5761,55.1572,53.6931
