Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.7,3.84,3.7,3.8,34500.0,3.7762,3.692,3.704,3.567,3.5,3.466,3.4952,3.5147,3.4724,3.4602,3.3387,3.2281,78.2803,65.1117,64.1631,58.2605
1/4/2000,3.8,3.86,3.7,3.84,41500.0,3.8048,3.72,3.718,3.594,3.5167,3.474,3.5004,3.5197,3.4852,3.4625,3.3454,3.236,82.7422,67.2634,65.7413,59.2884
1/5/2000,3.7,3.72,3.62,3.64,14000.0,3.6714,3.728,3.692,3.611,3.5273,3.4775,3.5016,3.5197,3.4948,3.4642,3.3511,3.2429,32.5665,49.9386,53.1403,52.5895
1/6/2000,3.7,3.72,3.66,3.7,35000.0,3.7009,3.736,3.69,3.628,3.5387,3.4875,3.5036,3.5203,3.5044,3.4653,3.3579,3.2505,47.0231,53.9423,55.8729,54.1956
1/7/2000,3.7,3.72,3.66,3.7,35000.0,3.7009,3.736,3.69,3.628,3.5387,3.4875,3.5036,3.5203,3.5044,3.4653,3.3579,3.2505,47.0231,53.9423,55.8729,54.1956
1/10/2000,3.7,3.72,3.66,3.7,35000.0,3.7009,3.736,3.69,3.628,3.5387,3.4875,3.5036,3.5203,3.5044,3.4653,3.3579,3.2505,47.0231,53.9423,55.8729,54.1956
1/11/2000,3.74,3.86,3.74,3.78,34500.0,3.8046,3.752,3.704,3.649,3.552,3.499,3.5072,3.5217,3.5124,3.4663,3.3644,3.2584,62.9212,58.8758,59.2824,56.2404
1/12/2000,3.74,3.84,3.74,3.84,30000.0,3.8037,3.76,3.726,3.675,3.5667,3.512,3.512,3.524,3.5208,3.4678,3.3711,3.2674,72.2797,62.2845,61.6741,57.7053
1/13/2000,3.9,3.9,3.78,3.8,48500.0,3.7965,3.752,3.736,3.692,3.5787,3.524,3.516,3.5267,3.5296,3.4648,3.3767,3.2759,57.7132,58.6391,59.1784,56.4031
1/14/2000,3.8,3.86,3.8,3.8,34500.0,3.8264,3.784,3.756,3.706,3.592,3.536,3.5188,3.5293,3.5384,3.4633,3.3827,3.2839,57.7132,58.6391,59.1784,56.4031
1/17/2000,3.9,3.96,3.86,3.88,88000.0,3.9228,3.82,3.778,3.727,3.6093,3.55,3.5236,3.5357,3.547,3.4623,3.3891,3.2928,77.8242,63.976,62.6812,58.4118
1/18/2000,3.9,3.94,3.84,3.92,55000.0,3.8942,3.848,3.8,3.746,3.6287,3.565,3.5292,3.543,3.5548,3.4632,3.3956,3.3018,83.6544,66.4136,64.3294,59.3798
1/19/2000,3.94,3.94,3.84,3.84,32000.0,3.9041,3.848,3.804,3.754,3.646,3.576,3.5336,3.5467,3.56,3.4648,3.401,3.31,46.7674,57.638,58.7418,56.6516
1/20/2000,3.88,4.06,3.88,3.98,92500.0,4.0016,3.884,3.818,3.768,3.6687,3.592,3.5428,3.5533,3.5622,3.4713,3.4074,3.3184,75.3265,66.3832,64.5455,59.9803
1/21/2000,4.02,4.06,3.96,4.0,46500.0,4.0108,3.924,3.854,3.773,3.692,3.609,3.5528,3.5603,3.5644,3.4773,3.4129,3.3273,77.8706,67.4627,65.2966,60.4294
1/24/2000,4.1,4.12,4.0,4.0,50000.0,4.055,3.948,3.884,3.787,3.7133,3.625,3.5668,3.567,3.568,3.484,3.4177,3.3358,77.8706,67.4627,65.2966,60.4294
1/25/2000,4.0,4.0,3.94,4.0,48500.0,3.9656,3.964,3.906,3.805,3.7347,3.6405,3.5804,3.5737,3.5706,3.4907,3.4228,3.3446,77.8706,67.4627,65.2966,60.4294
1/26/2000,4.04,4.08,3.94,3.94,95000.0,4.0326,3.984,3.916,3.821,3.7553,3.654,3.5928,3.5793,3.572,3.4968,3.4286,3.3531,38.0974,59.3252,60.495,58.2583
1/27/2000,4.0,4.0,3.94,3.96,53000.0,3.9694,3.98,3.932,3.834,3.772,3.667,3.6056,3.5853,3.575,3.5055,3.4339,3.3609,50.6902,61.0855,61.511,58.7691
1/28/2000,3.96,4.2,3.96,4.02,84000.0,4.0433,3.984,3.954,3.855,3.7887,3.6825,3.6196,3.5913,3.5792,3.514,3.438,3.3699,74.2565,66.0448,64.4637,60.2776
1/31/2000,4.0,4.2,4.0,4.12,62500.0,4.0954,4.008,3.978,3.878,3.8107,3.7015,3.6356,3.5993,3.5846,3.5242,3.4447,3.3791,88.2707,72.5936,68.7646,62.6348
2/1/2000,4.0,4.2,4.0,4.12,62500.0,4.0954,4.008,3.978,3.878,3.8107,3.7015,3.6356,3.5993,3.5846,3.5242,3.4447,3.3791,88.2707,72.5936,68.7646,62.6348
2/2/2000,4.2,4.5,4.18,4.4,168000.0,4.363,4.088,4.026,3.913,3.8393,3.728,3.6572,3.612,3.5918,3.5375,3.4524,3.3896,96.431,82.9513,77.1161,68.1151
2/3/2000,4.44,4.98,4.44,4.98,245000.0,4.6953,4.296,4.14,3.972,3.8827,3.7695,3.6888,3.6347,3.6046,3.5557,3.4632,3.402,98.8712,90.9349,85.6657,75.7399
2/4/2000,4.44,4.98,4.44,4.98,245000.0,4.6953,4.296,4.14,3.972,3.8827,3.7695,3.6888,3.6347,3.6046,3.5557,3.4632,3.402,98.8712,90.9349,85.6657,75.7399
2/7/2000,4.44,4.98,4.44,4.98,245000.0,4.6953,4.296,4.14,3.972,3.8827,3.7695,3.6888,3.6347,3.6046,3.5557,3.4632,3.402,98.8712,90.9349,85.6657,75.7399
2/8/2000,5.2,6.2,5.2,5.92,733500.0,5.6722,4.688,4.334,4.076,3.9567,3.835,3.7404,3.6747,3.6268,3.5837,3.4793,3.4185,99.576,95.11,91.3235,82.6829
2/9/2000,6.0,6.44,6.0,6.28,541000.0,6.2456,5.14,4.562,4.208,4.036,3.9095,3.7996,3.721,3.6532,3.6137,3.4969,3.4368,99.6879,95.9197,92.5382,84.4464
2/10/2000,6.0,6.36,5.8,5.82,213000.0,6.0405,5.48,4.744,4.314,4.106,3.971,3.8488,3.763,3.6752,3.6393,3.5114,3.4535,66.1947,77.4782,77.5904,74.4276
2/11/2000,5.96,6.0,5.6,5.88,162000.0,5.7889,5.776,4.932,4.419,4.1807,4.034,3.8988,3.8057,3.698,3.6635,3.5259,3.4699,68.2799,78.0962,78.0876,74.8305
2/14/2000,5.72,5.8,5.66,5.8,201000.0,5.7274,5.94,5.118,4.517,4.2533,4.096,3.9468,3.847,3.7204,3.6868,3.5402,3.4857,60.7818,75.009,75.6768,73.2388
2/15/2000,5.8,5.8,5.4,5.54,180000.0,5.6579,5.864,5.276,4.604,4.3147,4.148,3.9888,3.884,3.7402,3.7087,3.5546,3.4994,39.5883,65.5369,68.2967,68.3508
2/16/2000,5.54,5.54,5.3,5.42,176500.0,5.3937,5.692,5.416,4.685,4.3753,4.1955,4.0292,3.919,3.7602,3.7295,3.5679,3.5129,31.8902,61.5042,65.1393,66.2401
2/17/2000,5.4,5.68,5.36,5.6,163000.0,5.5267,5.648,5.564,4.771,4.44,4.249,4.074,3.957,3.7808,3.751,3.5824,3.5273,52.62,65.1255,67.5618,67.7838
2/18/2000,5.8,6.12,5.66,5.86,260500.0,5.9074,5.644,5.71,4.868,4.512,4.307,4.1244,3.9993,3.8054,3.7737,3.5984,3.5428,71.4483,69.7497,70.7262,69.8443
2/21/2000,5.72,6.16,5.72,5.94,164500.0,5.9136,5.672,5.806,4.973,4.5833,4.3635,4.1768,4.0417,3.8288,3.7955,3.6156,3.5582,75.8733,71.0772,71.6428,70.446
2/22/2000,6.0,6.0,5.6,5.94,115000.0,5.8575,5.752,5.808,5.071,4.6533,4.4195,4.2296,4.085,3.8532,3.8137,3.6331,3.5738,75.8733,71.0772,71.6428,70.446
2/23/2000,5.94,6.04,5.84,5.84,96500.0,5.9782,5.836,5.764,5.163,4.7267,4.468,4.2804,4.127,3.8764,3.8308,3.6494,3.5879,52.8405,66.4629,68.5319,68.6147
2/24/2000,6.0,6.0,5.84,5.88,84000.0,5.889,5.892,5.77,5.257,4.7993,4.522,4.3308,4.169,3.9016,3.8495,3.6663,3.6016,60.1067,67.4148,69.1097,68.9487
2/25/2000,5.92,6.04,5.64,5.64,189000.0,5.9398,5.848,5.746,5.339,4.8613,4.572,4.3764,4.2067,3.9248,3.8653,3.6818,3.6144,25.184,56.5753,61.7798,64.6764
2/28/2000,5.64,5.64,5.3,5.38,108000.0,5.4525,5.736,5.704,5.411,4.9127,4.616,4.4176,4.2397,3.9446,3.8785,3.6959,3.6268,12.9538,47.3054,54.977,60.4768
2/29/2000,5.5,5.5,5.0,5.3,73500.0,5.2931,5.608,5.68,5.478,4.9627,4.656,4.4544,4.2707,3.9632,3.8922,3.7098,3.6383,10.582,44.7663,53.0416,59.2521
