Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
8/15/2006,1.28,1.29,1.28,1.28,30100.0,1.2814,1.284,1.281,1.2705,1.2697,1.264,1.2582,1.2568,1.248,1.2332,1.1932,1.1849,36.5058,55.2889,54.9712,53.7144
8/16/2006,1.29,1.29,1.27,1.29,43500.0,1.2866,1.284,1.2830000000000001,1.2725,1.27,1.2655,1.2586,1.2575,1.2495,1.2343,1.1938,1.1864,79.0513,64.0263,59.5763,55.3077
8/17/2006,1.29,1.29,1.28,1.28,6900.0,1.2814,1.2819999999999998,1.2830000000000001,1.274,1.2703,1.2670000000000001,1.2592,1.2587,1.2508,1.2351,1.1946,1.1877,39.425,52.4872,53.6657,53.4059
8/18/2006,1.28,1.29,1.28,1.29,53400.0,1.2893,1.284,1.284,1.276,1.271,1.2685,1.2598,1.2592,1.2522,1.236,1.1953,1.189,65.4235,60.4966,58.1383,55.0064
8/21/2006,1.28,1.29,1.28,1.29,53400.0,1.2893,1.284,1.284,1.276,1.271,1.2685,1.2598,1.2592,1.2522,1.236,1.1953,1.189,65.4235,60.4966,58.1383,55.0064
8/22/2006,1.28,1.28,1.27,1.28,16000.0,1.2794,1.284,1.284,1.2775,1.2717,1.2690000000000001,1.261,1.2595,1.2534,1.237,1.196,1.1899,39.8003,50.8526,52.6637,53.1188
8/23/2006,1.28,1.28,1.27,1.28,23500.0,1.2789,1.284,1.284,1.2785,1.2727,1.2693,1.2618,1.2602,1.2546,1.2379,1.1969,1.1909999999999998,39.8003,50.8526,52.6637,53.1188
8/24/2006,1.28,1.28,1.27,1.27,12300.0,1.2784,1.28,1.2819999999999998,1.2790000000000001,1.2733,1.2698,1.2628,1.2603,1.2557,1.2388,1.1977,1.192,21.1567,42.3152,47.4785,51.2372
8/25/2006,1.27,1.27,1.27,1.27,8000.0,1.27,1.278,1.28,1.2790000000000001,1.2733,1.2705,1.2638,1.2605,1.2567,1.2396,1.1985,1.1929,21.1567,42.3152,47.4785,51.2372
8/28/2006,1.27,1.27,1.27,1.27,40200.0,1.27,1.274,1.2790000000000001,1.2785,1.2723,1.271,1.2648,1.2608,1.2578,1.2404,1.1994,1.1939,21.1567,42.3152,47.4785,51.2372
