Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
5/20/2013,3.88,3.9,3.85,3.9,4157500.0,3.8724,3.892,3.887,3.8145,3.7787,3.7553,3.6976,3.657,3.5399,3.4982,3.3944,3.3693,70.9264,68.7594,67.1557,64.2414
5/21/2013,3.92,3.93,3.88,3.93,2114400.0,3.915,3.898,3.89,3.827,3.784,3.763,3.7060000000000004,3.6657,3.5454,3.5043,3.3989,3.375,86.3297,73.7259,70.1533,65.5912
5/22/2013,3.94,3.97,3.93,3.94,4532500.0,3.9517,3.908,3.895,3.841,3.7917,3.7715,3.715,3.6745,3.5503,3.5105,3.4035,3.3792,89.1926,75.2042,71.1002,66.0333
5/23/2013,3.92,3.98,3.92,3.95,3892200.0,3.9565,3.92,3.903,3.8539999999999996,3.799,3.7803,3.7238,3.6835,3.5558,3.5167,3.4082,3.3832,91.77600000000001,76.6802,72.0549,66.4788
5/24/2013,3.92,3.98,3.92,3.95,3892200.0,3.9565,3.92,3.903,3.8539999999999996,3.799,3.7803,3.7238,3.6835,3.5558,3.5167,3.4082,3.3832,91.77600000000001,76.6802,72.0549,66.4788
5/27/2013,3.91,3.94,3.9,3.93,3361900.0,3.9235,3.93,3.909,3.8635,3.8053,3.7865,3.7334,3.6918,3.5611,3.5228,3.4127,3.3871,53.4472,67.623,67.2685,64.7223
5/28/2013,3.92,3.98,3.91,3.98,2791600.0,3.958,3.946,3.9189999999999996,3.8765,3.8127,3.7925,3.7430000000000003,3.7005,3.5668,3.5294,3.4172,3.3913,81.8588,75.6967,72.2342,66.9788
5/29/2013,3.98,4.0,3.95,4.0,3898900.0,3.9899,3.96,3.929,3.889,3.823,3.8,3.7542,3.7097,3.573,3.5361,3.4217,3.3953,86.7212,78.1487,73.9374,67.8302
5/30/2013,4.0,4.0,3.94,3.99,3427300.0,3.9846,3.97,3.9389999999999996,3.9010000000000002,3.8337,3.8078,3.7662,3.7187,3.5792,3.5403,3.4263,3.3995,72.206,73.9518,71.5733,66.9375
5/31/2013,4.0,4.03,3.97,3.99,5681500.0,3.9926,3.978,3.949,3.9115,3.844,3.815,3.778,3.7268,3.5851,3.5461,3.431,3.4036,72.206,73.9518,71.5733,66.9375
