Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
4/23/2004,1.244,1.253,1.225,1.253,730390.0,1.2401,1.227,1.2307,1.2698,1.2245,1.1942,1.1693,1.1462,1.1089,1.1098,1.0035,0.9824,81.3168,53.8173,54.8412,56.8068
4/26/2004,1.31,1.319,1.291,1.319,1781460.0,1.3103,1.2477,1.2364,1.2764,1.2311,1.1996,1.1753,1.151,1.1117,1.1115,1.0063,0.9853,94.3301,66.8309,63.2674,61.0722
4/27/2004,1.319,1.319,1.291,1.31,997694.0,1.3066,1.2665,1.242,1.2830000000000001,1.2376,1.2051,1.1812,1.1555,1.1146,1.112,1.0092,0.9879,82.0793,63.9355,61.5019,60.1938
4/28/2004,1.31,1.319,1.3,1.3,565169.0,1.308,1.2816,1.2515,1.2849,1.2433,1.2105,1.1859,1.1597,1.1172,1.1124,1.0119,0.9905,68.6967,60.964,59.7076,59.3112
4/29/2004,1.31,1.31,1.3,1.31,687520.0,1.3029,1.2986,1.26,1.2859,1.2486,1.2159,1.1909999999999998,1.1646,1.1192,1.1133,1.0148,0.9931,74.8481,62.9036,60.935,59.9192
4/30/2004,1.2819999999999998,1.31,1.2819999999999998,1.31,541611.0,1.2930000000000001,1.3099,1.2684,1.2821,1.254,1.2211,1.1964,1.1692,1.1213,1.1144,1.0177,0.9958,74.8481,62.9036,60.935,59.9192
5/3/2004,1.2819999999999998,1.31,1.2819999999999998,1.31,541611.0,1.2930000000000001,1.3099,1.2684,1.2821,1.254,1.2211,1.1964,1.1692,1.1213,1.1144,1.0177,0.9958,74.8481,62.9036,60.935,59.9192
5/4/2004,1.2819999999999998,1.31,1.2819999999999998,1.31,541611.0,1.2930000000000001,1.3099,1.2684,1.2821,1.254,1.2211,1.1964,1.1692,1.1213,1.1144,1.0177,0.9958,74.8481,62.9036,60.935,59.9192
5/5/2004,1.31,1.319,1.291,1.3,400160.0,1.3045,1.3061,1.2769,1.2774,1.26,1.226,1.2011,1.1734,1.1234,1.1158,1.0206,0.9985,51.9006,59.181999999999995,58.8557,58.9762
5/6/2004,1.31,1.31,1.291,1.3,546068.0,1.2998,1.3042,1.2854,1.2755,1.2659,1.2307,1.2053,1.1781,1.1258,1.1175,1.0235,1.0013,51.9006,59.181999999999995,58.8557,58.9762
5/7/2004,1.3,1.3,1.272,1.272,503092.0,1.2883,1.2986,1.2901,1.2727,1.2706,1.2347,1.2093,1.1822,1.1278,1.1185,1.0263,1.0039,16.9087,48.326,52.6096,56.1398
5/10/2004,1.253,1.253,1.206,1.225,908239.0,1.2245,1.2816,1.2901,1.2651,1.2738,1.2373,1.2108,1.1855,1.1294,1.1195,1.0288,1.0062,6.2962,35.9585,44.1919,51.8411
