Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
6/9/2005,2.05,2.05,2.04,2.04,2299000.0,2.05,2.04,2.028,2.039,2.0487,2.0388,2.0306,2.042,2.0398,1.993,1.8937,1.8725,49.4247,50.9834,50.1519,50.6713
6/10/2005,2.04,2.07,2.04,2.07,2825000.0,2.0583,2.052,2.0340000000000003,2.0395,2.051,2.0405,2.0316,2.0398,2.0423,1.9957,1.8958,1.8745,72.9402,59.8834,56.1922,53.4436
6/13/2005,2.05,2.05,2.05,2.05,296000.0,2.05,2.0540000000000003,2.036,2.0385,2.0523,2.0418,2.0326,2.0387,2.0445,1.9982,1.8977,1.8763,49.7899,52.706,51.6949,51.4495
6/14/2005,2.05,2.06,2.04,2.06,444800.0,2.0548,2.056,2.0380000000000003,2.0385,2.0533,2.0425,2.0338,2.0372,2.0466,2.0008,1.8998,1.8783,59.4439,55.6931,53.6906,52.3687
6/15/2005,2.05,2.09,2.04,2.09,820300.0,2.0608,2.062,2.046,2.04,2.055,2.0443,2.0358,2.0368,2.0492,2.0036,1.9021,1.8805,78.2567,63.4784,59.144,55.0122
6/16/2005,2.09,2.09,2.07,2.09,281300.0,2.0879,2.072,2.056,2.042,2.0543,2.0465,2.0382,2.0373,2.052,2.0064,1.9043,1.8826,78.2567,63.4784,59.144,55.0122
6/17/2005,2.09,2.09,2.08,2.09,165200.0,2.085,2.076,2.064,2.044,2.0540000000000003,2.0488,2.0398,2.0385,2.0547,2.0093,1.9066,1.8846,78.2567,63.4784,59.144,55.0122
6/20/2005,2.07,2.07,2.05,2.07,200200.0,2.0685,2.08,2.0669999999999997,2.045,2.0533,2.0503,2.0414,2.0387,2.0559,2.0119,1.9088,1.8865,38.2915,54.4043,53.8626,52.8476
6/21/2005,2.07,2.07,2.05,2.07,614100.0,2.0678,2.082,2.069,2.046,2.051,2.0518,2.0428,2.0383,2.0572,2.0147,1.911,1.8884,38.2915,54.4043,53.8626,52.8476
6/22/2005,2.06,2.09,2.06,2.07,1530500.0,2.0751,2.0780000000000003,2.07,2.0469999999999997,2.05,2.0533,2.0442,2.0383,2.0585,2.0173,1.9133,1.8903,38.2915,54.4043,53.8626,52.8476
6/23/2005,2.08,2.08,2.06,2.07,2254200.0,2.063,2.074,2.073,2.0505,2.0503,2.0548,2.0456,2.0377,2.0597,2.0201,1.9155,1.8922,38.2915,54.4043,53.8626,52.8476
6/24/2005,2.07,2.07,2.06,2.07,611000.0,2.0677,2.07,2.073,2.0535,2.0507,2.0565,2.0469999999999997,2.0385,2.0607,2.0228,1.9177,1.8942,38.2915,54.4043,53.8626,52.8476
6/27/2005,2.06,2.06,2.06,2.06,923000.0,2.06,2.068,2.074,2.055,2.0503,2.0578,2.0482,2.0395,2.061,2.0252,1.9198,1.8961,13.0286,48.1967,50.5907,51.6438
6/28/2005,2.06,2.06,2.05,2.05,3000100.0,2.0551,2.064,2.073,2.0555,2.05,2.0583,2.0486,2.0403,2.0613,2.0276,1.9218,1.8979,6.5482,42.7138,47.4843,50.455
6/29/2005,2.06,2.06,2.03,2.03,741900.0,2.0505,2.056,2.0669999999999997,2.0565,2.049,2.0580000000000003,2.0488,2.041,2.0618,2.0298,1.9237,1.8997,2.6275,34.0088,41.938,48.1611
6/30/2005,2.06,2.06,2.05,2.05,1464600.0,2.0544,2.052,2.063,2.0595,2.049,2.0565,2.0498,2.0423,2.0623,2.0321,1.9257,1.9016,48.7005,46.3169,48.4255,50.4896
7/1/2005,2.03,2.05,2.03,2.05,2628000.0,2.0498,2.048,2.059,2.0615,2.049,2.0553,2.0508,2.043,2.0626,2.0343,1.9277,1.9034,48.7005,46.3169,48.4255,50.4896
7/4/2005,2.05,2.05,2.04,2.05,2239000.0,2.0499,2.046,2.057,2.062,2.049,2.0543,2.0516,2.044,2.0632,2.0366,1.9297,1.9053,48.7005,46.3169,48.4255,50.4896
7/5/2005,2.05,2.05,2.04,2.05,1576400.0,2.05,2.046,2.055,2.062,2.049,2.052,2.0524,2.0448,2.0636,2.0389,1.9318,1.9071,48.7005,46.3169,48.4255,50.4896
7/6/2005,2.05,2.06,2.05,2.05,964000.0,2.0529,2.05,2.053,2.0615,2.049,2.0508,2.0532,2.0457,2.064,2.0413,1.9338,1.9088,48.7005,46.3169,48.4255,50.4896
7/7/2005,2.05,2.06,2.05,2.05,645800.0,2.0568,2.05,2.051,2.062,2.0507,2.0505,2.0540000000000003,2.0465,2.0644,2.0435,1.9358,1.9106,48.7005,46.3169,48.4255,50.4896
7/8/2005,2.05,2.06,2.05,2.06,39100.0,2.0503,2.052,2.05,2.0615,2.0523,2.0505,2.0552,2.0475,2.0646,2.0455,1.9379,1.9124,86.1158,54.8523,52.5598,51.8159
7/11/2005,2.06,2.08,2.06,2.07,62100.0,2.0709999999999997,2.056,2.051,2.0625,2.0537,2.0505,2.0564,2.0487,2.0647,2.0475,1.9401,1.9142,93.3696,61.7026,56.3298,53.1152
7/12/2005,2.1,2.11,2.09,2.09,1166600.0,2.0963,2.064,2.055,2.064,2.0553,2.0513,2.0576,2.0497,2.0645,2.0495,1.9424,1.9163,97.4174,71.4496,62.7121,55.5926
7/13/2005,2.1,2.11,2.09,2.09,836000.0,2.0938,2.072,2.061,2.064,2.0580000000000003,2.052,2.0586,2.0508,2.0644,2.0517,1.9448,1.9183,97.4174,71.4496,62.7121,55.5926
7/14/2005,2.07,2.08,2.07,2.07,71000.0,2.077,2.076,2.063,2.063,2.0607,2.0525,2.0578,2.052,2.064,2.0538,1.9471,1.9202,41.0419,54.042,53.6231,52.6172
7/15/2005,2.07,2.07,2.04,2.05,962300.0,2.0532,2.074,2.063,2.061,2.062,2.0525,2.0568,2.0528,2.0635,2.0558,1.9494,1.9221,21.9704,42.4163,46.3836,49.8568
7/18/2005,2.05,2.05,2.04,2.04,403500.0,2.0408,2.068,2.062,2.0595,2.062,2.0523,2.0558,2.0533,2.063,2.0565,1.9518,1.9239,16.2923,37.8376,43.2402,48.5396
7/19/2005,2.04,2.07,2.04,2.07,2112500.0,2.043,2.064,2.064,2.0595,2.0627,2.0528,2.0544,2.0543,2.0626,2.0576,1.9543,1.9259,61.3,54.437,53.4354,52.4391
7/20/2005,2.08,2.1,2.07,2.1,676600.0,2.0911,2.066,2.069,2.061,2.064,2.0540000000000003,2.0544,2.0558,2.0623,2.0589,1.9569999999999999,1.9281,78.5775,64.9626,60.9828,55.8964
7/21/2005,2.09,2.1,2.09,2.09,944000.0,2.096,2.07,2.073,2.062,2.0657,2.0563,2.055,2.0572,2.0614,2.0601,1.9597,1.9302,64.2381,59.7836,57.6297,54.5296
7/22/2005,2.1,2.15,2.07,2.15,1847800.0,2.0999,2.09,2.082,2.066,2.0683,2.0598,2.0568,2.0597,2.0615,2.0616,1.9628,1.9326,86.4661,73.8537,68.737,60.5215
7/25/2005,2.15,2.26,2.14,2.24,5445700.0,2.221,2.13,2.099,2.075,2.0747,2.065,2.0602,2.0635,2.0626,2.0633,1.9663,1.9354,94.3573,83.5598,78.0375,67.2237
7/26/2005,2.22,2.22,2.18,2.18,2235600.0,2.1914,2.1519999999999997,2.108,2.0815,2.0787,2.0685,2.0626,2.066,2.063,2.0647,1.9695,1.9378,59.6039,65.3619,64.3034,60.178000000000004
7/27/2005,2.17,2.21,2.15,2.21,1800700.0,2.1876,2.174,2.12,2.0905,2.0827,2.0735,2.0656,2.0688,2.0635,2.0666,1.9727,1.9404,68.3475,69.1421,67.3934,62.2258
7/28/2005,2.2,2.24,2.2,2.23,1398600.0,2.2182,2.202,2.136,2.0995,2.0873,2.0795,2.0692,2.0708,2.0643,2.0685,1.9759,1.9431,73.9796,71.4767,69.3012,63.5196
7/29/2005,2.23,2.24,2.2,2.2,1191700.0,2.2062,2.2119999999999997,2.151,2.1069999999999998,2.0909999999999997,2.0843,2.0722,2.0725,2.0648,2.07,1.9789,1.9457,52.8293,63.3843,63.3166,60.3141
8/1/2005,2.2,2.21,2.2,2.2,747500.0,2.2,2.204,2.167,2.1145,2.0953,2.0883,2.0752,2.0743,2.0651,2.0718,1.9819,1.9482,52.8293,63.3843,63.3166,60.3141
8/2/2005,2.21,2.22,2.2,2.21,587700.0,2.2037,2.21,2.181,2.1225,2.1,2.0923,2.0784,2.0755,2.0652,2.0734,1.9851,1.9509,61.1578,65.0535,64.5017,61.0158
8/3/2005,2.21,2.27,2.21,2.27,1070300.0,2.2396,2.222,2.198,2.1335,2.1067,2.0975,2.0828,2.0783,2.0658,2.0756,1.9885,1.9538,84.9976,73.2765,70.6321,64.8715
8/4/2005,2.28,2.28,2.23,2.23,1058900.0,2.2386,2.222,2.2119999999999997,2.1425,2.112,2.1023,2.0874,2.0812,2.0661,2.0774,1.9916,1.9565,52.6705,62.2847,62.8407,60.7292
8/5/2005,2.23,2.25,2.22,2.23,502100.0,2.2365,2.228,2.22,2.151,2.1173,2.1063,2.0918,2.084,2.0664,2.079,1.9948,1.9592,52.6705,62.2847,62.8407,60.7292
