Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
12/20/2004,7.0,7.0,6.95,7.0,144300.0,6.9989,6.91,6.785,6.7125,6.7483,6.7263,6.722,6.7533,6.8425,6.8879,6.6469,6.5981,92.8865,73.3723,67.0709,58.5114
12/21/2004,7.0,7.0,7.0,7.0,116700.0,7.0,6.96,6.815,6.7275,6.7517,6.7388,6.725,6.7558,6.8425,6.8846,6.6519,6.6271,92.8865,73.3723,67.0709,58.5114
12/22/2004,7.0,7.0,6.9,6.95,123600.0,6.9555,6.97,6.84,6.74,6.755,6.7475,6.73,6.7575,6.8405,6.8842,6.6578,6.6414,53.5211,65.4416,62.2891,56.5553
12/23/2004,6.95,6.95,6.9,6.95,196400.0,6.9496,6.98,6.87,6.7525,6.7583,6.7563,6.735,6.7567,6.8389999999999995,6.8821,6.6631,6.6552,53.5211,65.4416,62.2891,56.5553
12/24/2004,6.95,6.95,6.8,6.9,153600.0,6.8506,6.96,6.9,6.7675,6.76,6.765,6.739,6.7558,6.836,6.8796,6.6681,6.6685,27.3968,57.5665,57.5321,54.6018
12/27/2004,6.9,6.9,6.8,6.85,130800.0,6.8914,6.93,6.92,6.78,6.7617,6.7725,6.742000000000001,6.7542,6.8325,6.8788,6.6728,6.6753,15.8165,50.7025,53.16,52.7181
12/28/2004,6.85,6.85,6.8,6.85,116800.0,6.8495,6.9,6.93,6.7925,6.7633,6.7788,6.745,6.7525,6.829,6.8758,6.6769,6.6765,15.8165,50.7025,53.16,52.7181
12/29/2004,6.85,6.85,6.75,6.85,190700.0,6.8492,6.88,6.925,6.805,6.765,6.7825,6.747999999999999,6.7517,6.8245,6.8733,6.6794,6.675,15.8165,50.7025,53.16,52.7181
12/30/2004,6.85,6.85,6.8,6.85,167400.0,6.8496,6.86,6.92,6.8225,6.7667,6.7838,6.751,6.7517,6.8195,6.8704,6.6822,6.6728,15.8165,50.7025,53.16,52.7181
12/31/2004,6.8,6.95,6.8,6.95,130400.0,6.8503,6.87,6.915,6.84,6.7717,6.7875,6.757000000000001,6.7525,6.816,6.8675,6.685,6.6675,84.0553,64.3286,61.1103,56.1807
1/3/2005,6.95,6.95,6.8,6.85,202900.0,6.8935,6.87,6.9,6.8425,6.775,6.7863,6.761,6.7517,6.813,6.8646,6.6875,6.6525,37.9329,49.07,51.6662,52.2243
1/4/2005,6.85,6.85,6.7,6.75,222500.0,6.8109,6.85,6.875,6.845,6.7767,6.7825,6.766,6.75,6.809,6.8608,6.6889,6.6370000000000005,20.8071,38.7339,44.2944,48.6781
1/5/2005,6.75,6.75,6.65,6.7,59100.0,6.7457,6.82,6.85,6.845,6.7767,6.7788,6.768,6.75,6.8045,6.8571,6.6903,6.6325,15.5439,34.6307,41.1341,47.0264
1/6/2005,6.7,6.7,6.6,6.7,190600.0,6.6536,6.79,6.825,6.8475,6.7767,6.775,6.77,6.75,6.8015,6.8546,6.6919,6.6365,15.5439,34.6307,41.1341,47.0264
1/7/2005,6.7,6.7,6.65,6.65,217400.0,6.6756,6.73,6.8,6.85,6.7783,6.77,6.772,6.7492,6.797999999999999,6.8513,6.6956,6.6445,9.9059,30.5366,37.9905,45.3786
1/10/2005,6.65,6.65,6.65,6.65,36400.0,6.65,6.69,6.78,6.85,6.78,6.7663,6.774,6.7483,6.795,6.8475,6.6986,6.6488,9.9059,30.5366,37.9905,45.3786
1/11/2005,6.65,6.65,6.6,6.65,87700.0,6.6491,6.67,6.76,6.845,6.7817,6.7625,6.775,6.7475,6.7925,6.8438,6.7011,6.649,9.9059,30.5366,37.9905,45.3786
1/12/2005,6.65,6.65,6.55,6.65,167400.0,6.605,6.66,6.74,6.8325,6.7833,6.7588,6.774,6.7467,6.7915,6.8408,6.7036,6.6508,9.9059,30.5366,37.9905,45.3786
1/13/2005,6.65,6.65,6.65,6.65,68200.0,6.65,6.65,6.72,6.82,6.7883,6.755,6.771,6.7458,6.7895,6.8383,6.7056,6.654,9.9059,30.5366,37.9905,45.3786
1/14/2005,6.65,6.65,6.55,6.65,48700.0,6.6486,6.65,6.69,6.8025,6.79,6.7513,6.768,6.7458,6.787000000000001,6.8354,6.7086,6.6575,9.9059,30.5366,37.9905,45.3786
1/17/2005,6.65,6.65,6.6,6.65,103900.0,6.6235,6.65,6.67,6.785,6.785,6.7488,6.763,6.7458,6.7845,6.8329,6.7108,6.6608,9.9059,30.5366,37.9905,45.3786
1/18/2005,6.65,6.65,6.5,6.65,233500.0,6.5535,6.65,6.66,6.7675,6.7833,6.7475,6.757999999999999,6.7483,6.7825,6.83,6.7125,6.6635,9.9059,30.5366,37.9905,45.3786
1/19/2005,6.65,6.65,6.55,6.55,120200.0,6.6279,6.63,6.645,6.7475,6.7783,6.7438,6.752000000000001,6.7475,6.778,6.825,6.7136,6.6668,0.5056,19.0062,29.7609,41.5589
1/20/2005,6.55,6.6,6.45,6.55,121000.0,6.5225,6.61,6.63,6.7275,6.775,6.74,6.746,6.7467,6.7735,6.8204,6.7147,6.6695,0.5056,19.0062,29.7609,41.5589
1/21/2005,6.55,6.6,6.45,6.55,121000.0,6.5225,6.61,6.63,6.7275,6.775,6.74,6.746,6.7467,6.7735,6.8204,6.7147,6.6695,0.5056,19.0062,29.7609,41.5589
1/24/2005,6.55,6.55,6.5,6.55,46900.0,6.5499,6.59,6.62,6.71,6.7733,6.7388,6.74,6.7467,6.769,6.815,6.7156,6.6723,0.5056,19.0062,29.7609,41.5589
1/25/2005,6.55,6.55,6.55,6.55,67400.0,6.55,6.57,6.61,6.695,6.77,6.7375,6.735,6.7467,6.765,6.8096,6.7167,6.675,0.5056,19.0062,29.7609,41.5589
