Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/7/2010,5.38,5.42,5.38,5.42,1063500.0,5.4149,5.39,5.409,5.3765,5.3523,5.341,5.3312,5.3263,5.3081,5.3116,5.3357,5.3368,75.6844,60.4766,59.4753,56.7818
9/8/2010,5.4,5.41,5.39,5.4,4795400.0,5.4,5.394,5.4079999999999995,5.3815,5.355,5.3435,5.3328,5.3278,5.3092,5.3118,5.3359,5.3387,48.4852,53.8429,55.3139,54.9252
9/9/2010,5.4,5.42,5.36,5.4,2899900.0,5.3871,5.4,5.403,5.3865,5.3577,5.3455,5.3352,5.3295,5.3102,5.3122,5.3361,5.3387,48.4852,53.8429,55.3139,54.9252
9/10/2010,5.4,5.42,5.36,5.4,2899900.0,5.3871,5.4,5.403,5.3865,5.3577,5.3455,5.3352,5.3295,5.3102,5.3122,5.3361,5.3387,48.4852,53.8429,55.3139,54.9252
9/13/2010,5.4,5.44,5.39,5.44,2669400.0,5.4152,5.412000000000001,5.402,5.3945,5.362,5.349,5.3388,5.3318,5.3116,5.313,5.3363,5.3389999999999995,80.3168,63.8736,61.5535,57.8734
9/14/2010,5.38,5.42,5.34,5.42,6147500.0,5.3653,5.416,5.399,5.4005,5.3663,5.3518,5.3422,5.3337,5.3126,5.3133,5.3365,5.3395,54.8824,56.9161,57.2491,55.9795
9/15/2010,5.4,5.42,5.37,5.42,4749700.0,5.3939,5.416,5.403,5.4075,5.3703,5.3545,5.3456,5.3353,5.3136,5.3137,5.3366,5.3406,54.8824,56.9161,57.2491,55.9795
9/16/2010,5.4,5.42,5.37,5.42,4749700.0,5.3939,5.416,5.403,5.4075,5.3703,5.3545,5.3456,5.3353,5.3136,5.3137,5.3366,5.3406,54.8824,56.9161,57.2491,55.9795
9/17/2010,5.39,5.41,5.32,5.32,6349200.0,5.3488,5.4,5.397,5.409,5.371,5.3545,5.3454,5.3362,5.3137,5.3131,5.3362,5.3407,12.0288,33.6922,40.732,47.638000000000005
9/20/2010,5.33,5.35,5.32,5.33,3148900.0,5.331,5.386,5.393,5.404,5.372000000000001,5.3553,5.3454,5.3363,5.3139,5.3128,5.336,5.3405,21.252,36.6024,42.518,48.4329
9/21/2010,5.33,5.36,5.33,5.34,2182400.0,5.3393,5.3660000000000005,5.388999999999999,5.401,5.372999999999999,5.3568,5.3462,5.337000000000001,5.3142,5.3128,5.3358,5.34,31.9535,39.5855,44.3248,49.2302
9/22/2010,5.34,5.4,5.34,5.37,6054800.0,5.3646,5.356,5.386,5.398,5.3757,5.3578,5.3474,5.3383,5.3148,5.3131,5.3358,5.3399,57.7751,47.8646,49.4574,51.5548
9/23/2010,5.37,5.37,5.35,5.37,1263400.0,5.3619,5.346,5.381,5.395,5.377999999999999,5.3595,5.349,5.3395,5.3154,5.3135,5.3358,5.3399,57.7751,47.8646,49.4574,51.5548
9/24/2010,5.34,5.39,5.34,5.37,3565600.0,5.3713,5.356,5.377999999999999,5.393,5.3803,5.3608,5.3504,5.3403,5.3159,5.3137,5.3357,5.3396,57.7751,47.8646,49.4574,51.5548
9/27/2010,5.41,5.41,5.35,5.37,4892600.0,5.3825,5.364,5.375,5.388999999999999,5.3827,5.362,5.3514,5.3418,5.3166,5.314,5.3357,5.3396,57.7751,47.8646,49.4574,51.5548
9/28/2010,5.39,5.4,5.33,5.35,2433700.0,5.3629,5.3660000000000005,5.3660000000000005,5.3839999999999995,5.385,5.3629999999999995,5.3524,5.3433,5.317,5.3142,5.3357,5.3395,25.331999999999997,41.7543,45.6812,49.8135
9/29/2010,5.32,5.36,5.32,5.36,5182700.0,5.3409,5.364,5.36,5.3795,5.3870000000000005,5.3648,5.3534,5.3452,5.3175,5.3152,5.3359,5.3396,47.4597,45.6566,47.8262,50.6752
9/30/2010,5.36,5.36,5.33,5.35,7594100.0,5.3507,5.36,5.353,5.377999999999999,5.3893,5.3660000000000005,5.3542,5.3468,5.3184,5.3157,5.3357,5.3396,32.855,42.4566,45.8753,49.7908
10/1/2010,5.33,5.35,5.32,5.33,6981600.0,5.3305,5.352,5.354,5.3755,5.3907,5.3668,5.3544,5.3468,5.3187,5.3161,5.3357,5.3395,17.0836,36.6732,42.1701,48.0555
10/4/2010,5.33,5.34,5.32,5.33,6789600.0,5.3293,5.343999999999999,5.354,5.3735,5.3873,5.3675,5.355,5.3468,5.3187,5.3164,5.3356,5.3392,17.0836,36.6732,42.1701,48.0555
