Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,6.466,6.706,6.466,6.658,4297535.0,6.6553,6.3991,6.3464,6.2793,6.2506,6.2147,6.2027,6.1867,6.0753,6.0462,5.78,5.5643,91.0344,74.0291,68.8763,61.4644
1/4/2000,6.658,6.801,6.61,6.706,3972673.0,6.6764,6.514,6.3895,6.3081,6.2666,6.2278,6.2142,6.1971,6.0877,6.0486,5.794,5.5815,92.5023,75.6816,70.2625,62.3998
1/5/2000,6.61,6.706,6.37,6.658,6786197.0,6.6749,6.5715,6.4134,6.3344,6.2841,6.2398,6.2257,6.2067,6.0973,6.0522,5.807,5.5985,74.2639,70.626,67.0466,60.8712
1/6/2000,6.658,6.754,6.514,6.61,4974818.0,6.6386,6.6194,6.4422,6.356,6.3001,6.253,6.2343,6.2155,6.1011,6.0554,5.8191,5.6155,57.3135,65.6895,63.8971,59.3668
1/7/2000,6.658,6.754,6.514,6.61,4974818.0,6.6386,6.6194,6.4422,6.356,6.3001,6.253,6.2343,6.2155,6.1011,6.0554,5.8191,5.6155,57.3135,65.6895,63.8971,59.3668
1/10/2000,6.658,6.754,6.514,6.61,4974818.0,6.6386,6.6194,6.4422,6.356,6.3001,6.253,6.2343,6.2155,6.1011,6.0554,5.8191,5.6155,57.3135,65.6895,63.8971,59.3668
1/11/2000,6.706,6.849,6.706,6.801,11254096.0,6.778,6.6865,6.4949,6.3871,6.3208,6.2709,6.2477,6.2258,6.1069,6.0618,5.8304,5.6328,81.9848,73.8992,69.9732,63.1368
1/12/2000,6.801,7.089,6.754,7.089,11411517.0,6.8757,6.7727,6.5859,6.4254,6.3512,6.2937,6.2678,6.2418,6.117,6.069,5.8429,5.6516,92.1688,81.4068,76.3915,67.7761
1/13/2000,7.089,7.711,7.089,7.568,15342851.0,7.5423,6.9451,6.7296,6.4901,6.3959,6.3308,6.2956,6.265,6.1313,6.081,5.8581,5.6725,96.7549,87.9211,82.9377,73.5216
1/14/2000,7.568,8.143,7.568,8.095,28702706.0,8.0012,7.2325,6.902,6.5835,6.4581,6.3799,6.3339,6.3001,6.1529,6.0969,5.8765,5.6956,98.3496,91.5743,87.1564,77.9878
1/17/2000,8.143,8.382,7.999,8.095,10771814.0,8.3056,7.5294,7.0744,6.6769,6.522,6.4314,6.3722,6.3328,6.1744,6.1145,5.8946,5.719,98.3496,91.5743,87.1564,77.9878
1/18/2000,8.095,8.238,7.999,8.095,10135869.0,8.1447,7.7881,7.2373,6.7727,6.5843,6.4817,6.4106,6.3647,6.1965,6.1324,5.9124,5.7419,98.3496,91.5743,87.1564,77.9878
1/19/2000,8.047,8.286,7.999,7.999,4726370.0,8.1323,7.9701,7.3714,6.8589,6.6433,6.5308,6.446,6.3975,6.2156,6.1488,5.9297,5.7638,75.5631,84.925,82.5229,75.427
1/20/2000,7.999,8.19,7.999,8.047,7154485.0,8.1193,8.0659,7.5055,6.9475,6.7072,6.5763,6.4834,6.4294,6.2343,6.166,5.9467,5.7856,79.1808,85.5166,83.0093,75.8374
1/21/2000,8.095,8.19,7.999,8.095,7405439.0,8.1213,8.0659,7.6492,7.0313,6.7727,6.6254,6.5217,6.4629,6.2554,6.1839,5.9629,5.8077,82.9639,86.1289,83.5037,76.2477
1/24/2000,8.095,8.238,8.095,8.19,6737760.0,8.1947,8.0851,7.8072,7.1247,6.8397,6.6769,6.5638,6.4965,6.2779,6.2043,5.981,5.8299,88.9744,87.3338,84.4766,77.054
1/25/2000,8.143,8.19,7.999,8.143,6227918.0,8.1057,8.0946,7.9414,7.2181,6.9052,6.726,6.605,6.53,6.2994,6.2246,5.9983,5.8516,70.3574,83.2654,81.8764,75.7244
1/26/2000,8.143,8.238,8.095,8.095,3324618.0,8.1555,8.1138,8.0419,7.3139,6.9643,6.7739,6.6433,6.5635,6.3205,6.2438,6.0148,5.8729,53.5502,79.1189,79.2496,74.3965
1/27/2000,8.095,8.143,7.951,8.047,2719573.0,8.0115,8.1138,8.0898,7.4097,7.0233,6.8194,6.6826,6.5946,6.3426,6.263,6.0313,5.894,39.4237,74.9215,76.6028,73.0709
1/28/2000,8.095,8.143,7.999,8.143,2114527.0,8.1002,8.1234,8.0946,7.4983,7.0872,6.8673,6.7229,6.6274,6.3651,6.2849,6.0481,5.9155,66.1849,77.5958,78.1729,74.0284
1/31/2000,7.999,8.095,7.951,7.999,2810601.0,8.0281,8.0851,8.0851,7.5797,7.1463,6.9128,6.7621,6.6577,6.3837,6.3057,6.0627,5.9358,33.1921,65.7619,70.5276,70.1578
2/1/2000,7.999,8.095,7.951,7.999,2810601.0,8.0281,8.0851,8.0851,7.5797,7.1463,6.9128,6.7621,6.6577,6.3837,6.3057,6.0627,5.9358,33.1921,65.7619,70.5276,70.1578
2/2/2000,7.999,8.095,7.951,7.999,6286376.0,8.0149,8.0563,8.0755,7.6564,7.2069,6.9571,6.8004,6.688,6.4015,6.3276,6.0782,5.9553,33.1921,65.7619,70.5276,70.1578
2/3/2000,8.047,8.095,7.999,8.095,4269141.0,8.0295,8.0563,8.0851,7.7282,7.2676,7.0038,6.8416,6.7192,6.4206,6.3508,6.0936,5.9748,61.7747,69.6653,72.5995,71.2309
2/4/2000,8.047,8.095,7.999,8.095,4269141.0,8.0295,8.0563,8.0851,7.7282,7.2676,7.0038,6.8416,6.7192,6.4206,6.3508,6.0936,5.9748,61.7747,69.6653,72.5995,71.2309
2/7/2000,8.047,8.095,7.999,8.095,4269141.0,8.0295,8.0563,8.0851,7.7282,7.2676,7.0038,6.8416,6.7192,6.4206,6.3508,6.0936,5.9748,61.7747,69.6653,72.5995,71.2309
2/8/2000,8.238,8.43,8.19,8.238,10649886.0,8.3236,8.0946,8.1042,7.8049,7.3331,7.0565,6.8819,6.7535,6.4417,6.3739,6.1104,5.9951,80.5234,74.5597,75.3939,72.7514
2/9/2000,8.286,8.43,8.238,8.286,5475056.0,8.3566,8.1234,8.1234,7.8863,7.3953,7.1103,6.925,6.7886,6.4652,6.3955,6.1274,6.0149,84.3591,76.0111,76.2628,73.2391
2/10/2000,8.19,8.43,8.143,8.382,7405439.0,8.3329,8.2,8.1425,7.9749,7.464,7.1654,6.97,6.827,6.4891,6.4134,6.1457,6.0347,90.1681,78.7402,77.9408,74.1947
2/11/2000,8.382,8.526,8.382,8.43,2883674.0,8.4356,8.2862,8.1713,8.0563,7.5358,7.2217,7.015,6.8661,6.5159,6.4318,6.1654,6.053,92.3101,80.0189,78.7496,74.6627
