Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.573,1.619,1.557,1.619,209115.0,1.5907,1.5463,1.5083,1.4785,1.4556,1.446,1.4494,1.4475,1.4793,1.4352,1.1708,1.1029,95.4302,79.0878,73.1234,62.3523
1/4/2000,1.611,1.619,1.557,1.557,193625.0,1.605,1.5571,1.5207,1.4866,1.4611,1.4477,1.4512,1.4487,1.4788,1.4399,1.1772,1.1081,50.9112,61.079,61.1074,57.1593
1/5/2000,1.549,1.549,1.526,1.549,157482.0,1.5409,1.5618,1.5308,1.4932,1.466,1.4496,1.4527,1.45,1.478,1.4445,1.1837,1.1133,46.8161,59.1838,59.7849,56.5503
1/6/2000,1.549,1.549,1.503,1.518,222024.0,1.5297,1.5571,1.5347,1.4975,1.4688,1.4518,1.4536,1.451,1.477,1.4491,1.1899,1.1184,31.5769,51.9327,54.6866,54.1623
1/7/2000,1.549,1.549,1.503,1.518,222024.0,1.5297,1.5571,1.5347,1.4975,1.4688,1.4518,1.4536,1.451,1.477,1.4491,1.1899,1.1184,31.5769,51.9327,54.6866,54.1623
1/10/2000,1.549,1.549,1.503,1.518,222024.0,1.5297,1.5571,1.5347,1.4975,1.4688,1.4518,1.4536,1.451,1.477,1.4491,1.1899,1.1184,31.5769,51.9327,54.6866,54.1623
1/11/2000,1.557,1.565,1.526,1.549,165227.0,1.5517,1.5587,1.5385,1.5014,1.4727,1.4556,1.455,1.4529,1.4762,1.4539,1.196,1.1236,54.0251,57.7554,58.498,56.0808
1/12/2000,1.518,1.526,1.511,1.511,165227.0,1.5149,1.537,1.5416,1.5041,1.4753,1.4584,1.455,1.4553,1.4761,1.458,1.202,1.1286,33.449,49.3489,52.5481,53.2014
1/13/2000,1.557,1.588,1.526,1.534,1709066.0,1.555,1.5323,1.5447,1.5052,1.4786,1.4618,1.4574,1.4576,1.4759,1.4624,1.2081,1.1337,50.4377,53.8801,55.4744,54.6468
1/14/2000,1.58,1.588,1.542,1.549,1267600.0,1.5546,1.5323,1.5471,1.5072,1.4843,1.4657,1.4598,1.4603,1.4759,1.4669,1.2144,1.1388,60.5168,56.78,57.3622,55.5926
1/17/2000,1.58,1.596,1.518,1.534,1130772.0,1.5723,1.5354,1.5463,1.5122,1.4892,1.4682,1.4623,1.4622,1.4756,1.4701,1.2205,1.1439,46.3715,53.0289,54.8574,54.4186
1/18/2000,1.549,1.549,1.518,1.526,712541.0,1.5381,1.5308,1.5447,1.5168,1.4933,1.4713,1.4631,1.4629,1.4755,1.4738,1.2265,1.1489,39.4549,51.129,53.5973,53.8305
1/19/2000,1.518,1.573,1.518,1.573,1603217.0,1.5451,1.5432,1.5401,1.5242,1.499,1.4768,1.4648,1.4646,1.4769,1.4775,1.2328,1.1542,74.1527,60.6464,59.5948,56.7325
1/20/2000,1.596,1.704,1.596,1.704,1365704.0,1.6392,1.5773,1.5548,1.5378,1.5094,1.4845,1.4691,1.4684,1.4794,1.4825,1.2397,1.1602,92.4767,75.7189,71.0227,63.4634
