Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/14/2011,24.4,24.4,24.4,24.4,75.0,24.4,25.0,25.9,25.63,26.5733,26.97,27.368000000000002,27.5933,28.166,28.5133,29.5867,30.087,17.8838,40.1854,42.2018,43.6261
9/15/2011,24.4,24.4,24.4,24.4,100.0,24.4,24.88,25.86,25.55,26.46,26.875,27.28,27.5067,28.125999999999998,28.4633,29.5389,30.057,17.8838,40.1854,42.2018,43.6261
9/16/2011,24.4,24.4,24.4,24.4,100.0,24.4,24.88,25.86,25.55,26.46,26.875,27.28,27.5067,28.125999999999998,28.4633,29.5389,30.057,17.8838,40.1854,42.2018,43.6261
9/19/2011,24.2,24.2,24.2,24.2,350.0,24.2,24.68,25.48,25.5,26.3467,26.775,27.188000000000002,27.4367,28.076,28.4067,29.4922,30.021,14.0847,39.008,41.4614,43.2219
9/20/2011,24.2,24.2,23.6,23.6,1750.0,23.9671,24.36,25.08,25.44,26.2133,26.655,27.076,27.36,28.011999999999997,28.3483,29.4422,29.984,7.2010000000000005,35.4978,39.2373,42.013999999999996
9/21/2011,24.2,24.2,23.6,23.6,1750.0,23.9671,24.36,25.08,25.44,26.2133,26.655,27.076,27.36,28.011999999999997,28.3483,29.4422,29.984,7.2010000000000005,35.4978,39.2373,42.013999999999996
9/22/2011,23.6,23.6,23.4,23.4,1500.0,23.5,24.0,24.62,25.35,25.98,26.53,26.968000000000004,27.28,27.945999999999998,28.2867,29.3878,29.945999999999998,5.7869,34.339,38.496,41.6129
9/23/2011,23.2,23.2,22.4,22.8,2800.0,22.8,23.68,24.34,25.22,25.82,26.395,26.844,27.18,27.87,28.2167,29.3378,29.904,3.0721,30.9313,36.2814,40.4157
9/26/2011,23.2,23.2,22.4,22.8,2800.0,22.8,23.68,24.34,25.22,25.82,26.395,26.844,27.18,27.87,28.2167,29.3378,29.904,3.0721,30.9313,36.2814,40.4157
9/27/2011,22.8,22.8,22.8,22.8,750.0,22.8,23.36,24.12,25.1,25.58,26.26,26.72,27.0867,27.798000000000002,28.145,29.29,29.857,3.0721,30.9313,36.2814,40.4157
