Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,25.0,26.75,25.0,26.25,411000.0,26.2877,25.18,25.5,23.75,22.5133,21.35,20.086,19.0333,16.539,15.4958,13.4817,12.7605,77.6481,69.8122,72.4968,76.9469
1/4/2000,26.0,26.5,26.0,26.0,40000.0,26.3438,25.33,25.425,24.05,22.7033,21.605,20.328,19.2317,16.7045,15.6242,13.5844,12.8618,67.4524,66.4961,70.1206,75.5621
1/5/2000,25.0,26.5,24.9,26.0,188000.0,25.3598,25.53,25.375,24.35,22.9,21.86,20.57,19.43,16.868,15.7533,13.6861,12.9633,67.4524,66.4961,70.1206,75.5621
1/6/2000,26.0,26.75,25.0,26.0,377000.0,25.9609,25.75,25.35,24.65,23.1,22.11,20.81,19.63,17.02,15.8817,13.7847,13.0648,67.4524,66.4961,70.1206,75.5621
1/7/2000,26.0,26.75,25.0,26.0,377000.0,25.9609,25.75,25.35,24.65,23.1,22.11,20.81,19.63,17.02,15.8817,13.7847,13.0648,67.4524,66.4961,70.1206,75.5621
1/10/2000,26.0,26.75,25.0,26.0,377000.0,25.9609,25.75,25.35,24.65,23.1,22.11,20.81,19.63,17.02,15.8817,13.7847,13.0648,67.4524,66.4961,70.1206,75.5621
1/11/2000,26.5,28.0,26.0,27.25,669000.0,27.3173,26.3,25.615,25.0125,23.345,22.3613,21.073,19.8508,17.1855,16.0204,13.8894,13.1725,89.8789,74.9628,75.1974,77.776
1/12/2000,27.0,27.25,26.75,26.75,198000.0,27.1225,26.4,25.79,25.335,23.5633,22.5725,21.314,20.0667,17.346,16.1533,13.9908,13.2775,63.5896,67.3086,70.0689,74.9657
1/13/2000,27.25,27.5,25.75,25.75,401000.0,26.7525,26.35,25.84,25.5025,23.755,22.7513,21.515,20.2658,17.4875,16.2788,14.0842,13.3775,33.8694,54.734,61.0946,69.7512
1/14/2000,25.75,29.75,25.75,29.0,923000.0,27.367,26.95,26.24,25.8175,24.0517,23.0038,21.765,20.5225,17.6625,16.4313,14.1911,13.493,79.8287,73.1049,73.1367,75.4845
1/17/2000,30.0,31.25,30.0,30.75,338000.0,30.7433,27.9,26.825,26.125,24.41,23.2975,22.06,20.815,17.855,16.5983,14.3078,13.6168,87.0807,78.4122,77.2246,77.8256
1/18/2000,30.25,32.75,30.25,31.5,410000.0,31.3811,28.75,27.525,26.45,24.7933,23.5975,22.376,21.115,18.053,16.7725,14.4286,13.744,89.506,80.2877,78.7192,78.7262
1/19/2000,31.0,31.5,29.5,29.5,259000.0,30.7133,29.3,27.85,26.675,25.1167,23.8475,22.65,21.38,18.223,16.93,14.5381,13.8605,51.1193,63.6885,66.2363,70.7938
1/20/2000,30.0,30.75,29.5,29.5,200000.0,30.1038,30.05,28.2,26.8125,25.4333,24.0775,22.924,21.64,18.391,17.0867,14.6497,13.9773,51.1193,63.6885,66.2363,70.7938
1/21/2000,30.0,30.0,29.5,30.0,156000.0,29.6699,30.25,28.6,26.9875,25.7667,24.325,23.208,21.9083,18.564,17.2475,14.7647,14.0963,60.6195,65.918,67.7204,71.5605
1/24/2000,30.5,30.5,30.0,30.0,533000.0,30.1201,30.1,29.0,27.175,26.1,24.575,23.488,22.175,18.731,17.4092,14.8839,14.2153,60.6195,65.918,67.7204,71.5605
1/25/2000,30.0,30.25,30.0,30.0,288000.0,30.0069,29.8,29.275,27.445,26.4333,24.8275,23.744,22.44,18.895,17.5733,15.0006,14.334,60.6195,65.918,67.7204,71.5605
1/26/2000,30.25,33.25,30.25,32.75,293000.0,31.8345,30.45,29.875,27.8325,26.8483,25.1413,24.033,22.7408,19.0925,17.7629,15.1342,14.464,91.4533,76.9844,75.2068,75.4795
1/27/2000,32.75,34.5,32.75,33.5,282000.0,33.6082,31.25,30.65,28.245,27.2183,25.4788,24.331,23.0375,19.3005,17.9667,15.2703,14.5973,93.5268,79.0696,76.788,76.3972
1/28/2000,33.5,35.5,33.5,35.25,484000.0,34.4577,32.3,31.275,28.7575,27.6367,25.8575,24.658,23.35,19.525,18.1813,15.4181,14.739,96.4993,83.0909,79.994,78.3526
1/31/2000,35.5,37.0,33.75,33.75,476000.0,35.249,33.05,31.575,29.2,27.9417,26.2013,24.953,23.6458,19.7315,18.3838,15.5561,14.8728,60.6763,70.1031,70.9485,72.9906
2/1/2000,35.5,37.0,33.75,33.75,476000.0,35.249,33.05,31.575,29.2,27.9417,26.2013,24.953,23.6458,19.7315,18.3838,15.5561,14.8728,60.6763,70.1031,70.9485,72.9906
2/2/2000,35.0,38.0,35.0,37.75,939000.0,36.8847,34.6,32.2,29.8625,28.3667,26.645,25.318,24.0133,19.978,18.6196,15.7186,15.025,84.1749,79.6471,78.0699,77.2798
2/3/2000,37.75,43.5,37.75,42.5,859000.0,40.594,36.55,33.5,30.675,28.95,27.2125,25.778,24.4583,20.259,18.895,15.9064,15.201,92.3344,85.732,83.3039,80.9886
2/4/2000,37.75,43.5,37.75,42.5,859000.0,40.594,36.55,33.5,30.675,28.95,27.2125,25.778,24.4583,20.259,18.895,15.9064,15.201,92.3344,85.732,83.3039,80.9886
2/7/2000,37.75,43.5,37.75,42.5,859000.0,40.594,36.55,33.5,30.675,28.95,27.2125,25.778,24.4583,20.259,18.895,15.9064,15.201,92.3344,85.732,83.3039,80.9886
2/8/2000,44.5,49.0,44.5,46.75,675000.0,46.7619,39.2,35.225,31.7125,29.6167,27.8813,26.307,24.9742,20.5795,19.2058,16.1189,15.3973,95.4695,89.0325,86.4256,83.4841
2/9/2000,49.0,51.5,48.25,50.25,1090000.0,50.3156,42.2,37.25,32.925,30.4083,28.6375,26.91,25.5483,20.937,19.5442,16.3503,15.61,96.9901,90.9681,88.3564,85.1452
2/10/2000,49.0,52.0,47.5,49.25,1092000.0,49.323,45.3,39.175,34.0875,31.175,29.3688,27.495,26.1025,21.2925,19.8646,16.5778,15.815,84.7929,86.0847,84.6516,82.6871
2/11/2000,50.0,51.0,45.0,48.0,508000.0,48.0915,47.35,40.975,35.125,31.955,30.0688,28.057,26.6158,21.6355,20.1754,16.7981,16.013,68.6141,80.0421,80.1288,79.7115
2/14/2000,48.5,49.75,48.0,49.5,633000.0,49.1951,48.75,42.65,36.2625,32.7717,30.7988,28.643,27.1358,21.9995,20.4988,17.025,16.218,76.6378,81.7696,81.4122,80.5791
2/15/2000,50.0,50.5,48.0,49.25,487000.0,48.8255,49.25,44.225,37.4375,33.5717,31.47,29.228,27.6467,22.362,20.8125,17.2503,16.4195,72.034,80.4637,80.4793,79.9893
2/16/2000,48.75,50.25,48.75,50.0,381000.0,49.7434,49.2,45.7,38.4875,34.405,32.1525,29.826,28.165,22.727,21.1333,17.4789,16.6208,77.9852,81.4629,81.1762,80.4337
