Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,1.717,1.798,1.717,1.798,67320.0,1.7715,1.6929,1.6859,1.6359,1.6101,1.5985,1.5899,1.5904,1.6045,1.6174,1.5483,1.5214,89.8051,78.8512,65.8734,74.2604
1/4/2000,1.818,1.848,1.818,1.848,128700.0,1.8314,1.7293,1.7101,1.65,1.6195,1.6053,1.5956,1.5943,1.6058,1.6194,1.5518,1.5243,93.1843,82.4696,68.4962,77.6189
1/5/2000,1.818,1.818,1.727,1.727,31680.0,1.7582,1.7475,1.7131,1.6581,1.6256,1.6088,1.5986,1.5961,1.6058,1.6207,1.5546,1.5263,42.4865,56.4108,57.5205,58.0442
1/6/2000,1.747,1.788,1.747,1.778,25740.0,1.7692,1.7737,1.7202,1.6682,1.6323,1.6139,1.6028,1.5995,1.6064,1.6223,1.5574,1.5287,57.0807,62.0341,60.265,62.3093
1/7/2000,1.747,1.788,1.747,1.778,25740.0,1.7692,1.7737,1.7202,1.6682,1.6323,1.6139,1.6028,1.5995,1.6064,1.6223,1.5574,1.5287,57.0807,62.0341,60.265,62.3093
1/10/2000,1.747,1.788,1.747,1.778,25740.0,1.7692,1.7737,1.7202,1.6682,1.6323,1.6139,1.6028,1.5995,1.6064,1.6223,1.5574,1.5287,57.0807,62.0341,60.265,62.3093
1/11/2000,1.848,1.848,1.808,1.808,41580.0,1.8191,1.7919,1.7303,1.6798,1.6414,1.6199,1.6077,1.6032,1.6071,1.6238,1.5607,1.5314,65.0601,65.0754,61.7969,64.6325
1/12/2000,1.798,1.828,1.798,1.808,47520.0,1.8165,1.7939,1.7434,1.6914,1.6495,1.6265,1.6129,1.6057,1.6075,1.6253,1.564,1.534,65.0601,65.0754,61.7969,64.6325
1/13/2000,1.808,1.838,1.798,1.798,91080.0,1.8276,1.7838,1.7566,1.7025,1.6582,1.6323,1.6178,1.6088,1.6078,1.6266,1.5673,1.5367,57.0984,62.9481,60.9585,63.1283
1/14/2000,1.798,1.798,1.788,1.798,69300.0,1.7922,1.798,1.7727,1.7131,1.666,1.6384,1.6232,1.6125,1.6084,1.6279,1.5706,1.5392,57.0984,62.9481,60.9585,63.1283
1/17/2000,1.828,1.869,1.828,1.869,116820.0,1.8502,1.8162,1.7949,1.7273,1.6761,1.6462,1.6293,1.6175,1.6096,1.6292,1.5743,1.5421,85.3448,71.2689,64.5602,68.9879
1/18/2000,1.869,1.99,1.869,1.99,314820.0,1.9278,1.8525,1.8222,1.7449,1.6902,1.6571,1.6386,1.6247,1.6119,1.6313,1.5789,1.5455,94.5581,79.9518,69.5429,76.0226
1/19/2000,1.99,2.071,1.99,2.01,376200.0,2.0296,1.8929,1.8434,1.7646,1.7051,1.6684,1.6475,1.6322,1.6151,1.6333,1.5834,1.5489,95.2972,81.0269,70.2637,76.9606
