Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,0.607,0.625,0.607,0.618,10260300.0,0.6185,0.6012,0.5957,0.5897,0.5889,0.5844,0.5812,0.5841,0.5806,0.5656,0.5486,0.5344,94.8672,77.7783,73.2968,60.4767
1/4/2000,0.622,0.625,0.603,0.614,9035190.0,0.6139,0.6063,0.5983,0.5915,0.5898,0.5856,0.5818,0.5845,0.5821,0.5664,0.5495,0.5357,76.2947,71.7624,69.4635,59.0499
1/5/2000,0.603,0.618,0.581,0.611,5337981.0,0.6076,0.6092,0.6004,0.5933,0.5903,0.5869,0.5826,0.5846,0.5833,0.5671,0.5503,0.537,58.9758,66.0178,65.7599,57.6431
1/6/2000,0.596,0.633,0.596,0.622,12092496.0,0.6212,0.6143,0.6034,0.5951,0.5913,0.5885,0.5836,0.5848,0.5842,0.5679,0.5513,0.5383,79.7061,73.2459,70.7913,60.5593
1/7/2000,0.596,0.633,0.596,0.622,12092496.0,0.6212,0.6143,0.6034,0.5951,0.5913,0.5885,0.5836,0.5848,0.5842,0.5679,0.5513,0.5383,79.7061,73.2459,70.7913,60.5593
1/10/2000,0.596,0.633,0.596,0.622,12092496.0,0.6212,0.6143,0.6034,0.5951,0.5913,0.5885,0.5836,0.5848,0.5842,0.5679,0.5513,0.5383,79.7061,73.2459,70.7913,60.5593
1/11/2000,0.629,0.695,0.629,0.68,47199567.0,0.6806,0.629,0.6125,0.5997,0.5942,0.5914,0.5858,0.5861,0.5854,0.5694,0.5524,0.5399,95.9755,88.2462,84.1601,71.4166
1/12/2000,0.68,0.702,0.673,0.68,32596689.0,0.6924,0.6414,0.6213,0.6045,0.5974,0.5941,0.5879,0.5874,0.5866,0.5708,0.5534,0.5415,95.9755,88.2462,84.1601,71.4166
1/13/2000,0.68,0.739,0.68,0.731,67315443.0,0.7278,0.6648,0.6356,0.6114,0.6023,0.5981,0.5911,0.5895,0.5883,0.5727,0.5548,0.5432,98.4391,92.7486,89.1838,77.2746
1/14/2000,0.731,0.757,0.731,0.75,43710190.0,0.7425,0.6926,0.6509,0.6198,0.6076,0.6024,0.5948,0.5923,0.5899,0.5749,0.5561,0.545,98.8246,93.7158,90.3598,78.8742
1/17/2000,0.753,0.783,0.753,0.764,45247048.0,0.7718,0.7211,0.6677,0.6288,0.6137,0.6069,0.5991,0.5953,0.5917,0.5773,0.5576,0.5469,99.0933,94.3893,91.1854,80.0371
1/18/2000,0.764,0.764,0.735,0.739,16932776.0,0.7479,0.7328,0.6809,0.6367,0.6189,0.6109,0.6026,0.5976,0.5931,0.5797,0.5589,0.5486,61.9304,77.9431,78.5127,72.784
1/19/2000,0.739,0.757,0.728,0.735,12994921.0,0.7387,0.7438,0.6926,0.6441,0.624,0.6148,0.606,0.5998,0.5944,0.5818,0.5601,0.5501,57.3237,75.8199,76.8692,71.8221
1/20/2000,0.735,0.746,0.735,0.739,16270998.0,0.7403,0.7453,0.705,0.6516,0.6293,0.6186,0.6095,0.6023,0.5959,0.5839,0.5612,0.5517,61.6075,76.5389,77.3792,72.2022
