Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.0,3.06,2.98,3.0,30000.0,3.008,2.908,2.852,2.8535,2.874,2.883,2.891,2.8987,2.9306,2.9902,3.0642,3.0208,95.8225,75.9471,66.658,57.7359
1/4/2000,3.0,3.04,3.0,3.0,28000.0,3.0179,2.942,2.873,2.8595,2.8773,2.8853,2.8922,2.8987,2.9302,2.9877,3.0646,3.0227,95.8225,75.9471,66.658,57.7359
1/5/2000,2.95,2.96,2.95,2.95,8000.0,2.9538,2.96,2.891,2.8625,2.878,2.886,2.8928,2.8985,2.9298,2.9848,3.0648,3.0243,50.3433,61.8279,57.9869,53.7359
1/6/2000,2.95,2.96,2.8,2.8,63000.0,2.8722,2.94,2.893,2.859,2.8737,2.883,2.8908,2.8958,2.929,2.9808,3.0642,3.0254,16.0544,37.991,40.828,44.2268
1/7/2000,2.95,2.96,2.8,2.8,63000.0,2.8722,2.94,2.893,2.859,2.8737,2.883,2.8908,2.8958,2.929,2.9808,3.0642,3.0254,16.0544,37.991,40.828,44.2268
1/10/2000,2.95,2.96,2.8,2.8,63000.0,2.8722,2.94,2.893,2.859,2.8737,2.883,2.8908,2.8958,2.929,2.9808,3.0642,3.0254,16.0544,37.991,40.828,44.2268
1/11/2000,2.86,3.0,2.86,3.0,68000.0,2.8962,2.95,2.91,2.8665,2.876,2.8855,2.8918,2.8965,2.9302,2.9781,3.0642,3.0278,64.463,60.7116,58.4727,55.1693
1/12/2000,2.98,3.0,2.95,2.95,36000.0,2.9844,2.94,2.924,2.872,2.876,2.8855,2.8928,2.8973,2.9322,2.9737,3.0636,3.03,53.0014,55.0397,54.1272,52.5051
1/13/2000,2.95,3.02,2.95,2.98,42000.0,2.9821,2.936,2.939,2.879,2.8787,2.8868,2.8934,2.8987,2.9338,2.9702,3.0633,3.0325,59.4847,57.7068,56.2291,53.8873
1/14/2000,2.98,3.0,2.95,3.0,58000.0,2.974,2.946,2.953,2.8855,2.881,2.89,2.8946,2.9,2.9361,2.9667,3.0634,3.0351,64.3961,59.5083,57.6232,54.7945
1/17/2000,3.0,3.18,3.0,3.0,105000.0,3.1128,2.986,2.963,2.894,2.8843,2.8925,2.8964,2.9015,2.9376,2.9633,3.0633,3.038,64.3961,59.5083,57.6232,54.7945
1/18/2000,3.0,3.02,3.0,3.0,80000.0,3.0048,2.986,2.968,2.9015,2.8883,2.895,2.8982,2.9027,2.9376,2.9603,3.0632,3.041,64.3961,59.5083,57.6232,54.7945
1/19/2000,3.0,3.1,3.0,3.02,57000.0,3.0526,3.0,2.97,2.911,2.8923,2.898,2.9004,2.9042,2.9378,2.9573,3.0629,3.0433,74.7335,61.8236,59.2443,55.7582
1/20/2000,3.02,3.12,3.0,3.08,167000.0,3.0648,3.02,2.978,2.9255,2.899,2.9025,2.9038,2.9065,2.9402,2.955,3.0632,3.0465,89.0457,67.9993,63.7275,58.5034
1/21/2000,3.16,3.16,3.06,3.1,52000.0,3.1088,3.04,2.993,2.942,2.906,2.9068,2.9074,2.9095,2.9426,2.9532,3.0634,3.0497,91.4635,69.8295,65.1054,59.3727
1/24/2000,3.14,3.2,3.1,3.1,66000.0,3.1364,3.06,3.023,2.958,2.9137,2.911,2.911,2.9128,2.9446,2.951,3.0634,3.0518,91.4635,69.8295,65.1054,59.3727
1/25/2000,3.1,3.12,3.0,3.06,45000.0,3.0538,3.072,3.029,2.9695,2.9207,2.9143,2.9142,2.9147,2.9464,2.9493,3.0632,3.0532,45.8875,60.9987,59.8333,56.8249
1/26/2000,3.06,3.08,3.04,3.04,11000.0,3.06,3.076,3.038,2.981,2.9273,2.9165,2.916,2.917,2.9466,2.9483,3.0624,3.0546,33.4038,56.9477,57.3334,55.591
1/27/2000,3.04,3.06,3.0,3.0,37000.0,3.0297,3.06,3.04,2.9895,2.9327,2.919,2.9174,2.9178,2.9466,2.9467,3.0613,3.0556,18.3926,49.5446,52.5998,53.2009
1/28/2000,3.0,3.02,2.98,2.98,43000.0,3.0044,3.036,3.038,2.9955,2.9363,2.9203,2.9196,2.9185,2.9465,2.9453,3.0594,3.0565,13.7562,46.1685,50.361,52.0435
1/31/2000,2.94,2.98,2.94,2.95,17000.0,2.9647,3.006,3.033,2.998,2.9403,2.9215,2.9206,2.9192,2.9475,2.9434,3.0569,3.057,8.7777,41.4072,47.1211,50.3441
2/1/2000,2.94,2.98,2.94,2.95,17000.0,2.9647,3.006,3.033,2.998,2.9403,2.9215,2.9206,2.9192,2.9475,2.9434,3.0569,3.057,8.7777,41.4072,47.1211,50.3441
2/2/2000,3.0,3.02,2.98,2.99,159000.0,2.9928,2.992,3.032,3.0,2.945,2.9243,2.9224,2.9205,2.9472,2.9423,3.0557,3.0574,47.0813,49.2569,51.5928,52.4842
2/3/2000,2.99,3.02,2.98,2.99,34000.0,2.9982,2.982,3.029,2.9995,2.9503,2.9265,2.9242,2.9218,2.9469,2.9421,3.0541,3.0577,47.0813,49.2569,51.5928,52.4842
2/4/2000,2.99,3.02,2.98,2.99,34000.0,2.9982,2.982,3.029,2.9995,2.9503,2.9265,2.9242,2.9218,2.9469,2.9421,3.0541,3.0577,47.0813,49.2569,51.5928,52.4842
2/7/2000,2.99,3.02,2.98,2.99,34000.0,2.9982,2.982,3.029,2.9995,2.9503,2.9265,2.9242,2.9218,2.9469,2.9421,3.0541,3.0577,47.0813,49.2569,51.5928,52.4842
2/8/2000,2.96,3.08,2.96,3.0,41000.0,3.0268,2.982,3.021,2.9995,2.9573,2.9295,2.9262,2.9233,2.9469,2.9418,3.0522,3.0581,57.1921,51.3204,52.7512,53.0259
2/9/2000,3.08,3.1,3.0,3.08,61000.0,3.0551,3.002,3.019,3.006,2.9677,2.9343,2.9292,2.926,2.9477,2.9425,3.0511,3.059,86.9994,64.3631,60.8279,57.0754
2/10/2000,3.02,3.1,3.02,3.08,79000.0,3.0722,3.028,3.017,3.02,2.9777,2.9395,2.9322,2.9287,2.9483,2.9442,3.0502,3.0598,86.9994,64.3631,60.8279,57.0754
2/11/2000,3.1,3.12,3.08,3.08,47000.0,3.0911,3.046,3.019,3.024,2.986,2.9453,2.9352,2.9317,2.9483,2.9458,3.0493,3.0602,86.9994,64.3631,60.8279,57.0754
2/14/2000,3.08,3.14,3.08,3.12,34000.0,3.1035,3.072,3.027,3.0325,2.9963,2.9523,2.9386,2.9345,2.9483,2.9489,3.0483,3.0605,94.0227,70.0717,64.6062,59.0304
2/15/2000,3.12,3.14,3.08,3.1,103000.0,3.1004,3.092,3.037,3.0385,3.0053,2.9588,2.9426,2.9373,2.9489,2.9513,3.0467,3.0609,66.9118,64.2797,61.4164,57.6717
2/16/2000,3.12,3.26,3.12,3.24,65000.0,3.1914,3.124,3.063,3.0505,3.018,2.968,2.9488,2.9435,2.9503,2.9552,3.0457,3.0622,91.7847,78.3635,71.8817,63.7185
2/17/2000,3.24,3.28,3.2,3.22,86000.0,3.2393,3.152,3.09,3.0615,3.0287,2.9778,2.9552,2.9488,2.9519,2.9583,3.0447,3.0632,79.051,73.6938,69.0024,62.4012
2/18/2000,3.18,3.22,3.18,3.2,53000.0,3.1928,3.176,3.111,3.0715,3.037,2.9865,2.9616,2.9538,2.9533,2.9599,3.0431,3.0641,65.4341,69.0638,66.1488,61.0945
2/21/2000,3.18,3.18,2.99,2.99,380000.0,3.007,3.15,3.111,3.07,3.0367,2.9905,2.9634,2.9553,2.9526,2.9598,3.0412,3.0636,17.6229,39.6429,45.072,49.7734
2/22/2000,3.04,3.04,2.99,3.0,147000.0,3.0048,3.13,3.111,3.066,3.0367,2.9958,2.9658,2.957,2.9524,2.9612,3.0391,3.0635,21.709,40.9896,45.9551,50.2277
2/23/2000,3.06,3.06,2.99,2.99,394000.0,2.9981,3.08,3.102,3.0605,3.038,3.0013,2.9678,2.958,2.9515,2.9623,3.0375,3.0632,20.2056,39.9859,45.1729,49.7621
2/24/2000,2.99,3.02,2.99,2.99,286000.0,2.997,3.034,3.093,3.055,3.0443,3.0065,2.9702,2.959,2.9506,2.963,3.0357,3.0626,20.2056,39.9859,45.1729,49.7621
2/25/2000,2.97,3.0,2.97,2.97,275000.0,2.9832,2.988,3.082,3.0505,3.0433,3.01,2.9726,2.9597,2.9501,2.9638,3.0338,3.062,15.405,37.6522,43.4574,48.7939
2/28/2000,2.95,2.97,2.9,2.9,304000.0,2.9295,2.97,3.06,3.0435,3.0417,3.0123,2.9738,2.9588,2.9485,2.9628,3.0325,3.0606,6.8547,30.6163,38.0156,45.5827
