Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,8.824,8.824,8.706,8.824,45900.0,8.7621,8.6706,8.5176,8.2441,8.1118,8.0279,7.9976,7.9539,7.9935,8.1725,8.0441,7.8953,81.3281,77.7415,74.9465,65.5917
1/4/2000,8.824,9.059,8.824,9.059,99960.0,8.9316,8.7765,8.6,8.3059,8.1549,8.0588,8.0188,7.9784,8.0012,8.1725,8.0585,7.9071,90.4945,82.8239,79.127,68.7092
1/5/2000,9.0,9.0,8.706,8.706,54740.0,8.7713,8.7765,8.6412,8.3471,8.1824,8.0779,8.0318,7.9961,8.0041,8.1662,8.0709,7.9171,42.9991,59.787,62.3269,60.2401
1/6/2000,8.647,8.765,8.588,8.706,59840.0,8.7136,8.8,8.6765,8.3853,8.2098,8.0971,8.0447,8.0157,8.0106,8.1593,8.082,7.9271,42.9991,59.787,62.3269,60.2401
1/7/2000,8.647,8.765,8.588,8.706,59840.0,8.7136,8.8,8.6765,8.3853,8.2098,8.0971,8.0447,8.0157,8.0106,8.1593,8.082,7.9271,42.9991,59.787,62.3269,60.2401
1/10/2000,8.647,8.765,8.588,8.706,59840.0,8.7136,8.8,8.6765,8.3853,8.2098,8.0971,8.0447,8.0157,8.0106,8.1593,8.082,7.9271,42.9991,59.787,62.3269,60.2401
1/11/2000,8.824,9.0,8.706,8.706,31960.0,8.8905,8.8,8.6941,8.4265,8.2353,8.1206,8.0624,8.0343,8.0147,8.152,8.0931,7.9362,42.9991,59.787,62.3269,60.2401
1/12/2000,8.824,9.059,8.765,9.0,49300.0,8.9176,8.8353,8.7529,8.4824,8.2725,8.1574,8.0871,8.0569,8.0229,8.1485,8.1049,7.9474,76.9798,69.7652,69.1453,64.2997
1/13/2000,9.0,9.0,8.706,8.706,40800.0,8.8593,8.7647,8.7706,8.5206,8.3,8.1824,8.1059,8.0725,8.0294,8.1431,8.1154,7.9574,40.6394,54.5403,57.8665,58.1569
1/14/2000,8.765,9.0,8.706,9.0,66640.0,8.7917,8.8235,8.8,8.5676,8.3412,8.2147,8.1306,8.0941,8.0388,8.1402,8.1268,7.9691,65.2479,63.5011,64.162,61.9202
1/17/2000,9.118,9.471,9.118,9.294,94180.0,9.4005,8.9412,8.8706,8.6324,8.3902,8.2544,8.1612,8.1176,8.0524,8.1402,8.1392,7.9824,78.5724,70.1259,69.1294,65.1616
1/18/2000,9.412,9.882,9.412,9.588,168980.0,9.5963,9.1176,8.9588,8.7059,8.449,8.2985,8.1976,8.1451,8.0682,8.1436,8.1526,7.9968,86.3962,75.1916,73.1389,67.9811
