Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,3.497,3.692,3.461,3.692,1498561.0,3.5785,3.4471,3.4311,3.298,3.2004,3.0668,2.9824,2.9307,2.8555,2.8645,2.9048,2.8694,90.8886,77.3906,69.9663,73.8628
1/4/2000,3.71,3.728,3.603,3.657,1258566.0,3.6721,3.511,3.456,3.3291,3.2246,3.0917,3.0028,2.9476,2.8659,2.8685,2.9102,2.8757,79.4834,73.4628,68.6301,71.3358
1/5/2000,3.568,3.568,3.426,3.55,1252933.0,3.5172,3.5394,3.4631,3.3513,3.2406,3.1134,3.0215,2.9627,2.874,2.8719,2.9148,2.8817,50.7985,62.7196,64.7903,64.2357
1/6/2000,3.639,3.657,3.515,3.568,646748.0,3.561,3.5714,3.4755,3.3761,3.2572,3.1363,3.0405,2.9769,2.8808,2.8753,2.9193,2.8879,54.8702,63.7146,65.1267,64.8634
1/7/2000,3.639,3.657,3.515,3.568,646748.0,3.561,3.5714,3.4755,3.3761,3.2572,3.1363,3.0405,2.9769,2.8808,2.8753,2.9193,2.8879,54.8702,63.7146,65.1267,64.8634
1/10/2000,3.639,3.657,3.515,3.568,646748.0,3.561,3.5714,3.4755,3.3761,3.2572,3.1363,3.0405,2.9769,2.8808,2.8753,2.9193,2.8879,54.8702,63.7146,65.1267,64.8634
1/11/2000,3.71,3.728,3.586,3.603,882236.0,3.637,3.614,3.4915,3.4045,3.2743,3.1598,3.0589,2.9911,2.8875,2.8789,2.9236,2.894,63.8461,65.77,65.8027,66.1432
1/12/2000,3.639,3.71,3.621,3.621,1389268.0,3.6384,3.5998,3.5234,3.4329,3.2951,3.1844,3.0777,3.0071,2.8955,2.8827,2.9285,2.9005,68.5391,66.827,66.1422,66.7945
1/13/2000,3.639,3.639,3.55,3.603,1747571.0,3.6267,3.5891,3.5501,3.4578,3.3146,3.2113,3.0967,3.0221,2.904,2.8866,2.9333,2.9065,57.3689,64.5834,65.4699,65.4389
1/14/2000,3.603,3.87,3.603,3.799,4700751.0,3.74,3.6388,3.5891,3.48,3.3424,3.2403,3.1194,3.0412,2.9143,2.8921,2.9391,2.9133,88.444,74.979,69.0498,72.1376
1/17/2000,3.816,3.958,3.781,3.799,3046699.0,3.8944,3.685,3.6282,3.5092,3.3696,3.2701,3.1422,3.0616,2.9245,2.898,2.9447,2.9194,88.444,74.979,69.0498,72.1376
1/18/2000,3.799,3.994,3.763,3.87,1754331.0,3.913,3.7382,3.6761,3.5385,3.3992,3.2998,3.1681,3.0815,2.9353,2.9064,2.9512,2.926,92.7612,77.9567,70.2501,74.2431
1/19/2000,3.87,4.571,3.87,4.402,9314743.0,4.3658,3.8944,3.7471,3.5891,3.4477,3.3371,3.2029,3.1099,2.9516,2.9188,2.9605,2.9352,98.6087,89.0012,77.131,84.0052
1/20/2000,4.438,4.926,4.42,4.926,9310236.0,4.6529,4.1589,3.874,3.665,3.5107,3.387,3.2481,3.148,2.9732,2.9361,2.9724,2.947,99.3651,92.9235,81.4868,88.5862
1/21/2000,4.97,5.325,4.837,5.103,6708598.0,5.1686,4.4198,4.0293,3.7462,3.5773,3.4378,3.2966,3.1894,2.9969,2.9552,2.9846,2.9598,99.5026,93.7707,82.6459,89.6666
1/24/2000,5.148,5.325,4.881,5.014,2050663.0,5.1057,4.663,4.174,3.8248,3.6421,3.4864,3.3438,3.2294,3.0193,2.9735,2.9971,2.9721,85.5985,87.8546,80.0534,85.318
1/25/2000,4.926,4.97,4.793,4.881,2547555.0,4.8783,4.8654,4.3018,3.8966,3.7036,3.5312,3.3882,3.2661,3.0399,2.9912,3.009,2.9836,65.1233,79.401,76.3377,79.1195
1/26/2000,4.881,5.059,4.704,4.837,3232611.0,4.916,4.9523,4.4234,3.9734,3.7631,3.5771,3.4322,3.302,3.0608,3.0085,3.0205,2.9948,58.1665,76.6357,75.1351,77.1085
1/27/2000,4.837,4.926,4.704,4.881,1971791.0,4.838,4.9435,4.5512,4.0506,3.8222,3.6237,3.4792,3.3391,3.0821,3.0267,3.0328,3.006,63.944,77.5166,75.5338,77.7184
1/28/2000,4.837,4.926,4.748,4.748,1764472.0,4.8629,4.8725,4.6462,4.1176,3.8687,3.6683,3.5215,3.3739,3.1017,3.0442,3.0442,3.0161,39.4356,68.7664,71.9531,71.5588
1/31/2000,4.659,4.704,4.526,4.571,873222.0,4.6016,4.7837,4.7234,4.1758,3.914,3.708,3.5607,3.4057,3.1186,3.0596,3.0543,3.0247,22.3234,58.8086,67.5371,64.2473
2/1/2000,4.659,4.704,4.526,4.571,873222.0,4.6016,4.7837,4.7234,4.1758,3.914,3.708,3.5607,3.4057,3.1186,3.0596,3.0543,3.0247,22.3234,58.8086,67.5371,64.2473
2/2/2000,4.659,4.881,4.659,4.837,1214624.0,4.8123,4.7748,4.8201,4.2481,3.9657,3.7544,3.6039,3.4434,3.1383,3.0787,3.0647,3.0346,60.6967,66.8975,70.3599,69.3124
2/3/2000,4.837,4.837,4.704,4.837,1095189.0,4.786,4.7748,4.8636,4.3053,4.0139,3.8017,3.6424,3.4797,3.1586,3.0971,3.0748,3.0449,60.6967,66.8975,70.3599,69.3124
2/4/2000,4.837,4.837,4.704,4.837,1095189.0,4.786,4.7748,4.8636,4.3053,4.0139,3.8017,3.6424,3.4797,3.1586,3.0971,3.0748,3.0449,60.6967,66.8975,70.3599,69.3124
2/7/2000,4.837,4.837,4.704,4.837,1095189.0,4.786,4.7748,4.8636,4.3053,4.0139,3.8017,3.6424,3.4797,3.1586,3.0971,3.0748,3.0449,60.6967,66.8975,70.3599,69.3124
2/8/2000,4.881,4.97,4.837,4.881,1534617.0,4.8839,4.7748,4.8592,4.3666,4.0631,3.8478,3.6814,3.5166,3.1795,3.116,3.0855,3.0559,66.8398,68.2142,70.8125,70.1303
2/9/2000,4.881,5.281,4.881,4.881,2472063.0,5.0523,4.8015,4.837,4.4332,4.1098,3.8922,3.7176,3.5533,3.2008,3.1339,3.0939,3.0666,66.8398,68.2142,70.8125,70.1303
2/10/2000,4.881,5.059,4.793,4.881,1346452.0,4.9116,4.8636,4.8237,4.4988,4.1577,3.9375,3.7538,3.5905,3.2211,3.1505,3.103,3.0772,66.8398,68.2142,70.8125,70.1303
2/11/2000,4.881,4.926,4.837,4.926,1101950.0,4.8632,4.8813,4.8281,4.5649,4.2071,3.9847,3.7906,3.6282,3.2417,3.1671,3.1136,3.0878,78.2913,69.9178,71.2978,71.0926
2/14/2000,4.837,4.881,4.793,4.837,856321.0,4.8446,4.8813,4.8281,4.6257,4.2583,4.0293,3.8273,3.6649,3.2614,3.1839,3.1236,3.0982,38.4531,62.3935,68.9268,66.4795
