Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,8.9,8.95,8.7,8.7,257000.0,8.8327,8.52,8.29,8.06,7.94,7.9375,7.958,7.995,8.132,8.2283,8.4833,8.4545,66.8789,73.3697,66.2648,59.9226
1/4/2000,8.7,8.7,8.6,8.65,165000.0,8.6548,8.61,8.35,8.1075,7.9717,7.95,7.97,8.0017,8.1355,8.2246,8.4828,8.4593,59.7122,70.1314,64.2698,59.0014
1/5/2000,8.5,8.55,8.35,8.4,416000.0,8.4413,8.64,8.38,8.1425,7.9983,7.96,7.977,8.005,8.136,8.2192,8.4803,8.463,33.1055,56.1829,55.3041,54.6555
1/6/2000,8.45,8.45,8.3,8.3,474000.0,8.3334,8.59,8.41,8.1775,8.0217,7.9638,7.983,8.0067,8.134,8.2138,8.4781,8.4668,26.1219,51.5676,52.1692,53.039
1/7/2000,8.45,8.45,8.3,8.3,474000.0,8.3334,8.59,8.41,8.1775,8.0217,7.9638,7.983,8.0067,8.134,8.2138,8.4781,8.4668,26.1219,51.5676,52.1692,53.039
1/10/2000,8.45,8.45,8.3,8.3,474000.0,8.3334,8.59,8.41,8.1775,8.0217,7.9638,7.983,8.0067,8.134,8.2138,8.4781,8.4668,26.1219,51.5676,52.1692,53.039
1/11/2000,8.45,8.5,8.4,8.45,577000.0,8.4503,8.5,8.45,8.2175,8.0483,7.9688,7.992,8.0108,8.1345,8.2096,8.4753,8.4715,49.9009,57.4641,56.1816,55.0997
1/12/2000,8.45,8.45,8.4,8.45,192000.0,8.4469,8.45,8.485,8.2575,8.0717,7.9825,8.003,8.015,8.1345,8.205,8.4728,8.4763,49.9009,57.4641,56.1816,55.0997
1/13/2000,8.45,8.5,8.3,8.35,835000.0,8.4065,8.39,8.5,8.275,8.0817,7.9938,8.011,8.0167,8.1335,8.1996,8.4708,8.4795,33.6531,52.111,52.7596,53.4271
1/14/2000,8.35,8.7,8.3,8.35,1356000.0,8.4307,8.38,8.51,8.29,8.1033,8.0063,8.017,8.0217,8.131,8.1942,8.4681,8.4813,33.6531,52.111,52.7596,53.4271
1/17/2000,8.7,8.8,8.35,8.45,1190000.0,8.519,8.41,8.5,8.3125,8.13,8.0213,8.027,8.0283,8.13,8.1904,8.4658,8.4823,61.7068,57.1617,55.8765,54.8924
1/18/2000,8.5,8.55,8.35,8.4,733000.0,8.4411,8.4,8.45,8.335,8.155,8.0438,8.03,8.0317,8.1275,8.1879,8.4633,8.4838,46.8496,53.9605,53.9595,54.0134
1/19/2000,8.4,8.45,8.25,8.3,620000.0,8.3672,8.37,8.41,8.35,8.1767,8.0575,8.032,8.0333,8.124,8.185,8.4592,8.4835,27.2016,47.9221,50.2465,52.2812
1/20/2000,8.55,8.65,8.35,8.35,631000.0,8.494,8.37,8.38,8.365,8.1983,8.0738,8.036,8.0383,8.1215,8.1821,8.4553,8.4833,44.6206,51.0061,52.0241,53.0599
1/21/2000,8.4,8.55,8.35,8.5,166000.0,8.4364,8.4,8.39,8.385,8.225,8.0963,8.046,8.0458,8.1205,8.1808,8.4528,8.4843,73.3336,59.1671,56.9888,55.3223
1/24/2000,8.55,8.65,8.4,8.55,581000.0,8.4766,8.42,8.415,8.4125,8.2567,8.12,8.054,8.055,8.1205,8.1796,8.4514,8.485,78.8234,61.5677,58.5294,56.0527
1/25/2000,8.4,8.5,8.3,8.5,343000.0,8.3488,8.44,8.42,8.435,8.285,8.1413,8.059,8.0633,8.1205,8.1788,8.4492,8.4855,60.2255,57.7482,56.3556,55.1205
1/26/2000,8.5,8.5,8.3,8.3,307000.0,8.3865,8.44,8.405,8.445,8.3067,8.155,8.067,8.07,8.12,8.1771,8.4456,8.484,24.9312,45.1451,48.5829,51.5715
1/27/2000,8.4,8.4,8.2,8.2,349000.0,8.2968,8.41,8.39,8.445,8.3133,8.1588,8.073,8.0742,8.119,8.1742,8.4414,8.482,17.3191,40.209,45.2243,49.9093
1/28/2000,8.2,8.3,8.2,8.25,435000.0,8.2563,8.36,8.38,8.445,8.32,8.1725,8.081,8.0775,8.119,8.1738,8.4383,8.4803,32.7248,43.6732,47.1901,50.7307
1/31/2000,8.2,8.25,8.0,8.2,339000.0,8.1785,8.29,8.355,8.4275,8.3267,8.1863,8.088,8.0817,8.116,8.1725,8.4342,8.4778,25.5764,41.0007,45.4341,49.8845
2/1/2000,8.2,8.25,8.0,8.2,339000.0,8.1785,8.29,8.355,8.4275,8.3267,8.1863,8.088,8.0817,8.116,8.1725,8.4342,8.4778,25.5764,41.0007,45.4341,49.8845
2/2/2000,8.25,8.3,8.1,8.15,276000.0,8.2342,8.22,8.33,8.39,8.3333,8.1988,8.101,8.08,8.1125,8.1717,8.4294,8.475,19.2643,38.3599,43.6835,49.0383
2/3/2000,8.15,8.25,8.1,8.25,267000.0,8.1401,8.21,8.325,8.3675,8.3417,8.2138,8.111,8.0808,8.109,8.1713,8.4256,8.4718,53.6104,46.1621,47.9989,50.7662
