Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,28.75,28.75,28.5,28.75,72200.0,28.7105,28.4,28.225,27.775,27.3917,27.1875,27.045,26.74,26.2655,26.3504,26.9711,26.5875,65.0767,62.652,60.2666,60.8975
1/4/2000,28.75,29.25,28.75,29.0,108800.0,29.0198,28.7,28.325,27.8875,27.4833,27.25,27.105,26.7942,26.3005,26.3567,26.9906,26.617,74.1177,65.4321,62.2217,61.8054
1/5/2000,28.0,28.75,28.0,28.25,105200.0,28.3265,28.75,28.325,27.95,27.5417,27.2938,27.155,26.84,26.3155,26.3567,27.0044,26.6423,34.235,52.2945,53.687,57.6514
1/6/2000,28.5,28.5,28.0,28.5,145200.0,28.3709,28.7,28.325,28.05,27.6083,27.3437,27.2,26.89,26.328,26.3588,27.0169,26.6688,48.1778,55.6349,55.8604,58.6106
1/7/2000,28.5,28.5,28.0,28.5,145200.0,28.3709,28.7,28.325,28.05,27.6083,27.3437,27.2,26.89,26.328,26.3588,27.0169,26.6688,48.1778,55.6349,55.8604,58.6106
1/10/2000,28.5,28.5,28.0,28.5,145200.0,28.3709,28.7,28.325,28.05,27.6083,27.3437,27.2,26.89,26.328,26.3588,27.0169,26.6688,48.1778,55.6349,55.8604,58.6106
1/11/2000,29.0,29.25,27.75,27.75,285400.0,28.4079,28.45,28.3,28.0875,27.6583,27.3625,27.225,26.9317,26.3405,26.3546,27.0183,26.6945,24.6555,45.0004,48.5062,54.761
1/12/2000,27.75,29.0,27.5,29.0,181200.0,27.7039,28.5,28.45,28.1875,27.75,27.4188,27.265,26.9983,26.363,26.3608,27.0267,26.7305,66.0702,59.5116,58.3485,59.3629
1/13/2000,28.0,28.75,27.25,28.25,249800.0,28.224,28.35,28.525,28.2,27.7833,27.4625,27.3,27.0592,26.378,26.365,27.0308,26.7638,44.2029,50.5152,51.9344,55.8374
1/14/2000,28.0,28.5,28.0,28.25,400000.0,28.2486,28.35,28.55,28.2125,27.825,27.5,27.335,27.115,26.3755,26.3713,27.035,26.7925,44.2029,50.5152,51.9344,55.8374
1/17/2000,28.25,29.25,28.25,29.0,525600.0,28.9082,28.45,28.575,28.25,27.9,27.5625,27.37,27.1833,26.3855,26.39,27.0447,26.826,68.0188,58.4624,57.3694,58.4764
1/18/2000,28.75,29.25,28.5,29.0,284200.0,29.0118,28.7,28.575,28.35,27.9667,27.625,27.425,27.2458,26.398,26.4129,27.0531,26.859,68.0188,58.4624,57.3694,58.4764
1/19/2000,28.75,29.0,28.5,28.5,290600.0,28.6328,28.6,28.55,28.3875,28.0333,27.6813,27.46,27.2958,26.408,26.4317,27.0586,26.889,41.4686,51.4858,52.757,56.0853
1/20/2000,28.75,29.5,28.75,29.0,584200.0,28.9974,28.75,28.55,28.4375,28.1083,27.75,27.51,27.3458,26.433,26.4525,27.0683,26.9185,63.0834,57.228,56.5215,57.8675
