Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,2.117,2.2,2.117,2.167,31200.0,2.1494,2.11,2.1067,2.07,2.0561,2.055,2.06,2.0531,2.0948,2.1768,2.0568,2.0118,81.5033,65.3542,54.3315,59.8234
1/4/2000,2.25,2.25,2.2,2.2,24000.0,2.2258,2.1367,2.1217,2.0767,2.0617,2.0575,2.0627,2.0564,2.092,2.176,2.0612,2.014,87.6852,69.0529,56.1279,62.5075
1/5/2000,2.217,2.217,2.167,2.167,4800.0,2.1917,2.1533,2.1233,2.0817,2.0661,2.0596,2.0647,2.0583,2.0895,2.1724,2.0654,2.0161,58.4054,61.6487,53.9333,58.3121
1/6/2000,2.183,2.183,2.183,2.183,4800.0,2.1833,2.1667,2.1317,2.0908,2.07,2.0629,2.067,2.0608,2.0867,2.1665,2.0695,2.0184,66.736,63.8302,54.8465,59.7662
1/7/2000,2.183,2.183,2.183,2.183,4800.0,2.1833,2.1667,2.1317,2.0908,2.07,2.0629,2.067,2.0608,2.0867,2.1665,2.0695,2.0184,66.736,63.8302,54.8465,59.7662
1/10/2000,2.183,2.183,2.183,2.183,4800.0,2.1833,2.1667,2.1317,2.0908,2.07,2.0629,2.067,2.0608,2.0867,2.1665,2.0695,2.0184,66.736,63.8302,54.8465,59.7662
1/11/2000,2.183,2.2,2.183,2.2,31200.0,2.1865,2.1833,2.1433,2.1017,2.0756,2.0671,2.0697,2.0639,2.0845,2.1619,2.0738,2.021,74.4206,66.0057,55.7538,61.2228
1/12/2000,2.183,2.2,2.183,2.2,20400.0,2.1951,2.19,2.15,2.1117,2.0822,2.0713,2.072,2.0669,2.0825,2.1578,2.0778,2.0239,74.4206,66.0057,55.7538,61.2228
1/13/2000,2.25,2.25,2.217,2.217,25200.0,2.2365,2.1933,2.165,2.1208,2.0878,2.0758,2.0743,2.0703,2.0805,2.1535,2.0819,2.0269,83.1692,68.4103,56.6852,62.7854
1/14/2000,2.167,2.183,2.167,2.183,15600.0,2.1808,2.1967,2.175,2.1292,2.0944,2.0788,2.076,2.0731,2.0788,2.1493,2.085,2.0298,41.05,59.0173,54.3194,57.7713
1/17/2000,2.167,2.183,2.167,2.183,15600.0,2.1808,2.1967,2.175,2.1292,2.0944,2.0788,2.076,2.0731,2.0788,2.1493,2.085,2.0298,41.05,59.0173,54.3194,57.7713
1/18/2000,2.3,2.4,2.283,2.333,46800.0,2.3402,2.2267,2.1967,2.145,2.1072,2.0863,2.081,2.0786,2.0805,2.1461,2.0894,2.0334,86.658,75.8229,61.7509,69.5542
1/19/2000,2.367,2.367,2.367,2.367,12000.0,2.3667,2.26,2.2217,2.1592,2.1172,2.0942,2.0867,2.0844,2.0822,2.1442,2.0937,2.0371,89.3934,78.071,63.1298,71.46
1/20/2000,2.383,2.417,2.383,2.383,39600.0,2.4,2.2967,2.2433,2.175,2.1278,2.1029,2.0927,2.0906,2.0837,2.1428,2.0986,2.041,90.8069,79.1609,63.8047,72.3906
1/21/2000,2.383,2.383,2.333,2.333,26400.0,2.3583,2.32,2.2567,2.1892,2.1367,2.1104,2.0973,2.095,2.0853,2.1406,2.1032,2.0445,56.7642,67.7892,60.3748,65.4915
1/24/2000,2.3,2.3,2.3,2.3,9600.0,2.3,2.3433,2.27,2.1967,2.1444,2.1171,2.1017,2.0989,2.087,2.1382,2.1073,2.0478,41.2863,61.196,58.2165,61.2973
1/25/2000,2.3,2.3,2.283,2.283,20400.0,2.2912,2.3333,2.28,2.2058,2.1539,2.1225,2.1063,2.1025,2.0898,2.1361,2.111,2.0513,34.2767,58.0217,57.1597,59.254
1/26/2000,2.283,2.317,2.267,2.267,8400.0,2.2857,2.3133,2.2867,2.215,2.1633,2.1283,2.111,2.1058,2.0918,2.1339,2.115,2.0546,27.3192,54.8225,56.106,57.2006
1/27/2000,2.25,2.267,2.25,2.267,15600.0,2.2526,2.29,2.2933,2.2217,2.1722,2.135,2.1157,2.1089,2.0942,2.1317,2.1188,2.0581,27.3192,54.8225,56.106,57.2006
1/28/2000,2.233,2.25,2.233,2.25,7200.0,2.2361,2.2733,2.2967,2.2308,2.1794,2.14,2.12,2.1114,2.0967,2.1294,2.1223,2.0617,18.7541,51.2464,55.0205,54.9905
1/31/2000,2.217,2.233,2.217,2.233,13200.0,2.2242,2.26,2.3017,2.2383,2.1867,2.1463,2.1233,2.1136,2.0992,2.1274,2.1251,2.0652,12.7555,47.7428,53.941,52.7937
2/1/2000,2.217,2.233,2.217,2.233,13200.0,2.2242,2.26,2.3017,2.2383,2.1867,2.1463,2.1233,2.1136,2.0992,2.1274,2.1251,2.0652,12.7555,47.7428,53.941,52.7937
2/2/2000,2.25,2.283,2.25,2.283,3600.0,2.2722,2.26,2.2967,2.2467,2.1956,2.1546,2.1283,2.1169,2.1025,2.1257,2.1283,2.069,64.2346,57.5401,56.5846,58.1899
2/3/2000,2.283,2.283,2.2,2.2,19200.0,2.2688,2.2467,2.28,2.2508,2.1994,2.1579,2.1313,2.1189,2.1045,2.1238,2.131,2.0726,25.9519,42.574,51.4893,48.2835
2/4/2000,2.283,2.283,2.2,2.2,19200.0,2.2688,2.2467,2.28,2.2508,2.1994,2.1579,2.1313,2.1189,2.1045,2.1238,2.131,2.0726,25.9519,42.574,51.4893,48.2835
2/7/2000,2.283,2.283,2.2,2.2,19200.0,2.2688,2.2467,2.28,2.2508,2.1994,2.1579,2.1313,2.1189,2.1045,2.1238,2.131,2.0726,25.9519,42.574,51.4893,48.2835
2/8/2000,2.317,2.317,2.317,2.317,7200.0,2.3167,2.2567,2.2733,2.2583,2.2078,2.1642,2.137,2.1228,2.1082,2.1221,2.1346,2.0769,67.1126,59.2624,57.0859,58.8465
2/9/2000,2.317,2.367,2.317,2.367,30000.0,2.334,2.28,2.2767,2.2667,2.2183,2.1717,2.1437,2.1272,2.1112,2.1211,2.1381,2.0818,75.7707,64.2688,59.1741,62.3917
2/10/2000,2.3,2.383,2.3,2.383,28800.0,2.341,2.31,2.285,2.2775,2.2261,2.1796,2.1507,2.1322,2.1135,2.1208,2.1419,2.0866,78.5891,65.8429,59.8478,63.5199
2/11/2000,2.4,2.467,2.383,2.467,54000.0,2.413,2.3467,2.3033,2.2917,2.2383,2.1913,2.1587,2.1392,2.1167,2.1208,2.1456,2.0918,88.565,72.6264,63.0055,68.5928
2/14/2000,2.45,2.5,2.45,2.483,45600.0,2.4702,2.4033,2.325,2.3058,2.2517,2.2038,2.1677,2.1467,2.1203,2.1214,2.1496,2.097,89.9674,73.7972,63.5978,69.5062
2/15/2000,2.5,2.85,2.483,2.7,435600.0,2.6775,2.48,2.3683,2.3308,2.2706,2.2213,2.1817,2.1578,2.1258,2.1239,2.1551,2.1031,97.0418,83.8807,70.0471,78.329
2/16/2000,2.7,2.75,2.483,2.583,165600.0,2.5839,2.5233,2.4017,2.3492,2.2878,2.235,2.1923,2.1669,2.1302,2.1253,2.1595,2.1086,61.8284,68.0234,63.7553,67.0752
2/17/2000,2.583,2.633,2.583,2.617,30000.0,2.6073,2.57,2.44,2.3708,2.3056,2.25,2.205,2.1761,2.135,2.1275,2.1643,2.1136,66.9657,69.8552,64.6926,68.4691
2/18/2000,2.517,2.517,2.517,2.517,2400.0,2.5167,2.58,2.4633,2.38,2.3189,2.2625,2.2163,2.1842,2.1388,2.1304,2.1684,2.1184,41.7067,58.5379,59.8861,60.2309
2/21/2000,2.583,2.583,2.467,2.467,36000.0,2.5017,2.5767,2.49,2.385,2.3306,2.2721,2.2243,2.1911,2.142,2.1326,2.1716,2.1228,32.5099,53.6488,57.6698,56.5662
2/22/2000,2.5,2.55,2.4,2.4,57600.0,2.459,2.5167,2.4983,2.3858,2.3383,2.2804,2.231,2.1972,2.1447,2.134,2.1738,2.1273,22.5602,47.676,54.869,52.0212
2/23/2000,2.45,2.5,2.4,2.5,50400.0,2.4242,2.5,2.5117,2.3942,2.3483,2.2917,2.2397,2.205,2.1488,2.1368,2.1769,2.1323,54.14,55.9515,58.0318,57.5331
2/24/2000,2.5,2.5,2.433,2.433,39600.0,2.4551,2.4633,2.5167,2.4008,2.3572,2.2988,2.247,2.2117,2.1515,2.1393,2.1802,2.1366,38.4572,50.0183,55.3563,53.1494
2/25/2000,2.467,2.467,2.433,2.433,19200.0,2.4458,2.4467,2.5133,2.4083,2.3656,2.3071,2.2557,2.2178,2.1543,2.1429,2.1834,2.1407,38.4572,50.0183,55.3563,53.1494
2/28/2000,2.4,2.433,2.333,2.367,19200.0,2.3938,2.4267,2.5017,2.4133,2.3711,2.3142,2.2633,2.2233,2.1565,2.1454,2.1863,2.1449,23.2826,44.0998,52.7536,48.834
2/29/2000,2.317,2.333,2.3,2.317,20400.0,2.3157,2.41,2.4633,2.4158,2.375,2.3188,2.2697,2.2286,2.158,2.1478,2.189,2.1485,16.1247,40.0966,50.8969,45.8286
3/1/2000,2.25,2.333,2.25,2.283,25200.0,2.2881,2.3667,2.4333,2.4175,2.3772,2.3242,2.2747,2.2325,2.1593,2.1501,2.1916,2.1518,12.3331,37.5408,49.6908,43.8893
3/2/2000,2.267,2.267,2.25,2.25,26400.0,2.2561,2.33,2.3967,2.4183,2.3794,2.3283,2.2793,2.2369,2.1603,2.1524,2.1937,2.1544,9.1173,35.0288,48.5018,41.9765
3/3/2000,2.267,2.267,2.25,2.25,6000.0,2.2533,2.2933,2.37,2.4167,2.3767,2.3317,2.284,2.2419,2.1627,2.1549,2.1957,2.1572,9.1173,35.0288,48.5018,41.9765
3/6/2000,2.25,2.25,2.25,2.25,32400.0,2.25,2.27,2.3483,2.4192,2.3728,2.335,2.2873,2.245,2.165,2.1569,2.1975,2.1598,9.1173,35.0288,48.5018,41.9765
3/7/2000,2.167,2.2,2.167,2.2,10800.0,2.1759,2.2467,2.3283,2.4133,2.3667,2.3358,2.29,2.2472,2.1662,2.159,2.1988,2.1625,3.9298,30.6489,46.6482,38.8077
3/8/2000,2.183,2.217,2.183,2.217,13200.0,2.1864,2.2333,2.3,2.4058,2.3628,2.3363,2.2933,2.2497,2.1683,2.1603,2.2001,2.1648,25.2073,33.7551,47.3422,40.4222
3/9/2000,2.183,2.217,2.183,2.217,13200.0,2.1864,2.2333,2.3,2.4058,2.3628,2.3363,2.2933,2.2497,2.1683,2.1603,2.2001,2.1648,25.2073,33.7551,47.3422,40.4222
