Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.8,1.82,1.8,1.82,17000.0,1.8012,1.74,1.708,1.6205,1.58,1.5485,1.571,1.5974,1.61,1.6503,1.5656,1.54,87.3054,71.8894,69.3004,57.3369
1/4/2000,1.85,1.85,1.83,1.83,27000.0,1.8426,1.766,1.731,1.638,1.591,1.5548,1.5734,1.6002,1.6112,1.6496,1.5694,1.5417,88.5098,72.6305,69.8481,57.761
1/5/2000,1.8,1.8,1.65,1.71,11000.0,1.7582,1.768,1.722,1.6485,1.598,1.5588,1.574,1.601,1.6125,1.6482,1.5725,1.543,32.6873,53.5652,56.7605,51.416
1/6/2000,1.78,1.8,1.78,1.78,19000.0,1.7889,1.776,1.735,1.6625,1.6073,1.5658,1.576,1.6023,1.6148,1.6473,1.576,1.5451,56.6244,60.3888,61.3142,54.4363
1/7/2000,1.78,1.8,1.78,1.78,19000.0,1.7889,1.776,1.735,1.6625,1.6073,1.5658,1.576,1.6023,1.6148,1.6473,1.576,1.5451,56.6244,60.3888,61.3142,54.4363
1/10/2000,1.78,1.8,1.78,1.78,19000.0,1.7889,1.776,1.735,1.6625,1.6073,1.5658,1.576,1.6023,1.6148,1.6473,1.576,1.5451,56.6244,60.3888,61.3142,54.4363
1/11/2000,1.8,1.81,1.8,1.8,10000.0,1.802,1.788,1.745,1.6775,1.6177,1.5753,1.579,1.6023,1.6173,1.6469,1.5795,1.5473,62.3608,62.1754,62.5284,55.2584
1/12/2000,1.78,1.8,1.78,1.8,6000.0,1.7833,1.784,1.762,1.6905,1.6267,1.5868,1.5818,1.602,1.6203,1.6459,1.583,1.5491,62.3608,62.1754,62.5284,55.2584
1/13/2000,1.75,1.78,1.75,1.75,12000.0,1.7583,1.768,1.767,1.701,1.6343,1.5955,1.5834,1.6014,1.6233,1.6452,1.5861,1.5504,35.7594,54.4105,57.3127,52.7138
1/14/2000,1.78,1.85,1.78,1.85,8000.0,1.8263,1.796,1.782,1.715,1.6457,1.607,1.5872,1.6035,1.6249,1.6448,1.59,1.5525,71.8208,64.4109,63.8138,56.8271
