Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
6/28/2007,64.202,64.202,61.045,63.15,3997.0,63.0103,64.4125,62.8338,63.8863,65.9211,67.3332,68.7067,70.2188,76.3162,77.288,76.0367,75.9321,34.188,43.3886,42.2157,42.7888
6/29/2007,63.15,67.36,62.097,65.255,965.0,63.566,64.4125,63.1495,63.781000000000006,65.6755,67.149,68.4962,69.9381,76.1163,77.2003,76.025,75.711,71.2966,55.5935,49.4554,45.4006
7/2/2007,65.255,72.622,65.255,72.622,3473.0,68.8267,65.88600000000001,64.3073,64.1494,65.7106,67.1227,68.4752,69.8329,76.0005,77.1652,76.025,75.6689,92.7521,75.9821,65.6682,53.1453
7/3/2007,72.622,77.884,63.15,64.202,89293.0,74.1646,65.88600000000001,64.623,64.0442,65.6054,66.9648,68.3068,69.6224,75.59,77.0775,75.9958,75.6268,40.6556,47.778,47.0812,45.5128
7/4/2007,64.202,67.36,63.15,66.307,2662.0,65.9161,66.307,65.1493,63.9915,65.3949,66.7806,68.1384,69.4119,75.3374,76.9811,75.99,75.6532,50.9805,52.7145,50.8283,47.4641
7/5/2007,68.41199999999999,68.41199999999999,65.255,66.307,937.0,65.4984,66.9385,65.6755,64.0442,65.2896,66.6228,68.0121,69.2014,75.0953,76.8846,75.9783,75.6479,50.9805,52.7145,50.8283,47.4641
7/6/2007,65.255,66.307,64.202,66.307,3389.0,64.7228,67.149,65.7808,64.0968,65.2195,66.4386,67.8647,69.0435,74.8322,76.7969,75.9724,75.6584,50.9805,52.7145,50.8283,47.4641
7/9/2007,65.255,65.255,63.15,64.202,8451.0,63.873000000000005,65.465,65.6755,64.1494,65.044,66.2544,67.6542,68.8505,74.5586,76.7092,75.9373,75.5637,32.1199,46.4611,46.6984,45.6541
7/10/2007,65.255,65.255,63.15,65.255,1599.0,64.2909,65.6755,65.7808,64.2547,64.9037,66.1492,67.4648,68.6576,74.2639,76.6215,75.9081,75.4953,46.8635,49.8102,48.9327,46.7053
7/11/2007,64.202,64.202,63.15,63.15,841.0,63.7147,65.044,65.6755,64.2547,64.623,65.965,67.2332,68.4296,73.9481,76.4723,75.873,75.4111,28.3746,43.6646,44.8807,44.9081
7/12/2007,64.202,65.255,64.202,64.202,2372.0,64.308,64.623,65.7808,64.3073,64.5178,65.88600000000001,67.0227,68.2191,73.6745,76.2706,75.8555,75.3585,44.729,47.3206,47.2335,45.9832
7/13/2007,65.255,65.255,63.15,64.202,4190.0,63.6249,64.202,65.6755,64.4125,64.4125,65.6755,66.8543,68.0261,73.3903,76.0864,75.8321,75.3058,44.729,47.3206,47.2335,45.9832
7/16/2007,65.255,65.255,63.15,63.15,1678.0,63.367,63.9915,64.7283,64.5178,64.3424,65.465,66.6438,67.8507,73.0851,75.8935,75.8028,75.2216,29.5485,43.7289,45.0055,45.0426
7/17/2007,63.15,64.202,62.097,64.202,2295.0,62.9558,63.781000000000006,64.7283,64.6757,64.2722,65.3861,66.5175,67.7103,72.7272,75.6918,75.7795,75.1585,53.315,48.1558,47.6641,46.1815
7/18/2007,63.15,63.15,63.15,63.15,554.0,63.1495,63.781000000000006,64.4125,64.7809,64.1319,65.1493,66.307,67.5174,72.3589,75.4988,75.7444,75.1059,35.4013,44.2403,45.3054,45.2122
7/19/2007,62.097,63.15,61.045,63.15,1724.0,61.9262,63.5705,64.0968,64.8862,64.0617,64.9914,66.1176,67.3595,72.0431,75.3146,75.6859,75.0585,35.4013,44.2403,45.3054,45.2122
7/20/2007,62.097,63.15,61.045,63.15,2736.0,61.6176,63.36,63.781000000000006,64.7809,63.9915,64.8598,65.9071,67.1841,71.7274,75.1304,75.6333,75.0111,35.4013,44.2403,45.3054,45.2122
7/23/2007,62.097,62.097,61.045,61.045,1071.0,61.1846,62.9391,63.4653,64.5704,63.9214,64.6494,65.6966,66.9561,71.4221,74.9112,75.5865,74.9585,10.8328,35.9227,40.3213,43.2045
7/24/2007,62.097,63.15,61.045,61.045,2211.0,61.6709,62.3076,63.0443,64.4125,63.8512,64.4389,65.5282,66.72800000000001,71.2116,74.7007,75.5222,74.9112,10.8328,35.9227,40.3213,43.2045
7/25/2007,61.045,61.045,58.94,59.992,4607.0,59.8182,61.6761,62.7286,64.202,63.746,64.1494,65.3177,66.4824,70.9906,74.4902,75.4637,74.8796,6.0833,32.1032,37.9033,42.2017
7/26/2007,61.045,61.045,59.992,61.045,1458.0,60.5077,61.2551,62.4128,64.0968,63.6758,63.9915,65.1914,66.2544,70.8433,74.2797,75.4169,74.8427,43.3437,39.3571,41.6703,43.5569
7/27/2007,58.94,59.992,57.887,57.887,1972.0,58.6756,60.2026,61.7813,63.7284,63.5355,63.7547,64.8967,66.0088,70.6854,74.0516,75.3526,74.7954,15.5615,28.9269,34.8417,40.6024
7/30/2007,57.887,62.097,57.887,62.097,2042.0,60.2198,60.4131,61.6761,63.2022,63.5705,63.6758,64.7072,65.8159,70.5801,73.8674,75.3058,74.7428,62.9972,49.1435,47.2532,45.6842
7/31/2007,62.097,62.097,56.835,57.887,2257.0,60.1871,59.7816,61.0446,62.8864,63.4653,63.4653,64.5178,65.6054,70.3275,73.4727,75.2298,74.6849,34.188,37.2298,39.2099,41.9696
8/1/2007,59.992,67.36,59.992,62.097,9986.0,63.773,60.2026,60.9393,62.6759,63.5004,63.3337,64.3073,65.4124,70.1486,73.2272,75.183,74.6586,60.9648,50.6806,48.6271,46.472
8/2/2007,66.307,67.36,61.045,63.15,5748.0,64.8257,60.6236,60.9393,62.5181,63.5705,63.2811,64.181,65.2545,70.0223,72.9991,75.1421,74.6322,66.1322,53.4841,50.684,47.525
8/3/2007,63.15,65.255,63.15,64.202,3181.0,63.6125,61.8866,61.0446,62.4128,63.5355,63.2548,64.0968,65.0967,69.9171,72.7623,75.1012,74.6165,71.743,56.2799,52.7224,48.5715
8/6/2007,63.15,63.15,61.045,62.097,4359.0,62.1424,61.8866,61.1498,62.3076,63.4302,63.2285,63.9494,64.9388,69.7592,72.5167,75.0369,74.5744,47.9242,49.5756,48.4123,46.6468
8/7/2007,63.15,65.255,58.94,61.045,3720.0,61.1131,62.5181,61.1498,62.0971,63.325,63.1759,63.781000000000006,64.7985,69.5487,72.2361,74.9316,74.527,38.37,46.4622,46.3711,45.7099
8/8/2007,62.097,62.097,61.045,61.045,836.0,61.4333,62.3076,61.2551,61.9918,63.2197,63.1232,63.5705,64.6406,69.4119,71.9554,74.8381,74.4849,38.37,46.4622,46.3711,45.7099
8/9/2007,61.045,62.097,61.045,61.045,801.0,61.5752,61.8866,61.2551,61.8339,63.1495,63.0706,63.4442,64.5353,69.2751,71.7011,74.7504,74.4533,38.37,46.4622,46.3711,45.7099
8/10/2007,58.94,59.992,58.94,59.992,1249.0,59.6442,61.0446,61.4656,61.6234,62.9741,63.018,63.2969,64.3248,69.0751,71.4292,74.6743,74.4112,22.936999999999998,42.6488,44.0512,44.7156
8/13/2007,59.992,59.992,58.94,59.992,543.0,59.8817,60.6236,61.2551,61.4656,62.5531,62.9917,63.1916,64.1319,68.8856,71.1485,74.5983,74.3691,22.936999999999998,42.6488,44.0512,44.7156
8/14/2007,59.992,61.045,59.992,59.992,143.0,60.3406,60.4131,61.4656,61.2551,62.4128,62.9654,63.0653,64.0091,68.6436,70.8152,74.5223,74.327,22.936999999999998,42.6488,44.0512,44.7156
8/15/2007,59.992,59.992,58.94,59.992,3133.0,59.8548,60.2026,61.2551,61.0972,62.2023,62.9391,62.918,63.7986,68.391,70.4819,74.4288,74.2797,22.936999999999998,42.6488,44.0512,44.7156
8/16/2007,58.94,58.94,55.782,55.782,2708.0,57.9153,59.1501,60.5183,60.7288,61.8515,62.8075,62.7286,63.5705,68.1173,70.1574,74.3001,74.1902,2.5082,27.9502,34.7091,40.6638
8/17/2007,56.835,56.835,52.625,56.835,2432.0,55.1987,58.5186,59.7816,60.4131,61.5357,62.597,62.5602,63.3776,67.8647,69.8416,74.189,74.1113,26.9173,34.3169,38.2356,42.0224
