Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/20/2000,1.474,1.474,1.4469999999999998,1.4469999999999998,97044.0,1.4504,1.4736,1.4749,1.5084,1.5383,1.5325,1.5338,1.5394,1.5679,1.5955,1.6402,1.6247,21.4907,30.9012,34.269,40.6754
9/21/2000,1.4469999999999998,1.4469999999999998,1.4069999999999998,1.4469999999999998,279936.0,1.4371,1.4682,1.4695,1.5030000000000001,1.5329,1.5318,1.5312,1.5379,1.5663,1.5928,1.6394,1.6239,21.4907,30.9012,34.269,40.6754
9/22/2000,1.42,1.433,1.393,1.433,175427.0,1.4128,1.4548,1.4642,1.4969999999999999,1.5267,1.5305,1.5287,1.5349,1.5644,1.5899,1.6387,1.6236,13.8888,27.6429,32.0108,39.5896
9/25/2000,1.433,1.4469999999999998,1.42,1.4469999999999998,26127.0,1.4372,1.4494,1.4628,1.4916,1.5213,1.5291,1.5266,1.5323,1.5622,1.5869,1.6379,1.6236,43.7399,35.3158,36.516,41.213
9/26/2000,1.4469999999999998,1.4469999999999998,1.4069999999999998,1.4469999999999998,78382.0,1.4244,1.4441,1.4602,1.4863,1.5155,1.5275,1.525,1.5305,1.5601,1.5842,1.6374,1.6235,43.7399,35.3158,36.516,41.213
9/27/2000,1.4069999999999998,1.4469999999999998,1.4069999999999998,1.4469999999999998,33592.0,1.4349,1.4441,1.4588,1.4809,1.5102,1.5261,1.5234,1.5287,1.5582,1.5813,1.6366,1.624,43.7399,35.3158,36.516,41.213
9/28/2000,1.4469999999999998,1.4469999999999998,1.4069999999999998,1.433,52255.0,1.4257,1.4414,1.4548,1.4756,1.5035,1.5245,1.5215,1.5271,1.5562,1.5785,1.6355,1.6245,20.1569,30.6831,33.7249,40.0224
9/29/2000,1.42,1.4469999999999998,1.393,1.4469999999999998,246344.0,1.4116,1.4441,1.4494,1.4702,1.4981,1.5228,1.5199,1.5258,1.5545,1.5758,1.6346,1.6248,55.8572,39.5972,38.7654,41.7629
10/2/2000,1.4069999999999998,1.42,1.38,1.42,33592.0,1.4066,1.4387,1.4441,1.4635,1.4936,1.5204,1.5178,1.5238,1.5525,1.5727,1.633,1.6252,23.8564,30.711,33.3091,39.3974
10/3/2000,1.34,1.42,1.34,1.42,123172.0,1.3879,1.4334,1.4387,1.4595,1.4887,1.5174,1.5153,1.5207,1.5502,1.5698,1.6312,1.6255,23.8564,30.711,33.3091,39.3974
