Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,6.272,6.336,6.112,6.24,2750000.0,6.278,6.1568,6.0032,5.8624,5.7387,5.6664,5.6467,5.6,5.5603,5.5781,5.5884,5.4413,79.7057,76.7311,72.1569,68.2479
1/4/2000,6.24,6.304,6.208,6.24,2782813.0,6.2459,6.208,6.048,5.896,5.7653,5.6848,5.6621,5.6123,5.5686,5.5795,5.5972,5.4542,79.7057,76.7311,72.1569,68.2479
1/5/2000,6.112,6.208,6.016,6.208,2201563.0,6.1709,6.2336,6.0768,5.9232,5.7835,5.7032,5.6762,5.624,5.5744,5.5829,5.6052,5.4674,59.3084,72.2606,69.4812,67.1234
1/6/2000,6.208,6.4,6.208,6.304,5748438.0,6.307,6.2528,6.1216,5.9552,5.8091,5.7248,5.6909,5.6395,5.5779,5.5864,5.6133,5.4806,81.0876,76.8188,72.7462,68.7228
1/7/2000,6.208,6.4,6.208,6.304,5748438.0,6.307,6.2528,6.1216,5.9552,5.8091,5.7248,5.6909,5.6395,5.5779,5.5864,5.6133,5.4806,81.0876,76.8188,72.7462,68.7228
1/10/2000,6.208,6.4,6.208,6.304,5748438.0,6.307,6.2528,6.1216,5.9552,5.8091,5.7248,5.6909,5.6395,5.5779,5.5864,5.6133,5.4806,81.0876,76.8188,72.7462,68.7228
1/11/2000,6.368,6.784,6.368,6.656,12820313.0,6.6241,6.3296,6.208,6.0,5.8475,5.7528,5.7126,5.6608,5.5859,5.5933,5.622,5.4955,95.2045,86.1838,80.8402,73.5954
1/12/2000,6.656,7.04,6.656,7.04,10446875.0,6.8865,6.4896,6.3232,6.0656,5.8976,5.792,5.7402,5.6896,5.5978,5.6037,5.6329,5.5128,97.8412,90.7633,85.796,77.5434
1/13/2000,7.04,7.552,6.976,7.424,14021875.0,7.26,6.7264,6.4672,6.1456,5.9616,5.8424,5.7728,5.7237,5.6131,5.6173,5.6468,5.532,98.817,93.2721,88.8906,80.5517
1/14/2000,7.424,7.936,7.36,7.744,15409375.0,7.6581,7.0336,6.6336,6.2432,6.0405,5.9,5.8157,5.7669,5.632,5.6336,5.6617,5.5507,99.2441,94.6376,90.7075,82.5651
1/17/2000,7.744,8.384,7.744,7.744,10160938.0,8.2391,7.3216,6.7872,6.344,6.1173,5.9584,5.8605,5.8107,5.6509,5.6512,5.6761,5.5693,99.2441,94.6376,90.7075,82.5651
1/18/2000,7.68,7.936,7.552,7.616,4025000.0,7.72,7.5136,6.9216,6.44,6.1899,6.0136,5.9027,5.8469,5.6685,5.668,5.6894,5.5875,74.9061,85.8199,84.3109,79.0614
1/19/2000,7.616,7.808,7.232,7.488,2481250.0,7.5265,7.6032,7.0464,6.5248,6.2571,6.0656,5.9424,5.88,5.6858,5.6824,5.7006,5.6042,54.762,77.6777,78.3599,75.7367
1/20/2000,7.488,7.936,7.488,7.744,3784375.0,7.7869,7.6672,7.1968,6.6224,6.3296,6.1232,5.9872,5.9179,5.7072,5.7,5.7125,5.6222,74.962,81.6045,81.2156,77.6788
1/21/2000,7.744,7.872,7.68,7.744,3165625.0,7.77,7.6672,7.3504,6.7136,6.3989,6.1752,6.0326,5.9552,5.7286,5.7176,5.7237,5.64,74.962,81.6045,81.2156,77.6788
1/24/2000,7.744,7.808,7.552,7.552,1450000.0,7.6932,7.6288,7.4752,6.7984,6.4619,6.2256,6.0749,5.9883,5.7482,5.7339,5.7358,5.656,42.7495,69.9278,72.8532,72.9898
1/25/2000,7.552,7.744,7.424,7.616,2576563.0,7.6147,7.6288,7.5712,6.8896,6.5237,6.2784,6.1165,6.0224,5.7686,5.7517,5.7472,5.6722,52.8748,71.4592,73.8208,73.5405
1/26/2000,7.68,7.808,7.616,7.616,1042188.0,7.7043,7.6544,7.6288,6.976,6.5867,6.3304,6.1594,6.0549,5.7898,5.7677,5.7575,5.6875,52.8748,71.4592,73.8208,73.5405
1/27/2000,7.616,7.68,7.424,7.616,839063.0,7.6274,7.6288,7.648,7.0576,6.6464,6.3832,6.2035,6.0853,5.8115,5.7851,5.7689,5.7032,52.8748,71.4592,73.8208,73.5405
1/28/2000,7.68,7.744,7.616,7.616,2834375.0,7.6699,7.6032,7.6352,7.1344,6.7072,6.4392,6.247,6.1189,5.8326,5.8021,5.7803,5.7189,52.8748,71.4592,73.8208,73.5405
1/31/2000,7.552,7.68,7.36,7.424,3079688.0,7.5171,7.5776,7.6032,7.1952,6.7637,6.4888,6.2874,6.1509,5.8493,5.8181,5.7892,5.7331,14.3446,57.4098,64.5382,68.7259
2/1/2000,7.552,7.68,7.36,7.424,3079688.0,7.5171,7.5776,7.6032,7.1952,6.7637,6.4888,6.2874,6.1509,5.8493,5.8181,5.7892,5.7331,14.3446,57.4098,64.5382,68.7259
2/2/2000,7.424,7.68,7.36,7.36,3912500.0,7.6229,7.5264,7.5776,7.2496,6.8192,6.5368,6.3264,6.1819,5.8653,5.8347,5.7979,5.7467,10.5138,53.4678,61.7508,67.2086
2/3/2000,7.616,7.616,7.488,7.616,2409375.0,7.5677,7.5264,7.5904,7.3184,6.88,6.5904,6.3706,6.2171,5.8842,5.8533,5.8082,5.7614,65.6128,64.4519,67.7507,69.9535
2/4/2000,7.616,7.616,7.488,7.616,2409375.0,7.5677,7.5264,7.5904,7.3184,6.88,6.5904,6.3706,6.2171,5.8842,5.8533,5.8082,5.7614,65.6128,64.4519,67.7507,69.9535
2/7/2000,7.616,7.616,7.488,7.616,2409375.0,7.5677,7.5264,7.5904,7.3184,6.88,6.5904,6.3706,6.2171,5.8842,5.8533,5.8082,5.7614,65.6128,64.4519,67.7507,69.9535
2/8/2000,7.68,8.256,7.68,7.808,7718750.0,7.9336,7.5648,7.5968,7.3968,6.9472,6.6464,6.4179,6.2555,5.9056,5.8733,5.8199,5.7771,79.6849,70.3561,71.3772,71.7859
2/9/2000,7.808,8.0,7.808,7.872,3284375.0,7.9448,7.616,7.6096,7.48,7.0123,6.7016,6.4621,6.2955,5.9293,5.892,5.8322,5.7926,83.1356,72.0942,72.4878,72.367
2/10/2000,7.872,8.0,7.808,8.0,4129688.0,7.9335,7.7312,7.6544,7.5648,7.0837,6.76,6.5114,6.3381,5.9542,5.9091,5.8453,5.8085,88.8284,75.3465,74.6096,73.4963
2/11/2000,8.0,8.064,7.936,8.0,7481250.0,8.0093,7.8592,7.6928,7.632,7.1573,6.816,6.5613,6.3792,5.9789,5.9269,5.8588,5.823,88.8284,75.3465,74.6096,73.4963
2/14/2000,8.0,8.0,7.872,7.936,1987500.0,7.9434,7.9232,7.7248,7.6768,7.2256,6.8712,6.6093,6.4203,6.0045,5.9443,5.8722,5.8373,64.3798,70.1712,71.4157,71.9234
2/15/2000,7.936,8.0,7.808,7.936,3234375.0,7.8765,7.9488,7.7568,7.7024,7.2907,6.924,6.6579,6.4624,6.031,5.9613,5.8853,5.8523,64.3798,70.1712,71.4157,71.9234
2/16/2000,8.0,8.064,7.872,8.0,6992188.0,7.9587,7.9744,7.7952,7.7152,7.3547,6.9792,6.7104,6.5051,6.0579,5.9792,5.8985,5.867,78.0024,72.5569,72.7677,72.5521
2/17/2000,8.0,8.32,7.936,8.128,10385938.0,8.2194,8.0,7.8656,7.7344,7.4187,7.0392,6.7642,6.5504,6.0848,5.9981,5.9129,5.8819,89.7558,76.7422,75.2855,73.7673
2/18/2000,8.256,8.256,7.808,7.936,6079688.0,7.9192,7.9872,7.9232,7.7504,7.4741,7.0952,6.8141,6.5925,6.1078,6.0155,5.9266,5.8955,40.7576,61.0345,65.5025,69.0253
2/21/2000,7.872,7.936,7.808,7.872,2298438.0,7.8913,7.9744,7.9488,7.7696,7.5285,7.1472,6.8621,6.6336,6.1312,6.0331,5.9392,5.9075,32.0182,56.6837,62.5831,67.5284
2/22/2000,7.872,8.0,7.872,8.0,1760938.0,7.932,7.9872,7.968,7.7824,7.5872,7.2024,6.9107,6.6763,6.1581,6.0531,5.9524,5.9195,58.6303,62.6709,65.8603,68.9228
2/23/2000,8.0,8.064,7.872,8.0,2762500.0,8.0081,7.9872,7.9808,7.7952,7.6469,7.2544,6.9574,6.7152,6.1856,6.0731,5.9655,5.9309,58.6303,62.6709,65.8603,68.9228
2/24/2000,8.064,8.064,7.872,7.936,2178125.0,7.9904,7.9488,7.9744,7.8144,7.7013,7.3064,7.0029,6.7552,6.2131,6.0925,5.9787,5.9437,40.7044,57.6301,62.677,67.3747
2/25/2000,8.0,8.384,8.0,8.256,11546875.0,8.2837,8.0128,8.0,7.8464,7.7547,7.368,7.0528,6.8011,6.2454,6.1149,5.9941,5.9571,81.9939,70.8283,70.3847,70.7705
2/28/2000,8.192,8.256,8.0,8.064,2728125.0,8.1504,8.0512,8.0128,7.8688,7.7888,7.4224,7.0995,6.8432,6.2749,6.1363,6.008,5.9686,50.4051,58.5231,62.0983,66.4759
2/29/2000,8.064,8.064,7.936,8.064,4779688.0,8.0129,8.064,8.0256,7.8912,7.8101,7.4744,7.1443,6.8859,6.3056,6.1581,6.021,5.9811,50.4051,58.5231,62.0983,66.4759
3/1/2000,8.064,8.128,8.0,8.0,2445313.0,8.0624,8.064,8.0256,7.9104,7.8187,7.5224,7.1885,6.9296,6.336,6.1789,6.0338,5.9933,39.1057,54.5267,59.3951,65.0674
3/2/2000,7.936,7.936,7.68,7.808,5732813.0,7.7775,8.0384,7.9936,7.9296,7.8208,7.5624,7.2301,6.9691,6.3645,6.196,6.0453,6.0032,19.4675,44.3136,52.0716,61.0528
3/3/2000,7.744,7.744,7.488,7.68,6867188.0,7.6404,7.9232,7.968,7.9456,7.8229,7.5976,7.2698,7.0064,6.3891,6.212,6.0558,6.0126,12.9595,38.8553,47.837,58.561
3/6/2000,7.808,7.872,7.616,7.68,2278125.0,7.6741,7.8464,7.9488,7.9488,7.8293,7.6336,7.3075,7.0432,6.4134,6.2283,6.0665,6.0222,12.9595,38.8553,47.837,58.561
3/7/2000,7.616,7.68,7.488,7.616,2778125.0,7.5956,7.7568,7.9104,7.9392,7.8251,7.668,7.344,7.0773,6.4346,6.2445,6.0768,6.0318,9.4176,36.0456,45.6826,57.3094
3/8/2000,7.488,7.68,7.424,7.68,4459375.0,7.5795,7.6928,7.8784,7.9296,7.8229,7.7048,7.3792,7.1109,6.4563,6.2627,6.0876,6.0419,35.7551,40.8569,48.1951,58.2329
3/9/2000,7.68,7.744,7.616,7.616,1551563.0,7.6764,7.6544,7.8464,7.9104,7.8251,7.7376,7.4144,7.1435,6.4787,6.2803,6.098,6.0518,24.8967,37.6688,45.9083,56.9583
3/10/2000,7.68,7.936,7.68,7.936,1703125.0,7.7785,7.7056,7.8144,7.9072,7.8357,7.7696,7.4573,7.1797,6.5043,6.3003,6.1104,6.0637,77.0863,56.6818,56.9162,61.3355
3/13/2000,7.936,7.936,7.68,7.808,3420313.0,7.8064,7.7312,7.7888,7.9008,7.8421,7.7888,7.4957,7.2144,6.5293,6.3205,6.1218,6.075,54.4033,49.8405,52.3288,58.8587
3/14/2000,7.872,7.936,7.68,7.936,306250.0,7.8188,7.7952,7.776,7.9008,7.8528,7.8016,7.5347,7.2496,6.5549,6.3427,6.1339,6.0869,68.366,55.8371,56.1361,60.5084
3/15/2000,7.808,7.808,7.68,7.744,973438.0,7.742,7.808,7.7504,7.888,7.8571,7.8016,7.568,7.2821,6.5808,6.3629,6.1447,6.0974,40.4772,46.4635,49.7214,56.9639
3/16/2000,7.808,7.808,7.68,7.744,973438.0,7.742,7.808,7.7504,7.888,7.8571,7.8016,7.568,7.2821,6.5808,6.3629,6.1447,6.0974,40.4772,46.4635,49.7214,56.9639
3/17/2000,7.936,8.0,7.808,7.936,2885938.0,7.9048,7.872,7.7632,7.8784,7.8741,7.8064,7.6026,7.3189,6.609,6.3837,6.1568,6.1094,63.0729,54.9681,55.2307,59.4228
3/20/2000,7.936,8.0,7.68,7.808,2137500.0,7.8168,7.8464,7.776,7.872,7.8891,7.8112,7.6333,7.3541,6.6326,6.4019,6.1675,6.1211,45.7178,49.1163,51.2026,57.1701
3/21/2000,7.808,8.192,7.808,8.128,4782813.0,8.0462,7.9104,7.8208,7.8848,7.9061,7.8272,7.671,7.3931,6.6589,6.4235,6.1803,6.1338,73.2843,60.8411,59.2117,60.9943
3/22/2000,8.256,8.256,8.064,8.128,3860938.0,8.1715,7.9488,7.872,7.8912,7.9168,7.8368,7.7088,7.432,6.6854,6.4469,6.1943,6.1462,73.2843,60.8411,59.2117,60.9943
3/23/2000,8.192,8.32,8.128,8.32,5293750.0,8.244,8.064,7.936,7.9072,7.9317,7.8512,7.751,7.472,6.7136,6.4725,6.2085,6.1597,84.1505,66.6726,63.3927,63.1093
3/24/2000,8.32,8.32,8.192,8.256,1700000.0,8.283,8.128,8.0,7.9232,7.9403,7.8688,7.7901,7.512,6.7405,6.4981,6.2217,6.1731,69.9292,63.1462,61.1428,61.951
3/27/2000,8.256,8.32,8.192,8.32,2842188.0,8.2872,8.2304,8.0384,7.9264,7.9509,7.8864,7.8234,7.5541,6.768,6.5256,6.235,6.1874,76.0105,65.216,62.5733,62.66
3/28/2000,8.256,8.32,8.064,8.064,2145313.0,8.2106,8.2176,8.064,7.9264,7.9552,7.8976,7.8438,7.5904,6.792,6.5501,6.2464,6.1998,34.3412,52.0593,54.0086,58.1745
3/29/2000,8.128,8.256,8.064,8.128,2298438.0,8.1165,8.2176,8.0832,7.9296,7.9616,7.9104,7.8579,7.6261,6.8154,6.5763,6.258,6.2118,45.5374,54.6334,55.6432,58.9347
3/30/2000,8.192,8.256,8.064,8.128,3296875.0,8.125,8.1792,8.1216,7.936,7.9659,7.9232,7.8656,7.6603,6.8406,6.6027,6.2693,6.224,45.5374,54.6334,55.6432,58.9347
3/31/2000,8.064,8.192,8.064,8.192,3745313.0,8.1158,8.1664,8.1472,7.9552,7.968,7.9424,7.8746,7.6933,6.8675,6.6296,6.2811,6.2363,60.6391,57.5201,57.3992,59.7183
4/3/2000,8.192,8.256,8.128,8.256,1907813.0,8.2012,8.1536,8.192,7.984,7.9787,7.9648,7.8874,7.7264,6.895,6.6549,6.2932,6.2486,72.2014,60.3579,59.1411,60.498
