Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/12/2007,5.791,5.834,5.791,5.813,2211017.0,5.8116,5.7093,5.6576,5.396,5.2048,5.0392,4.852,4.6906,3.9969,3.7766,3.3012,3.1448,82.863,78.2199,78.0569,77.2208
1/15/2007,5.813,5.856,5.813,5.834,2150027.0,5.8327,5.7609,5.6942,5.4412,5.2407,5.0763,4.8886,4.7276,4.0283,3.8033,3.3233,3.1691,85.4203,79.0007,78.5547,77.4701
1/16/2007,5.877000000000001,5.877000000000001,5.834,5.856,2886135.0,5.8679,5.7997,5.72,5.4875,5.2801,5.114,4.9239,4.7635,4.0596,3.8302,3.3455,3.1921,88.0869,79.8148,79.0661,77.7224
1/17/2007,5.899,5.942,5.877000000000001,5.92,1779813.0,5.9004,5.8427,5.7459,5.5327,5.3203,5.1528,4.9596,4.7983,4.0914,3.8578,3.3680000000000003,3.2153,93.4652,82.1503,80.5636,78.4704
1/18/2007,5.962999999999999,5.985,5.92,5.985,1856318.0,5.9407,5.8815,5.7846,5.5758,5.3626,5.1915,4.9988,4.8334,4.1239,3.886,3.3908,3.2384,96.1038,84.2061,81.9539,79.1932
1/19/2007,6.006,6.028,5.92,5.92,2003056.0,5.9652,5.903,5.8061,5.6178,5.4043,5.2286,5.0367,4.8686,4.156000000000001,3.9136,3.4126,3.2601,59.8534,74.547,76.0924,76.5352
1/22/2007,5.962999999999999,5.962999999999999,5.877000000000001,5.962999999999999,2857753.0,5.9117,5.9288,5.8449,5.6587,5.438,5.2636,5.075,4.9055,4.1887,3.9416,3.4339999999999997,3.281,70.8491,76.5633,77.2601,77.0661
1/23/2007,5.962999999999999,5.985,5.899,5.899,1233969.0,5.9508,5.9375,5.8686,5.6931,5.4717,5.2927,5.1108,4.9385,4.2208,3.9691,3.4549,3.3018,43.8355,67.5353,71.6103,74.4525
1/24/2007,5.92,6.071000000000001,5.92,6.071000000000001,2770240.0,5.9526,5.9676,5.9052,5.7319,5.5089999999999995,5.3282,5.1482,4.9726,4.2544,3.9979,3.4767,3.323,77.7578,76.0186,76.5376,76.6381
1/25/2007,6.0920000000000005,6.114,6.006,6.028,1576637.0,6.0542,5.9762,5.9288,5.7695,5.5449,5.36,5.1848,5.0031,4.2871,4.0263,3.4979,3.3438,63.3985,70.8143,73.1208,74.9791
1/26/2007,6.006,6.0920000000000005,5.985,6.0920000000000005,2540726.0,6.0091,6.0106,5.9568,5.8072,5.582999999999999,5.3928,5.2227,5.0361,4.3207,4.055,3.5194,3.3644,74.1424,73.8369,74.9288,75.7923
1/29/2007,6.071000000000001,6.178999999999999,6.071000000000001,6.136,1460045.0,6.1026,6.0451,5.987,5.8406,5.6231,5.4272,5.2585,5.0717,4.3551,4.0839,3.5414,3.3852,80.0101,75.7226,76.0837,76.3229
1/30/2007,6.157,6.178999999999999,6.136,6.136,1649890.0,6.1564,6.0925,6.015,5.8675,5.6633,5.4638,5.2942,5.1057,4.3896,4.1126,3.5634,3.4059,80.0101,75.7226,76.0837,76.3229
1/31/2007,6.157,6.157,6.114,6.136,1674463.0,6.1554,6.1054,6.0365,5.8912,5.7006,5.4994,5.3295,5.1391,4.4239999999999995,4.1411,3.5859,3.4263,80.0101,75.7226,76.0837,76.3229
2/1/2007,6.157,6.157,6.114,6.136,1674463.0,6.1554,6.1054,6.0365,5.8912,5.7006,5.4994,5.3295,5.1391,4.4239999999999995,4.1411,3.5859,3.4263,80.0101,75.7226,76.0837,76.3229
