Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.267,2.311,2.267,2.289,69750.0,2.2817,2.24,2.2338,2.226,2.22,2.2092,2.1928,2.1805,2.1755,2.2118,2.2766,2.2451,89.511,68.0766,64.8254,63.4992
1/4/2000,2.311,2.333,2.267,2.267,123750.0,2.2865,2.2489,2.2382,2.2287,2.2224,2.2121,2.1955,2.1844,2.1764,2.21,2.2776,2.2466,61.3867,59.6909,58.9084,60.1779
1/5/2000,2.267,2.267,2.244,2.267,144000.0,2.2545,2.2578,2.2444,2.2318,2.2244,2.215,2.1988,2.1882,2.1782,2.2081,2.2784,2.2482,61.3867,59.6909,58.9084,60.1779
1/6/2000,2.289,2.289,2.267,2.289,47250.0,2.2772,2.2711,2.2511,2.236,2.2273,2.2182,2.202,2.192,2.1803,2.2064,2.2792,2.2499,77.3788,65.1275,62.8419,62.2887
1/7/2000,2.289,2.289,2.267,2.289,47250.0,2.2772,2.2711,2.2511,2.236,2.2273,2.2182,2.202,2.192,2.1803,2.2064,2.2792,2.2499,77.3788,65.1275,62.8419,62.2887
1/10/2000,2.289,2.289,2.267,2.289,47250.0,2.2772,2.2711,2.2511,2.236,2.2273,2.2182,2.202,2.192,2.1803,2.2064,2.2792,2.2499,77.3788,65.1275,62.8419,62.2887
1/11/2000,2.289,2.311,2.267,2.267,96750.0,2.2796,2.2756,2.2511,2.2391,2.2287,2.2209,2.2046,2.1945,2.183,2.2046,2.2796,2.2516,47.7282,56.5474,56.969,59.0507
1/12/2000,2.289,2.422,2.289,2.4,198000.0,2.377,2.2978,2.2689,2.2484,2.235,2.2264,2.21,2.1984,2.1865,2.2042,2.2806,2.2542,88.2501,77.0003,73.1704,69.0403
1/13/2000,2.4,2.4,2.311,2.333,150750.0,2.3695,2.3111,2.28,2.2549,2.2393,2.2301,2.2143,2.2017,2.1895,2.2027,2.2814,2.2566,55.8046,60.8811,60.8368,61.3048
1/14/2000,2.333,2.378,2.311,2.378,119250.0,2.3543,2.3333,2.2956,2.2616,2.245,2.2347,2.2196,2.205,2.1924,2.2014,2.2823,2.2592,67.6853,66.1895,65.0646,64.0803
1/17/2000,2.422,2.444,2.378,2.378,263250.0,2.4171,2.3511,2.3111,2.2682,2.2502,2.2392,2.2246,2.2085,2.1945,2.2001,2.2831,2.2619,67.6853,66.1895,65.0646,64.0803
1/18/2000,2.378,2.444,2.378,2.422,96750.0,2.4279,2.3822,2.3289,2.2791,2.2575,2.2449,2.2304,2.213,2.197,2.1992,2.2833,2.2648,79.8643,71.1451,68.9518,66.641
1/19/2000,2.422,2.444,2.356,2.356,74250.0,2.3966,2.3733,2.3356,2.2847,2.2625,2.2489,2.2345,2.2166,2.1989,2.1989,2.2832,2.2672,43.2167,57.0375,58.4465,60.0034
1/20/2000,2.356,2.4,2.333,2.4,74250.0,2.3582,2.3867,2.3489,2.2936,2.2687,2.254,2.2395,2.221,2.2011,2.1985,2.2836,2.2699,61.0773,62.5997,62.5436,62.5742
1/21/2000,2.444,2.444,2.4,2.4,110250.0,2.4268,2.3911,2.3622,2.3033,2.2753,2.2589,2.2444,2.2261,2.2032,2.1981,2.2837,2.2721,61.0773,62.5997,62.5436,62.5742
1/24/2000,2.422,2.444,2.4,2.4,31500.0,2.4063,2.3956,2.3733,2.3122,2.2818,2.2638,2.2492,2.2305,2.2052,2.1977,2.2838,2.2741,61.0773,62.5997,62.5436,62.5742
1/25/2000,2.356,2.356,2.333,2.333,69750.0,2.3427,2.3778,2.38,2.3156,2.2861,2.2666,2.2527,2.2339,2.2065,2.1985,2.2837,2.2758,23.5605,49.0399,52.7918,56.5394
1/26/2000,2.422,2.756,2.422,2.467,861750.0,2.6316,2.4,2.3867,2.3278,2.2945,2.2729,2.2585,2.2394,2.2089,2.2001,2.2843,2.2774,73.1107,65.7382,64.66,63.7688
1/27/2000,2.533,2.644,2.489,2.578,164250.0,2.5647,2.4356,2.4111,2.3456,2.307,2.2822,2.2663,2.2471,2.2128,2.2027,2.2852,2.28,85.1464,73.7899,71.1655,68.3128
1/28/2000,2.533,2.556,2.489,2.489,128250.0,2.5127,2.4533,2.4222,2.3589,2.3151,2.2893,2.2722,2.2533,2.216,2.2048,2.2853,2.2821,55.3934,60.9077,61.424,61.8892
1/31/2000,2.489,2.556,2.489,2.511,99000.0,2.5217,2.4756,2.4356,2.3733,2.324,2.2966,2.2785,2.2598,2.2192,2.2068,2.2859,2.2844,60.5614,62.7373,62.7951,62.794
2/1/2000,2.489,2.556,2.489,2.511,99000.0,2.5217,2.4756,2.4356,2.3733,2.324,2.2966,2.2785,2.2598,2.2192,2.2068,2.2859,2.2844,60.5614,62.7373,62.7951,62.794
2/2/2000,2.556,2.622,2.533,2.578,99000.0,2.5753,2.5244,2.4511,2.39,2.3364,2.3059,2.2861,2.2672,2.2232,2.2102,2.2869,2.287,74.0766,67.8203,66.6274,65.3472
2/3/2000,2.533,2.556,2.489,2.556,67500.0,2.5341,2.5422,2.4711,2.4033,2.3468,2.3147,2.2933,2.2739,2.2263,2.2134,2.2878,2.2892,63.2406,64.5199,64.2516,63.8366
2/4/2000,2.533,2.556,2.489,2.556,67500.0,2.5341,2.5422,2.4711,2.4033,2.3468,2.3147,2.2933,2.2739,2.2263,2.2134,2.2878,2.2892,63.2406,64.5199,64.2516,63.8366
2/7/2000,2.533,2.556,2.489,2.556,67500.0,2.5341,2.5422,2.4711,2.4033,2.3468,2.3147,2.2933,2.2739,2.2263,2.2134,2.2878,2.2892,63.2406,64.5199,64.2516,63.8366
2/8/2000,2.578,2.622,2.533,2.578,200250.0,2.577,2.5422,2.4889,2.4189,2.3587,2.3238,2.301,2.281,2.2301,2.2169,2.2887,2.2917,69.8551,66.3615,65.5736,64.6812
2/9/2000,2.622,2.667,2.578,2.6,180000.0,2.6169,2.5644,2.5089,2.4356,2.3719,2.3337,2.3089,2.2885,2.2335,2.2211,2.2899,2.2942,76.2621,68.2174,66.8922,65.5144
2/10/2000,2.578,2.689,2.556,2.644,261000.0,2.646,2.5911,2.5333,2.4533,2.3859,2.3447,2.3177,2.2966,2.2372,2.2258,2.291,2.2966,85.5047,71.7272,69.4152,67.1192
2/11/2000,2.711,2.711,2.667,2.711,454500.0,2.6958,2.6178,2.5711,2.4756,2.4007,2.3573,2.3275,2.3058,2.2417,2.2317,2.2924,2.2992,92.2735,76.1682,72.7676,69.3337
2/14/2000,2.711,2.867,2.689,2.844,407250.0,2.7797,2.6756,2.6089,2.4978,2.4215,2.3731,2.3401,2.3169,2.2475,2.2384,2.2943,2.3024,96.7818,82.3915,77.9687,73.0842
2/15/2000,2.889,2.956,2.689,2.756,326250.0,2.8438,2.7111,2.6267,2.5189,2.4393,2.3869,2.3511,2.3264,2.2528,2.2444,2.2955,2.3052,61.1193,68.8978,68.5667,67.3994
2/16/2000,2.711,2.778,2.711,2.756,119250.0,2.7468,2.7422,2.6533,2.5378,2.457,2.3997,2.3621,2.3357,2.2585,2.25,2.2968,2.3079,61.1193,68.8978,68.5667,67.3994
2/17/2000,2.756,2.822,2.756,2.778,137250.0,2.8025,2.7689,2.68,2.5578,2.4756,2.413,2.3732,2.3454,2.264,2.255,2.298,2.3105,67.7946,70.4301,69.6286,68.064
2/18/2000,2.822,2.822,2.733,2.756,168750.0,2.7668,2.7778,2.6978,2.5744,2.4926,2.4268,2.3843,2.3547,2.2694,2.2599,2.3,2.3124,53.911,66.7315,67.1844,66.6582
2/21/2000,2.733,2.733,2.689,2.711,146250.0,2.7186,2.7511,2.7133,2.5922,2.5067,2.4384,2.3944,2.3633,2.2746,2.2644,2.3017,2.3141,33.3944,59.6799,62.4618,63.9266
2/22/2000,2.711,2.756,2.622,2.667,198000.0,2.699,2.7333,2.7222,2.6056,2.52,2.4496,2.4035,2.3712,2.2795,2.2685,2.3027,2.3158,21.2589,53.339,58.0662,61.3267
2/23/2000,2.711,2.711,2.622,2.644,216000.0,2.6641,2.7111,2.7267,2.6178,2.5326,2.4606,2.4123,2.3785,2.2842,2.2723,2.3033,2.3171,16.7057,50.3309,55.9462,60.0633
2/24/2000,2.667,2.711,2.644,2.711,182250.0,2.6823,2.6978,2.7333,2.6333,2.5467,2.4728,2.4224,2.387,2.2895,2.2766,2.3047,2.3188,57.585,58.2729,60.5943,62.4633
2/25/2000,2.689,2.689,2.644,2.689,132750.0,2.6802,2.6844,2.7311,2.6511,2.5607,2.4833,2.4321,2.3947,2.2946,2.2806,2.3066,2.3204,46.2385,54.9764,58.383,61.1952
2/28/2000,2.689,2.689,2.578,2.6,191250.0,2.6238,2.6622,2.7067,2.6578,2.5674,2.4928,2.4398,2.4012,2.2988,2.2837,2.3076,2.3216,21.1886,43.8211,50.452,56.4527
