Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
3/30/2012,1.42,1.42,1.39,1.4,2770800.0,1.4049,1.444,1.4580000000000002,1.474,1.4767,1.4773,1.486,1.4708,1.4567,1.455,1.5583,1.6413,7.909,24.3638,32.8009,43.2944
4/2/2012,1.41,1.5,1.4,1.5,2108900.0,1.4718,1.4480000000000002,1.46,1.4735,1.4783,1.4775,1.4844,1.473,1.4559,1.4576,1.5544,1.6358,73.903,58.8242,55.5514,52.3382
4/3/2012,1.49,1.51,1.49,1.5,2013100.0,1.4996,1.454,1.463,1.474,1.4807,1.4775,1.484,1.4745,1.455,1.46,1.5512,1.6303,73.903,58.8242,55.5514,52.3382
4/4/2012,1.5,1.5,1.45,1.46,1488800.0,1.4875,1.456,1.4609999999999999,1.472,1.4813,1.4768,1.4834,1.4758,1.454,1.4611,1.547,1.625,44.927,47.7992,48.011,48.9934
4/5/2012,1.46,1.47,1.44,1.47,1171800.0,1.4522,1.466,1.4609999999999999,1.47,1.48,1.476,1.4828,1.4775,1.4528,1.4626,1.5428,1.6197,51.9865,50.4131,49.8439,49.8227
4/6/2012,1.47,1.51,1.47,1.5,777600.0,1.4909,1.486,1.465,1.47,1.48,1.4758,1.4824,1.4797,1.4522,1.4648,1.5390000000000001,1.615,69.5505,57.5816,54.9728,52.233000000000004
4/9/2012,1.5,1.5,1.48,1.48,812100.0,1.4875,1.482,1.465,1.47,1.479,1.4755,1.4809999999999999,1.4815,1.4513,1.4669999999999999,1.5353,1.6098,50.9224,51.9491,51.2129,50.5581
4/10/2012,1.48,1.51,1.48,1.5,1339200.0,1.4986,1.482,1.4680000000000002,1.4709999999999999,1.4793,1.4763,1.48,1.4832,1.4509999999999998,1.4691,1.5316,1.6048,64.9884,56.7127,54.5599,52.1455
4/11/2012,1.48,1.51,1.48,1.5,1339200.0,1.4986,1.482,1.4680000000000002,1.4709999999999999,1.4793,1.4763,1.48,1.4832,1.4509999999999998,1.4691,1.5316,1.6048,64.9884,56.7127,54.5599,52.1455
4/12/2012,1.5,1.52,1.5,1.51,376900.0,1.507,1.492,1.474,1.473,1.4793,1.4773,1.4798,1.4842,1.4507,1.4709999999999999,1.5281,1.6,71.1829,58.9991,56.1786,52.9272
4/13/2012,1.51,1.52,1.51,1.51,805800.0,1.5109,1.5,1.483,1.4745,1.48,1.4793,1.4798,1.4857,1.45,1.4711,1.5247,1.5953,71.1829,58.9991,56.1786,52.9272
4/16/2012,1.51,1.52,1.51,1.51,518000.0,1.5108,1.5019999999999998,1.494,1.476,1.4807,1.4809999999999999,1.4806,1.4873,1.4491,1.4713,1.5216,1.5909,71.1829,58.9991,56.1786,52.9272
4/17/2012,1.52,1.56,1.52,1.56,3362800.0,1.5458,1.518,1.5,1.48,1.4823,1.4838,1.482,1.4869999999999999,1.4487,1.4718,1.5186,1.5871,92.7697,70.2033,64.1533,56.8306
4/18/2012,1.56,1.56,1.53,1.54,2048600.0,1.5426,1.526,1.504,1.4835,1.484,1.4865,1.4828,1.4873,1.4485,1.4728,1.5155,1.5834,64.003,62.5157,59.4898,54.9453
4/19/2012,1.54,1.57,1.54,1.56,2428200.0,1.558,1.536,1.514,1.4875,1.486,1.4895,1.4842,1.4885,1.449,1.4733,1.5121,1.5798,75.4309,66.627,62.4309,56.4402
4/20/2012,1.57,1.57,1.55,1.56,1110000.0,1.5549,1.546,1.5230000000000001,1.492,1.4877,1.4908,1.4854,1.4895,1.4503,1.4721,1.5082,1.5759999999999998,75.4309,66.627,62.4309,56.4402
4/23/2012,1.57,1.57,1.53,1.55,1732200.0,1.5493,1.554,1.528,1.4965,1.4893,1.492,1.4862,1.49,1.4516,1.4718,1.5046,1.5723,55.5803,62.3027,59.9087,55.4557
4/24/2012,1.54,1.57,1.54,1.56,1260300.0,1.5587,1.554,1.536,1.5005,1.492,1.4933,1.4876,1.4902,1.4534,1.4713,1.5012,1.5689,68.1521,64.8679,61.5803,56.2453
4/25/2012,1.57,1.57,1.56,1.57,1323200.0,1.5626,1.56,1.5430000000000001,1.5055,1.495,1.4953,1.4896,1.4905,1.4549,1.4708,1.4977,1.5655,77.6433,67.3662,63.2312,57.0331
4/26/2012,1.56,1.56,1.55,1.56,1193700.0,1.5598,1.56,1.548,1.511,1.4980000000000002,1.4965,1.4914,1.4912,1.4565,1.4698,1.4942,1.5619,53.6572,62.3762,60.4345,55.9902
4/27/2012,1.56,1.57,1.55,1.57,1424500.0,1.5597,1.5619999999999998,1.554,1.5185,1.501,1.4985,1.4942,1.4922,1.4580000000000002,1.4693,1.4909,1.5585,68.3319,65.2703,62.2334,56.8073
4/30/2012,1.56,1.57,1.54,1.54,748000.0,1.5543,1.56,1.557,1.5255,1.5030000000000001,1.4998,1.4962,1.4933,1.4589,1.4682,1.4874,1.555,28.1787,51.8178,54.2627,53.7124
5/1/2012,1.56,1.57,1.54,1.54,748000.0,1.5543,1.56,1.557,1.5255,1.5030000000000001,1.4998,1.4962,1.4933,1.4589,1.4682,1.4874,1.555,28.1787,51.8178,54.2627,53.7124
5/2/2012,1.54,1.54,1.53,1.53,247400.0,1.5318,1.554,1.554,1.527,1.5047,1.5003,1.4978,1.494,1.4597,1.4678,1.4841,1.5517,21.7796,48.1002,51.8775,52.7219
5/3/2012,1.53,1.54,1.52,1.54,439300.0,1.5308,1.548,1.554,1.5290000000000001,1.507,1.5015,1.5,1.4947,1.4609999999999999,1.4673,1.4809,1.5490000000000002,41.6542,51.9763,54.0525,53.6069
5/4/2012,1.54,1.54,1.51,1.52,743000.0,1.5290000000000001,1.54,1.55,1.5319999999999998,1.5083,1.5019999999999998,1.5016,1.4952,1.4621,1.4669999999999999,1.4778,1.5455,23.6369,44.4988,49.2574,51.6082
5/7/2012,1.53,1.53,1.49,1.5,462500.0,1.5021,1.526,1.544,1.5335,1.5093,1.5018,1.5014,1.4952,1.4633,1.4663,1.4751,1.5419,14.3357,38.3,44.9619,49.6916
5/8/2012,1.51,1.51,1.5,1.5,265800.0,1.508,1.518,1.5390000000000001,1.5335,1.5107,1.5018,1.5014,1.495,1.4644,1.4658,1.4733,1.5385,14.3357,38.3,44.9619,49.6916
5/9/2012,1.5,1.5,1.48,1.49,689100.0,1.4967,1.51,1.5319999999999998,1.534,1.511,1.5019999999999998,1.501,1.495,1.4657,1.4651,1.4723,1.5352,9.9368,35.1973,42.7977,48.7234
5/10/2012,1.51,1.56,1.5,1.56,1324300.0,1.5293,1.514,1.531,1.537,1.514,1.504,1.5024,1.4965,1.4682,1.4653,1.4713,1.5322,78.6678,60.4369,58.0278,55.0636
5/11/2012,1.55,1.56,1.52,1.52,993900.0,1.5447,1.514,1.527,1.5375,1.5163,1.5053,1.5026,1.4973,1.4701,1.4652,1.4702,1.5291,47.5587,48.3347,49.8586,51.313
5/14/2012,1.52,1.52,1.47,1.47,664000.0,1.4907,1.508,1.517,1.5355,1.518,1.505,1.5022,1.4980000000000002,1.4714,1.4643,1.4688,1.5258,27.3095,37.7146,41.9152,47.1593
5/15/2012,1.48,1.48,1.45,1.46,842700.0,1.4595,1.5,1.5090000000000001,1.5330000000000001,1.52,1.5045,1.5016,1.4983,1.4725,1.4631,1.4673,1.5227,24.2163,35.9379,40.5246,46.3825
5/16/2012,1.46,1.47,1.42,1.43,870700.0,1.4461,1.4880000000000002,1.499,1.5265,1.5177,1.5033,1.5,1.4980000000000002,1.4736,1.4617,1.4655,1.5194,16.0406,31.0079,36.6015,44.1267
5/17/2012,1.42,1.52,1.42,1.52,4326700.0,1.5102,1.48,1.4969999999999999,1.5255,1.5183,1.5045,1.5006,1.4995,1.4755,1.4613,1.4643,1.5165,66.6729,52.8415,51.7062,51.45399999999999
5/18/2012,1.49,1.49,1.46,1.47,365700.0,1.4654,1.47,1.492,1.521,1.5187,1.5043,1.5,1.5,1.4772,1.4609999999999999,1.4629,1.5130000000000001,44.3732,44.1158,45.2554,47.8478
5/21/2012,1.47,1.48,1.47,1.48,533700.0,1.4701,1.472,1.49,1.517,1.5190000000000001,1.5045,1.4994,1.4995,1.4788,1.4614,1.4621,1.5091,49.4458,46.1178,46.6879,48.5932
5/22/2012,1.5,1.5,1.48,1.48,164700.0,1.4869999999999999,1.476,1.4880000000000002,1.5135,1.5183,1.505,1.499,1.4992,1.4803,1.4619,1.4613,1.5055,49.4458,46.1178,46.6879,48.5932
5/23/2012,1.48,1.48,1.46,1.48,207000.0,1.4765,1.486,1.4869999999999999,1.5095,1.5183,1.505,1.499,1.4987,1.4816,1.4628,1.4605,1.5021,49.4458,46.1178,46.6879,48.5932
5/24/2012,1.48,1.5,1.48,1.5,368500.0,1.4991,1.482,1.4809999999999999,1.506,1.5183,1.5058,1.4994,1.4988,1.483,1.4634,1.4603,1.4986,68.7073,51.1056,49.9589,50.1701
5/25/2012,1.5,1.55,1.5,1.52,1508500.0,1.5245,1.492,1.4809999999999999,1.504,1.5187,1.5075,1.5004,1.499,1.4846,1.4644,1.4606,1.4952,80.0875,55.7172,53.0605,51.7028
5/28/2012,1.52,1.56,1.52,1.55,3412900.0,1.5487,1.506,1.489,1.5030000000000001,1.52,1.5108,1.5018,1.5,1.4865,1.4655,1.4609999999999999,1.4921,89.0486,61.7976,57.3324,53.9029
5/29/2012,1.55,1.58,1.55,1.57,942300.0,1.56,1.524,1.5,1.5045,1.5219999999999998,1.515,1.5036,1.5013,1.4885,1.4665,1.4614,1.4892,92.4474,65.3644,59.9494,55.306999999999995
5/30/2012,1.55,1.55,1.52,1.53,1869000.0,1.5268,1.534,1.51,1.5045,1.521,1.5158,1.5046,1.5017,1.4901,1.4672,1.4615,1.4862,47.8738,54.0169,52.9541,52.0282
5/31/2012,1.52,1.52,1.5,1.52,901000.0,1.5126,1.538,1.51,1.5035,1.5203,1.5163,1.5056,1.5022,1.4912,1.4681,1.4617,1.4832,40.5433,51.5022,51.3411,51.2426
6/1/2012,1.52,1.52,1.5,1.51,145200.0,1.5004,1.536,1.514,1.5030000000000001,1.5187,1.5175,1.5062,1.5023,1.4925,1.4689,1.4618,1.4804,32.9705,48.9392,49.7105,50.4544
6/4/2012,1.49,1.49,1.45,1.45,570900.0,1.4592,1.516,1.511,1.5005,1.515,1.517,1.5058,1.5013,1.4933,1.4695,1.4615,1.4776,12.2977,36.6334,41.2461,46.0575
6/5/2012,1.47,1.48,1.44,1.44,754700.0,1.4515,1.49,1.507,1.4975,1.5113,1.5155,1.5054,1.5003,1.494,1.4699,1.4611,1.4758,10.6312,34.984,40.0229,45.3757
6/6/2012,1.46,1.47,1.45,1.46,943900.0,1.4583,1.476,1.505,1.496,1.508,1.515,1.505,1.5,1.4949,1.4708,1.4608,1.4747,36.4616,40.9645,43.6239,46.9989
6/7/2012,1.48,1.5,1.46,1.46,591500.0,1.4841,1.464,1.501,1.4909999999999999,1.5043,1.514,1.5048,1.4997,1.4955,1.472,1.4608,1.4733,36.4616,40.9645,43.6239,46.9989
6/8/2012,1.46,1.46,1.45,1.46,143900.0,1.4534,1.454,1.495,1.4880000000000002,1.501,1.5128,1.505,1.4995,1.4956,1.4731,1.4608,1.472,36.4616,40.9645,43.6239,46.9989
6/11/2012,1.46,1.49,1.45,1.49,490000.0,1.4649,1.462,1.489,1.489,1.4983,1.5123,1.5064,1.4997,1.4963,1.4743,1.4609999999999999,1.4709,74.2052,50.6582,49.324,49.4914
6/12/2012,1.47,1.48,1.47,1.48,237600.0,1.4729,1.47,1.48,1.49,1.4963,1.5115,1.508,1.4997,1.4969999999999999,1.4754,1.4611,1.4696,57.2123,47.7198,47.5964,48.7016
6/13/2012,1.48,1.57,1.48,1.55,3785700.0,1.5481,1.4880000000000002,1.482,1.496,1.4969999999999999,1.5113,1.5090000000000001,1.5008,1.4967,1.4773,1.4618,1.4686,87.432,64.1125,58.5424,54.0153
6/14/2012,1.53,1.54,1.52,1.54,431500.0,1.5231,1.504,1.484,1.4969999999999999,1.4969999999999999,1.5113,1.5098,1.5019999999999998,1.4969,1.4791,1.4624,1.4676,75.9391,61.0367,56.7197,53.2009
6/15/2012,1.54,1.54,1.5,1.53,615200.0,1.5228,1.518,1.486,1.5,1.4973,1.5105,1.5112,1.5028,1.4973,1.4809999999999999,1.4629,1.4667,63.4319,57.9111,54.8796,52.3839
6/18/2012,1.52,1.56,1.52,1.55,741500.0,1.5466,1.53,1.496,1.5035,1.499,1.5103,1.5128,1.5042,1.4978,1.4829,1.4639,1.4662,75.525,62.2595,57.8265,53.8502
6/19/2012,1.55,1.56,1.54,1.56,3026500.0,1.5499,1.546,1.508,1.5075,1.501,1.5105,1.514,1.5058,1.4982,1.4848,1.4652,1.466,80.389,64.3323,59.2592,54.5738
6/20/2012,1.56,1.57,1.55,1.56,485800.0,1.5619999999999998,1.548,1.518,1.5115,1.5033,1.5105,1.5156,1.5072,1.4983,1.4866,1.4673,1.4656,80.389,64.3323,59.2592,54.5738
