Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
11/9/2005,2.7689999999999997,2.7689999999999997,2.7689999999999997,2.7689999999999997,16.0,2.7687,2.6995,2.6869,2.8584,3.0204,3.1117,3.1752,3.2475,3.3942,3.4276,5.1898,5.2449,65.9529,45.5392,40.2174,38.927
11/10/2005,2.7689999999999997,2.7689999999999997,2.7689999999999997,2.7689999999999997,16.0,2.7687,2.6995,2.6869,2.8584,3.0204,3.1117,3.1752,3.2475,3.3942,3.4276,5.1898,5.2449,65.9529,45.5392,40.2174,38.927
11/11/2005,2.7689999999999997,2.7689999999999997,2.7689999999999997,2.7689999999999997,16.0,2.7687,2.6995,2.6869,2.8584,3.0204,3.1117,3.1752,3.2475,3.3942,3.4276,5.1898,5.2449,65.9529,45.5392,40.2174,38.927
11/14/2005,2.7060000000000004,2.7060000000000004,2.454,2.4859999999999998,2241.0,2.5233,2.6744,2.6586,2.8159,2.9911,3.0897,3.1532,3.2292,3.3719,3.4279,5.1669,5.2438,22.8508,29.1475,29.6242,34.1841
11/15/2005,2.58,2.6430000000000002,2.58,2.6430000000000002,3051.0,2.6034,2.6806,2.6523,2.7876,2.968,3.0716,3.1331,3.2134,3.3514,3.4255,5.1468,5.2303,50.0525,42.1597,39.2048,38.4912
11/16/2005,2.6430000000000002,2.7060000000000004,2.6430000000000002,2.6430000000000002,2702.0,2.6671,2.6492,2.6523,2.7577,2.9449,3.0511,3.1142,3.1977,3.3379,3.424,5.1255,5.2167,50.0525,42.1597,39.2048,38.4912
11/17/2005,2.58,2.611,2.58,2.611,4911.0,2.6024,2.6303,2.6492,2.7310000000000003,2.9166,3.0322,3.0972,3.1814,3.326,3.4219,5.1036,5.2032,43.1985,40.2868,38.0047,37.9595
11/18/2005,2.611,2.6430000000000002,2.611,2.6430000000000002,3973.0,2.6177,2.6051,2.6523,2.7089999999999996,2.8925,3.0142,3.0834,3.1652,3.3134,3.4226,5.082,5.1898,52.8777,43.129,39.9832,38.8335
11/21/2005,2.611,2.674,2.611,2.674,1430.0,2.6359,2.6429,2.6586,2.6885,2.8726,2.9969,3.0702,3.15,3.302,3.4224,5.0591,5.1771,62.4704,46.0194,41.9773,39.7121
11/22/2005,2.6430000000000002,2.6430000000000002,2.6430000000000002,2.6430000000000002,1589.0,2.6429,2.6429,2.6618,2.6728,2.8495,2.9788,3.0576,3.1337,3.2910000000000004,3.4221,5.0360000000000005,5.1618,47.857,43.5304,40.5272,39.1307
11/23/2005,2.611,2.611,2.58,2.58,4768.0,2.6062,2.6303,2.6397,2.6602,2.8243,2.9559,3.0425,3.1159,3.2825,3.4219,5.0136,5.1456,28.1217,38.8079,37.7205,37.9801
11/24/2005,2.611,2.611,2.58,2.58,4768.0,2.6062,2.6303,2.6397,2.6602,2.8243,2.9559,3.0425,3.1159,3.2825,3.4219,5.0136,5.1456,28.1217,38.8079,37.7205,37.9801
11/25/2005,2.611,2.6430000000000002,2.611,2.6430000000000002,1605.0,2.6117,2.6366,2.6335,2.6571,2.8023,2.9379,3.028,3.1002,3.2753,3.4226,4.9923,5.1305,55.5915,45.464,42.043,39.8109
11/28/2005,2.611,2.611,2.58,2.58,1907.0,2.5957,2.6239999999999997,2.6146,2.6508,2.7771,2.9189999999999996,3.0123,3.0818,3.2674,3.4224,4.9703,5.1124,35.3353,40.5071,39.1191,38.6312
11/29/2005,2.58,2.58,2.58,2.58,6357.0,2.58,2.6051,2.6239999999999997,2.6413,2.752,2.8993,2.9965,3.065,3.2611,3.4216,4.9486,5.0951,35.3353,40.5071,39.1191,38.6312
11/30/2005,2.58,2.6430000000000002,2.58,2.58,3337.0,2.592,2.5926,2.6177,2.635,2.7310000000000003,2.8804,2.9808,3.0472,3.2552,3.4085,4.9269,5.0775,35.3353,40.5071,39.1191,38.6312
