Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
8/21/2006,0.193,0.193,0.19,0.193,63000.0,0.1907,0.193,0.1935,0.1928,0.1908,0.1879,0.1846,0.1827,0.1759,0.1713,0.1605,0.159,50.0977,51.6784,53.483000000000004,55.9572
8/22/2006,0.19,0.193,0.19,0.192,102000.0,0.1925,0.1937,0.1935,0.1928,0.191,0.1884,0.1849,0.1831,0.1761,0.1717,0.1607,0.1594,43.356,48.8572,51.3759,54.8124
8/23/2006,0.192,0.195,0.192,0.195,219000.0,0.193,0.19399999999999998,0.1937,0.1931,0.1913,0.1888,0.1853,0.1835,0.1764,0.1722,0.161,0.1597,59.647,54.452,55.1792,56.6474
8/24/2006,0.195,0.195,0.195,0.195,241500.0,0.195,0.193,0.1935,0.1933,0.1917,0.1893,0.1859,0.1839,0.1766,0.1726,0.1613,0.16,59.647,54.452,55.1792,56.6474
8/25/2006,0.19699999999999998,0.198,0.19699999999999998,0.19699999999999998,207000.0,0.1976,0.1943,0.1935,0.1936,0.1921,0.1897,0.1864,0.1844,0.1769,0.1731,0.1615,0.1603,69.5116,57.4011,57.1239,57.5694
8/28/2006,0.19699999999999998,0.198,0.19699999999999998,0.198,280500.0,0.198,0.1953,0.1942,0.1939,0.1925,0.1902,0.187,0.1849,0.1773,0.1735,0.1618,0.1607,77.6918,60.2932,59.0379,58.4827
8/29/2006,0.19699999999999998,0.198,0.19699999999999998,0.198,126000.0,0.1967,0.1967,0.1952,0.1941,0.1929,0.1907,0.1876,0.1854,0.1776,0.174,0.1621,0.161,77.6918,60.2932,59.0379,58.4827
8/30/2006,0.19699999999999998,0.198,0.193,0.198,443700.0,0.195,0.1973,0.1957,0.1943,0.1933,0.1911,0.1882,0.1857,0.17800000000000002,0.1744,0.1624,0.1612,77.6918,60.2932,59.0379,58.4827
8/31/2006,0.19699999999999998,0.198,0.193,0.198,443700.0,0.195,0.1973,0.1957,0.1943,0.1933,0.1911,0.1882,0.1857,0.17800000000000002,0.1744,0.1624,0.1612,77.6918,60.2932,59.0379,58.4827
9/1/2006,0.198,0.198,0.198,0.198,75000.0,0.1983,0.198,0.1955,0.1946,0.1937,0.1915,0.1887,0.18600000000000003,0.1784,0.1748,0.1627,0.1614,77.6918,60.2932,59.0379,58.4827
9/4/2006,0.2,0.2,0.2,0.2,30000.0,0.2,0.1987,0.1965,0.1949,0.1938,0.1918,0.1892,0.1864,0.1787,0.1752,0.163,0.1617,90.5405,64.1879,61.3581,59.4816
9/5/2006,0.2,0.2,0.198,0.198,157500.0,0.1999,0.1987,0.19699999999999998,0.1953,0.1942,0.1923,0.1897,0.1867,0.1791,0.1756,0.1633,0.1619,48.5747,57.8089,57.8305,58.0371
9/6/2006,0.2,0.2,0.19699999999999998,0.19699999999999998,165000.0,0.198,0.1983,0.1975,0.1955,0.1944,0.1926,0.1902,0.187,0.1795,0.17600000000000002,0.1636,0.162,28.6533,51.9957,54.4586,56.6148
9/7/2006,0.198,0.198,0.19699999999999998,0.19699999999999998,187500.0,0.1981,0.198,0.1977,0.1957,0.1946,0.1929,0.1906,0.1874,0.1798,0.1764,0.16399999999999998,0.1622,28.6533,51.9957,54.4586,56.6148
9/8/2006,0.198,0.198,0.19699999999999998,0.19699999999999998,187500.0,0.1981,0.198,0.1977,0.1957,0.1946,0.1929,0.1906,0.1874,0.1798,0.1764,0.16399999999999998,0.1622,28.6533,51.9957,54.4586,56.6148
9/11/2006,0.19699999999999998,0.19699999999999998,0.19699999999999998,0.19699999999999998,1504500.0,0.1967,0.1977,0.1978,0.1957,0.1948,0.1932,0.191,0.1879,0.1802,0.1768,0.1643,0.1625,28.6533,51.9957,54.4586,56.6148
9/12/2006,0.2,0.205,0.2,0.205,678000.0,0.2015,0.1987,0.1987,0.1961,0.1953,0.1937,0.1915,0.1884,0.1807,0.1773,0.1647,0.1627,90.9924,72.0238,66.6146,61.797
9/13/2006,0.205,0.22,0.205,0.22,2505300.0,0.2097,0.203,0.2008,0.1975,0.1962,0.1946,0.1923,0.1893,0.1812,0.1779,0.1651,0.1631,97.3185,84.8356,77.9985,68.748
9/14/2006,0.217,0.237,0.217,0.23,1914000.0,0.2266,0.2097,0.204,0.1996,0.1974,0.1957,0.1934,0.1903,0.1819,0.1786,0.1656,0.1635,98.4248,88.7124,82.3254,72.2324
9/15/2006,0.23199999999999998,0.23199999999999998,0.223,0.223,1308900.0,0.2238,0.215,0.2065,0.2011,0.1984,0.1966,0.1942,0.1913,0.1825,0.1792,0.1661,0.1638,69.6783,74.4393,72.1397,67.0749
