Date,Dividends
2000-08-30,0.065556
2001-10-01,0.032778
2002-10-03,0.032778
2003-09-26,0.032778
2004-10-04,0.039333
2005-09-29,0.039333
2006-08-16,0.049167
2007-10-02,0.049167
2008-10-03,0.060000
2009-08-19,0.080000
2010-09-07,0.105000
2010-11-26,0.060000
2011-08-23,0.120000
2011-11-30,0.066000
2012-08-22,0.135000
2012-11-23,0.070000
2013-08-28,0.150000
2013-11-27,0.072000
2014-08-27,0.169000
2014-12-02,0.120000
2015-08-26,0.153000
2015-12-02,0.050000
2016-08-24,0.105000
2016-12-06,0.050000
2017-08-04,0.126000
2017-12-13,0.050000
2018-08-09,0.100000
2018-12-13,0.050000
2019-06-25,0.150000
2019-12-13,0.060000
2020-07-16,0.073000
