Date,Dividends
2000-05-05,0.015000
2001-05-09,0.015000
2002-04-29,0.015000
2003-05-02,0.025000
2004-04-22,0.025000
2005-04-22,0.025000
2006-05-04,0.025000
2007-05-03,0.075000
2007-09-10,0.125000
2008-05-15,0.125000
2009-03-05,0.125000
2010-03-11,0.092500
2010-09-13,0.046250
2010-12-03,0.134500
2011-03-11,0.080000
2011-09-08,0.120000
2012-03-09,0.100000
2012-09-05,0.050000
2013-04-05,0.183800
2013-09-30,0.128200
2014-03-24,0.103300
2014-09-26,0.100000
2015-03-27,0.050000
2015-09-21,0.030000
2016-03-24,0.110000
2016-08-05,0.020000
2016-09-27,0.080000
2017-03-28,0.120000
2017-10-10,0.130000
2018-03-28,0.120000
2018-09-24,0.130000
2019-03-25,0.120000
2019-10-04,0.140000
2020-03-16,0.120000
2021-03-24,0.048100
2021-09-28,0.104400
