Date,Dividends
2000-07-03,0.020000
2000-10-02,0.016000
2001-07-03,0.016000
2001-10-03,0.016000
2002-07-03,0.016000
2002-10-02,0.017000
2003-07-02,0.018000
2003-10-02,0.017000
2004-06-30,0.019000
2004-09-30,0.018000
2005-07-04,0.022000
2005-09-30,0.020000
2006-06-29,0.028000
2006-09-29,0.024000
2007-06-25,0.030000
2007-09-26,0.028800
2008-06-26,0.036000
2008-09-26,0.030000
2009-06-26,0.040000
2009-09-28,0.030000
2010-06-28,0.043000
2010-09-28,0.036000
2011-06-28,0.044000
2011-09-28,0.038000
2012-06-27,0.048000
2012-09-26,0.038000
2013-06-26,0.050000
2013-09-26,0.043000
2014-06-26,0.039000
2014-09-26,0.030000
2015-06-26,0.035000
2015-09-28,0.028000
2016-06-28,0.043000
2016-09-28,0.030000
2017-03-08,0.073000
2017-05-31,0.062000
2017-09-11,0.040000
2018-03-12,0.080000
2018-06-06,0.050000
2018-09-14,0.060000
2019-03-12,0.080000
2019-06-26,0.050000
2019-06-27,0.050000
2019-09-18,0.060000
2020-03-13,0.090000
2020-06-29,0.050000
2020-09-10,0.060000
2021-03-12,0.085000
2022-03-14,0.090000
