Date,Dividends
2000-03-07,0.009705
2000-10-31,0.009705
2001-03-14,0.009705
2001-09-12,0.014557
2002-03-08,0.011646
2002-10-21,0.017468
2003-04-11,0.019409
2003-09-03,0.019409
2004-03-05,0.023291
2004-09-01,0.025232
2005-02-21,0.038818
2005-07-01,0.029114
2006-03-01,0.058228
2006-09-13,0.026202
2007-03-14,0.067932
2008-03-13,0.067932
2008-09-15,0.097046
2009-02-18,0.029114
2009-06-11,0.029114
2009-09-25,0.019409
2010-03-12,0.070000
2010-09-23,0.100000
2011-03-15,0.080000
2011-09-23,0.090000
2012-03-14,0.070000
2012-09-24,0.085000
2013-03-07,0.070000
2013-09-05,0.085000
2014-03-10,0.080000
2014-07-14,0.120000
2015-03-03,0.045000
2015-09-08,0.045000
2016-03-04,0.035000
2016-09-07,0.045000
2017-03-03,0.045000
2017-08-24,0.050000
2018-03-16,0.115000
2018-09-04,0.045000
2019-03-08,0.035000
2019-11-08,0.045000
2020-03-03,0.040000
2020-09-09,0.040000
2021-03-09,0.045000
2021-09-10,0.060000
2022-03-09,0.060000
