Date,Dividends
2000-03-23,0.023949
2000-10-27,0.062266
2001-03-13,0.023949
2001-09-26,0.033528
2002-02-28,0.035923
2002-10-09,0.050292
2003-04-14,0.251460
2003-10-15,0.122138
2004-03-11,0.179615
2004-10-12,0.179615
2005-03-16,0.125730
2005-11-07,0.251460
2005-12-23,0.359229
2006-10-30,0.251460
2007-04-10,0.287383
2007-10-30,0.287383
2007-12-31,0.125730
2008-03-24,0.134711
2008-10-07,0.179615
2009-10-13,0.080000
2010-03-02,0.110000
2010-11-18,0.440000
2011-04-12,0.280000
2011-11-25,0.320000
2012-04-27,0.040000
2012-09-20,0.040000
2013-04-25,0.370000
2013-09-24,0.065000
2014-04-29,0.350000
2014-09-25,0.240000
2015-04-23,0.330000
2015-10-08,0.240000
2016-05-04,0.300000
2016-09-23,0.200000
2017-05-04,0.220000
2017-09-29,0.230000
2018-06-05,0.320000
2018-09-28,0.250000
2019-05-06,0.320000
2019-05-07,0.320000
2019-09-18,0.250000
2020-04-10,0.390000
2020-12-17,0.135000
2021-05-28,0.385000
2021-09-22,0.280000
