Date,Dividends
2000-09-08,0.050000
2001-01-02,0.050000
2001-08-10,0.075000
2001-12-06,0.075000
2002-09-05,0.050000
2002-12-18,0.100000
2003-07-22,0.050000
2003-12-10,0.100000
2004-08-05,0.100000
2004-11-30,0.050000
2005-08-17,0.100000
2005-12-12,0.050000
2006-08-16,0.150000
2006-12-15,0.100000
2007-08-01,0.200000
2007-12-14,0.120000
2008-08-01,0.330000
2008-12-10,0.120000
2009-08-05,0.330000
2009-12-07,0.150000
2010-08-03,0.150000
2010-12-09,0.100000
2011-08-01,0.250000
2011-08-24,0.150000
2011-12-07,0.150000
2012-03-08,0.150000
2012-06-04,0.175000
2012-06-29,0.350000
2012-09-04,0.175000
2012-12-12,0.175000
2013-03-07,0.175000
2013-04-26,0.350000
2013-06-10,0.175000
2013-09-04,0.175000
2013-11-14,0.175000
2014-02-20,0.175000
2014-05-21,0.120000
2014-08-21,0.140000
2014-11-18,0.120000
2015-03-03,0.220000
2015-05-25,0.120000
2015-08-20,0.140000
2015-11-17,0.140000
2016-03-04,0.200000
2016-05-24,0.120000
2016-08-26,0.140000
2016-11-21,0.140000
2017-03-06,0.300000
2017-05-31,0.140000
2017-09-05,0.140000
2017-11-23,0.200000
2018-03-09,0.220000
2018-06-01,0.130000
2018-09-04,0.160000
2018-12-10,0.160000
2019-03-11,0.250000
2019-06-13,0.150000
2019-09-10,0.140000
2019-12-06,0.160000
2020-03-10,0.150000
2020-06-03,0.050000
2020-09-09,0.050000
2020-12-01,0.110000
2021-03-04,0.170000
2021-06-09,0.140000
2021-09-06,0.100000
2021-12-09,0.200000
2022-03-09,0.260000
