Date,Dividends
2000-03-30,0.018700
2000-11-20,0.074802
2001-03-28,0.018700
2002-01-24,0.028051
2003-01-24,0.018700
2003-05-28,0.051426
2003-08-27,0.018700
2004-02-17,0.028051
2004-04-28,0.032726
2004-10-06,0.032726
2005-05-16,0.032726
2006-06-12,0.018700
2007-05-23,0.056101
2007-09-14,0.046751
2008-06-03,0.080412
2008-09-16,0.084152
2009-06-17,0.099112
2009-09-08,0.046751
2010-05-20,0.163161
2010-09-15,0.046751
2011-04-19,0.199907
2011-10-12,0.074802
2012-05-10,0.162787
2012-10-24,0.056101
2013-07-02,0.150445
2013-10-10,0.056101
2014-06-19,0.096307
2015-03-25,0.056101
2016-04-11,0.120000
2016-09-13,0.050000
2017-05-15,0.070000
2017-09-29,0.050000
2018-06-04,0.100000
2018-09-18,0.075000
2019-04-29,0.130000
2019-05-06,0.130000
2019-05-07,0.130000
2019-09-18,0.125000
2020-06-10,0.185000
2021-01-19,0.100000
2021-06-09,0.076500
2021-10-05,0.150000
