Date,Dividends
2000-04-13,0.400000
2000-08-18,0.790000
2001-04-18,1.263900
2001-08-15,0.910000
2001-11-15,0.500000
2002-04-23,1.450000
2002-09-04,1.340000
2003-04-29,1.660000
2003-09-03,1.500000
2003-11-19,0.800000
2004-05-05,1.830000
2004-09-01,1.600000
2005-05-04,1.850000
2005-08-30,1.150000
2006-05-03,0.700000
2006-08-29,1.500000
2007-05-03,0.300000
2007-08-02,1.500000
2007-11-15,1.000000
2008-04-30,0.779000
2008-07-31,1.130000
2008-11-04,0.760000
2009-04-22,0.760000
2009-08-11,1.130000
2009-12-04,0.610000
2010-04-19,0.620000
2010-08-10,1.130000
2010-11-08,0.640000
2011-03-08,0.630000
2011-05-09,0.600000
2011-08-09,0.300000
2011-11-11,0.600000
2012-03-06,0.660000
2012-05-10,0.650000
2012-08-07,0.650000
2012-11-08,0.650000
2013-03-12,0.770000
2013-05-09,0.680000
2013-08-14,0.680000
2013-10-30,0.680000
2014-03-05,0.780000
2014-05-09,0.750000
2014-08-07,0.780000
2014-10-30,0.780000
2015-03-02,0.780000
2015-05-14,0.780000
2015-08-13,0.780000
2015-11-13,0.780000
2016-03-03,0.780000
2016-05-16,0.550000
2016-08-11,0.450000
2016-11-10,0.550000
2017-03-09,0.460000
2017-05-12,0.400000
2017-08-10,0.430000
2017-11-10,0.430000
2018-03-09,0.430000
2018-06-01,0.330000
2018-08-01,0.350000
2018-11-01,0.400000
2019-03-06,0.470000
2019-06-13,0.300000
2019-08-08,0.260000
2019-11-13,0.290000
2020-03-05,0.330000
2020-03-17,0.330000
2020-06-05,0.170000
2020-08-06,0.180000
2020-11-12,0.210000
2021-02-25,0.270000
2021-06-15,0.210000
2021-08-05,0.240000
2021-11-12,0.260000
2022-02-22,0.270000
